user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
CooingDeafeningHydra,Accepted,2.08,158.0,1-4 years,,2024-11-07,2024-11-07,2024-11-14,2024-11-14,,,2024-12-12,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,True,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
Bossgirllawyer,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ChullaVida,"WL, Withdrawn",3.49,157.0,1-4 years,,2025-01-11,2025-01-14,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,True,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
GlitterBandit,Accepted,3.57,159.0,10+ years,"$135,000",,,,,,,2025-01-10,Regular Decision,2025-06-13T15:24:42Z,135000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,20.0,,,,,False,False,Accepted
SecretDistinctOrangutan,Accepted,3.61,169.0,,,,,,,,,2025-03-07,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
bmrblaw,Pending,3.8,154.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Shackelford025,Pending,3.29,156.0,10+ years,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,20.0,,,,,False,False,Pending
Leegion555,Pending,3.73,144.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
ImpoliteConcernedZombie,Pending,3.76,173.0,10+ years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,12.0,,,,,False,False,Pending
OvalElderlyKrampus,Pending,2.7,156.0,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
FastRainyChameleon,Pending,3.13,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
MacaroniNSneeze,Rejected,2.9,154.0,10+ years,,2025-02-05,2025-02-05,2025-02-05,2025-03-07,2025-04-04,,2025-04-10,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,15.0,,,,,False,False,Rejected
NavyRooster,"WL, Withdrawn",2.85,158.0,,,,,,2025-01-27,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,,True,False,False,True,False,False,True,,regular,,,,,,False,False,WL
jav12302,Rejected,3.93,151.0,0 years (KJD),,,,,,,,2025-05-14,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Rejected
SJApplicant2015,Accepted,3.78,156.0,1-4 years,"$90,000",2024-11-13,2024-11-13,,2024-12-02,,,2024-12-20,Regular Decision,2025-06-13T15:24:43Z,90000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
NotQuiteClaireHuxtable,Accepted,3.46,159.0,10+ years,"$99,000, Flex JD $30K per year x 3.3",2025-01-31,,,,,,2025-02-21,Regular Decision,2025-06-13T15:24:43Z,99000,False,Flex JD $30K per year x 3.3,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,17.0,,,,,False,False,Accepted
LS21,Pending,2.39,164.0,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Pending
legallydirtyblonde07,Accepted,3.43,155.0,,"$45,000",2024-12-01,,,,,,2025-01-10,,2025-06-13T15:24:43Z,45000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
WoozyDevilishShrew,"Accepted, Withdrawn",3.84,170.0,10+ years,"$135,000, President's Scholarship - Flex JD",2025-02-05,2025-02-05,2025-02-05,2025-02-06,2025-02-10,,2025-02-13,Regular Decision,2025-10-01T22:36:11Z,135000,False,President's Scholarship - Flex JD,False,,False,White,False,False,False,True,False,False,False,,regular,15.0,,,,,False,False,Accepted
VersedHeavyWizard,Pending,2.89,174.0,5-9 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,9.0,,,,,False,False,Pending
StemSplitterGirly,Accepted,3.2,176.0,1-4 years,"$150,000, 4 year program",2024-10-07,,,2024-10-11,,,2024-12-13,Regular Decision,2025-06-13T15:24:44Z,150000,False,4 year program,False,,False,White,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
StormySilentLeopard,Rejected,3.2,152.0,,,2024-12-19,,,,,,2025-01-06,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,True,work termination,,,,,,,False,False,Rejected
BigLawDuh,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
EunicetheFish,"WL, Withdrawn",3.25,,10+ years,,2025-01-03,2025-01-03,2025-01-03,2025-01-13,,,2025-03-11,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,13.0,157.0,157.0,4.5,,False,False,WL
TangyAccidental180,Waitlisted,3.62,152.0,1-4 years,,2025-01-25,,2025-01-27,,,,2025-02-28,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Waitlisted
EagleLion,Rejected,3.56,147.0,,,2024-11-29,,,,,,2025-02-14,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
AcultLeader,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SoggyWomanlyBullfrog,"WL, Withdrawn",3.48,157.0,10+ years,,2025-01-16,2025-01-17,2025-01-21,2025-01-21,,,2025-04-03,Regular Decision,2025-06-13T15:24:49Z,,False,,True,,True,Hispanic/Latino,True,False,False,True,False,False,False,,regular,20.0,,,,,False,False,WL
PreviousUnwrittenLemur,Rejected,2.4,140.0,5-9 years,,,,,,,,2025-02-14,,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,True,False,Rejected
LaLeySperanza,Rejected,,159.0,10+ years,,2024-11-27,,,,,,2025-01-06,,2025-06-13T15:24:45Z,,False,,False,,False,White,True,False,False,False,False,False,True,Expunged violation,,18.0,,,,,False,False,Rejected
SwiftBrainyBarnacle,"WL, Withdrawn",3.5,152.0,1-4 years,,2025-01-03,,,,,,2025-04-10,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
BigLawSuh,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Reishimushroom,Waitlisted,,,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
CrazyLongOpossum,Pending,3.82,164.0,5-9 years,,2024-11-18,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Pending
QuickestAnteater,Pending,,,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
dmj9la,"WL, Withdrawn",2.87,164.0,10+ years,,2024-12-26,,,,,,,,2025-06-13T15:24:51Z,,False,,False,,False,,True,False,False,True,False,False,False,,,20.0,,,,,False,False,WL
SpottyObtainableChipmunk,Accepted,2.89,162.0,,"$40,000, Conditional",,,,,,,2025-01-10,Regular Decision,2025-06-13T15:24:45Z,40000,True,,False,,True,Other,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
keith11423,Pending,2.9,166.0,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,166.0,161.0,3.5,,False,False,Pending
BloodyGroovyGerbil,Waitlisted,2.6,162.0,10+ years,,2025-03-07,2025-03-08,2025-03-10,2025-03-10,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,18.0,,,,,False,False,Waitlisted
WorkingWillow,Pending,2.4,158.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
TheW1zardAndI,Rejected,3.89,148.0,5-9 years,,2025-02-18,,2025-02-20,2025-02-20,,,2025-02-28,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Rejected
JudgeCutie44,Pending,,,,,2025-02-20,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
TiresomeWaggishCalf,"WL, Withdrawn",3.22,157.0,10+ years,,2025-02-10,,,,,,2025-04-10,,2025-06-13T15:24:54Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,20.0,,,,,False,False,WL
SmoothAxiomaticRice,"WL, Withdrawn",2.05,164.0,10+ years,,2024-11-01,,,2024-11-01,,,2025-02-28,Regular Decision,2025-06-13T15:24:54Z,,False,,False,,True,Black or African American,False,False,False,True,False,False,False,,regular,24.0,,,,,False,False,WL
DisgustedIrateMacaw,Pending,,,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DeamonDeac304,Pending,3.57,164.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Gio0522,Accepted,3.52,165.0,,"$192,000, Full ride",,,,,,,2024-12-13,,2025-06-13T15:24:46Z,192000,False,Full ride,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
honeyfitz36,Pending,,,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
gpiquion,Pending,3.09,158.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BriefHaltingMammoth,Waitlisted,4.0,148.0,10+ years,,2025-03-30,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,10.0,152.0,135.0,3,,False,False,Waitlisted
