user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
TeenyWeenyNosyBuffalo,"accepted, Withdrawn",3.75,161.0,1-4 years,"$60,000, Conditional",2024-12-31,2025-01-01,2025-01-02,,,,2025-01-24,Regular Decision,2025-08-15T14:18:33Z,60000,True,,False,,False,,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,accepted
RebelOppositeKitten,Waitlisted,3.04,153.0,,,,,,,,,2025-03-14,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
valentinaaaaa,Pending,3.75,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MonateMonna,Accepted,3.6,165.0,1-4 years,,2024-10-24,,,,,,2024-12-05,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
DC-TX-LA-PA-WI-CO-orBust,"Accepted, Withdrawn",2.99,162.0,10+ years,"$120,000",2025-02-05,,,,,,2025-02-28,Regular Decision,2025-06-30T00:15:19Z,120000,False,,False,,False,,False,False,False,True,False,False,False,,regular,12.0,,,,,False,False,Accepted
buglaw,Accepted,3.78,163.0,1-4 years,"$120,000, Conditional",2024-12-11,,,,,,2025-01-03,,2025-06-13T15:24:42Z,120000,True,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
goodcop237,Pending,3.41,168.0,1-4 years,,2024-10-26,2024-10-28,2024-10-28,2024-10-28,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Pending
MelodicSeemlyBison,Waitlisted,3.33,154.0,0 years (KJD),,,,,,,,2025-03-25,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,True,,regular,0.0,,,,,False,False,Waitlisted
EarthyNonchalantHammerhead,Pending,3.61,168.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LemonCoast,Pending,,157.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
Reallyhopeful2025,Accepted,3.87,161.0,1-4 years,"$60,000",2024-11-27,,,,,,2025-02-07,,2025-06-13T15:24:42Z,60000,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
SecretItchyJaguar,Pending,3.78,159.0,5-9 years,,2024-12-01,,2024-12-03,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Pending
FierceMuteStarfish,Pending,,,,,2024-09-10,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
