user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Leegion555,Accepted,3.73,144.0,,,,,,,,,2025-02-01,,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Accepted
MelodicAloofSeahorse,Pending,2.66,147.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
QuirkySourSwallow,Accepted,2.59,154.0,,"$92,250",,,,,,,2024-09-23,,2025-06-13T15:24:44Z,92250,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PreviousUnwrittenLemur,Rejected,2.4,140.0,5-9 years,,,,,,,,2025-02-21,,2025-06-13T15:24:45Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,True,False,Rejected
Ladyesquire86,Accepted,2.1,156.0,,"$90,000",,,,,,,2025-01-15,,2025-06-13T15:24:45Z,90000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Liquid-Dino,Accepted,3.4,157.0,5-9 years,"$123,000, Conditional",2025-02-09,,,,,,2025-02-12,,2025-06-13T15:24:45Z,123000,True,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
cnw1198,Pending,2.1,144.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CooingDeafeningHydra,Pending,2.08,158.0,1-4 years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,True,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
swagadocious,Rejected,3.05,165.0,1-4 years,"$123,000, Justice Scholarship (""Full Tuition"")",2025-01-11,2025-01-15,,,,,2025-02-21,Regular Decision,2025-06-13T15:24:46Z,123000,False,"Justice Scholarship (""Full Tuition"")",True,,False,White,False,False,False,False,False,False,True,"Mid-cycle: charged with DUI after seizure while driving; pre-application:Minor disciplinary probation, two parking tickets, fired from one job",regular,2.0,165.0,157.0,4.5,,False,False,Rejected
AgreeableBoorishCentaur,Pending,3.89,158.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,False,False,False,False,False,False,False,underage drinking ticket,,,,,,,False,False,Pending
WhisperingTalentedFox,Accepted,,,,,,,,,,,2025-03-20,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
HospitableInexpensiveTermite,Rejected,2.97,147.0,10+ years,,,,,,,,2025-01-14,,2025-06-13T15:24:48Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Rejected
kitty769,Accepted,3.19,150.0,0 years (KJD),,2025-03-04,,,,,,2025-03-18,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,academic probation,regular,0.0,,,,,False,False,Accepted
Bagelgirl,Pending,3.3,160.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
DueProcessMatters,Pending,3.71,154.0,,,2025-01-15,,,,,,,,2025-06-13T15:24:50Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
OutrageousSneakyKitten,Pending,3.14,146.0,,,2024-12-14,,,,,,,Regular Decision,2025-06-13T15:24:50Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
WVUHopeful,Accepted,2.89,167.0,5-9 years,"$123,000, Justice Scholar Merit Scholarship",2024-10-04,2024-10-04,2024-10-04,,,,2024-10-08,Regular Decision,2025-06-13T15:24:51Z,123000,False,Justice Scholar Merit Scholarship,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
TenseOutgoingPuppy,Pending,3.7,149.0,10+ years,,,,,,,,,,2025-06-13T15:24:51Z,,,,False,,False,,True,False,False,False,False,False,False,,,12.0,,,,,False,False,Pending
lawperson2030,Accepted,3.81,148.0,,"$30,750",,,,,,,2024-10-29,,2025-06-13T15:24:52Z,30750,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
llama,"Accepted, Withdrawn",4.0,161.0,1-4 years,"$5,500",2024-09-11,2024-10-09,,,,,2024-11-15,Regular Decision,2025-06-13T15:24:53Z,5500,False,,True,,False,White,False,False,False,True,False,False,True,speed ticket,regular,4.0,,,,,False,False,Accepted
TruthfulWillingWerewolf,Rejected,3.98,173.0,,,,,,,,,2025-03-22,,2025-06-13T15:24:54Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
Kittencattigermeow,Accepted,3.9,147.0,,,,,,,,,,,2025-06-13T15:24:55Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
FutureBALawyer,Accepted,2.65,149.0,5-9 years,"$16,500",2025-03-24,,,,,,2025-03-28,,2025-06-13T15:24:55Z,16500,False,,True,,False,White,False,False,False,False,False,False,True,,,9.0,,,,,False,False,Accepted
MeekPsychoticPirate,Pending,3.4,147.0,,,,,,,,,,,2025-06-13T15:24:59Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
