user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
littlemisswoodscommaelle,"WL, Accepted",3.85,163.0,1-4 years,"$4,500",2024-10-29,,2024-10-31,,,,2025-04-14,,2025-06-13T15:24:42Z,4500,False,,True,,False,White,False,True,False,False,False,False,False,,,2.0,,,,,False,False,"WL, Accepted"
FreeSpicyWeasel,Rejected,3.44,160.0,5-9 years,,2024-09-09,2024-09-11,2024-09-11,,,,2024-09-27,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,True,,regular,5.0,,,,,False,False,Rejected
GoodGentleOyster,Waitlisted,3.87,163.0,1-4 years,,2024-10-29,,2024-10-31,,,,2024-11-15,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
SnottyMinorBat,Rejected,,,,,,,,,,,2025-04-12,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
Wesquire,Rejected,3.65,163.0,,,,,,,,,2025-01-17,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
doglover12,Rejected,3.0,163.0,,,2024-09-04,,,,,,2024-09-20,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
emandrea97,Waitlisted,3.48,163.0,1-4 years,,2024-09-12,2024-09-13,2024-09-18,,,,2024-09-27,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
CombativeOneInfant,Pending,3.2,170.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,True,,,7.0,,,,,False,False,Pending
WholesaleIllRock,Rejected,3.27,148.0,1-4 years,,2025-01-28,2025-01-29,2024-12-29,,,,2025-02-21,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,American Indian/Alaskan Native,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
KindheartedHelplessLemur,Accepted,3.8,166.0,1-4 years,"$90,000, Will increase to 102,000 if binding O'Connor Scholars program",,,,,,,2025-03-04,Regular Decision,2025-06-13T15:24:42Z,90000,False,"Will increase to 102,000 if binding O'Connor Scholars program",False,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
