user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
LevelSmilingCivet,Accepted,3.34,152.0,,"$75,000",,,,,,,2025-01-03,,2025-06-13T15:24:42Z,75000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
AmbitiousCourageousBrain,Pending,3.5,149.0,,,2025-05-29,2025-05-29,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Multiracial,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
YoungHilariousWerewolf,Rejected,3.79,139.0,1-4 years,,2025-02-03,,,,,,2025-02-12,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
wishesandprayers,Pending,3.46,147.0,1-4 years,,2024-09-02,2024-09-02,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
Iwanttogotolawschoolsobad,Accepted,3.93,152.0,,"$65,000",,,,,,,2025-01-28,,2025-06-13T15:24:44Z,65000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ChronicallyonHere,Accepted,3.1,159.0,,"$120,000",,,,,,,2024-12-14,,2025-06-13T15:24:44Z,120000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SneakySoreDormouse,Accepted,3.24,164.0,,"$75,000",,,,,,,,,2025-06-13T15:24:45Z,75000,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ElephantDefeatedZyn,Waitlisted,,,,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
BeefLaw,Accepted,2.25,154.0,,"$45,000, Conditional",,,,,,,2024-12-18,,2025-06-13T15:24:46Z,45000,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ElPapidelColegio,Accepted,3.71,165.0,,"$150,000",,,,,,,2025-02-06,,2025-06-13T15:24:46Z,150000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
CMoltisanti,Pending,3.15,151.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,True,,regular,2.0,,,,,False,False,Pending
Gwold10,Accepted,3.65,158.0,,"$148,500, Full ride offer",,,,,,,2025-02-13,,2025-06-13T15:24:48Z,148500,False,Full ride offer,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
CowardlyTorpidSeagull,Pending,3.2,160.0,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Kstepper,Accepted,3.99,153.0,,"$90,000, Conditional, Maintain 2.5 GPA",,2025-01-08,,,,,2025-02-03,,2025-06-13T15:24:48Z,90000,True,Maintain 2.5 GPA,True,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
goldengoose,Pending,3.4,144.0,1-4 years,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
kitty769,Accepted,3.19,150.0,0 years (KJD),,,,,,,,2025-03-24,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,True,academic probation,regular,0.0,,,,,False,False,Accepted
Ryankelly081891,Accepted,2.98,152.0,,"$45,000",,,,,,,2025-02-05,,2025-06-13T15:24:49Z,45000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
T100,Accepted,3.37,157.0,,"$148,500",,,,,,,2025-01-21,,2025-06-13T15:24:49Z,148500,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
daveswrld999,Rejected,3.04,144.0,5-9 years,,,,,,,,2025-01-14,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
AllRise,Accepted,3.89,161.0,5-9 years,"$150,000",,,,,,,2025-02-25,Regular Decision,2025-06-13T15:24:50Z,150000,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
legallyblondi3,Accepted,3.3,152.0,1-4 years,,,,,,,,2025-03-10,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
MarriedMeltedLionfish,Pending,3.1,159.0,5-9 years,,,,,,,,,,2025-06-13T15:24:50Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
livthelawyer,Pending,3.4,147.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:50Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
lawschooldreamer23,accepted,3.2,148.0,,"$148,500",,,,,,,2025-05-06,Regular Decision,2025-07-02T20:28:45Z,148500,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,accepted
Icepopbaby,Accepted,3.39,158.0,1-4 years,"$150,000, Conditional",2024-12-30,,,,,,2025-01-21,,2025-06-13T15:24:51Z,150000,True,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
CurvBroadForest,Accepted,3.03,149.0,1-4 years,,,,,,,,2025-03-03,,2025-06-13T15:24:52Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
legalweapon,Accepted,3.25,153.0,,"$90,000",2025-02-12,,,,,,2025-03-04,Regular Decision,2025-06-13T15:24:53Z,90000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Mrmoneybagz,Accepted,3.43,160.0,1-4 years,"$150,000",,,,,,,2025-03-10,Regular Decision,2025-06-13T15:24:53Z,150000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
