user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Oceans305,Pending,2.94,138.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AboundingHorribleDuck,Pending,3.6,150.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,True,Academically dismissed ,,2.0,,,,,False,False,Pending
zoeyyyyyccccc,Accepted,3.8,154.0,,"$100,000",,,,,,,2024-12-03,,2025-06-13T15:24:43Z,100000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
LawSchoolThrowAway407,Accepted,3.51,152.0,1-4 years,"$66,000, Conditional",2024-12-06,2024-12-09,2024-12-20,2024-12-20,,,2025-01-06,Regular Decision,2025-06-13T15:24:43Z,66000,True,,True,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
MelodicAloofSeahorse,Pending,2.66,147.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
pitiful-pain-9,Accepted,2.6,154.0,5-9 years,"$72,000, Conditional",,,,,,,2025-04-11,Regular Decision,2025-06-13T15:24:44Z,72000,True,,True,,True,Other,False,False,False,False,False,False,True,,regular,8.0,,,,,False,False,Accepted
Peruvianprince,Accepted,3.84,152.0,1-4 years,"$60,000, Conditional",2025-02-06,2025-02-07,2025-02-20,,,,2025-02-20,,2025-06-13T15:24:44Z,60000,True,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
QuirkySourSwallow,Accepted,2.59,154.0,,"$72,000",,,,,,,2025-02-11,,2025-06-13T15:24:44Z,72000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ElephantDefeatedZyn,Pending,,,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
legallyblondi3,Accepted,3.3,152.0,1-4 years,,2025-02-04,2025-02-06,,,,,2025-03-06,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
NagiruDeadpanBarnacle,Accepted,3.2,155.0,,,,,,,,,2025-03-12,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Joser246,Pending,2.4,142.0,5-9 years,,2025-04-28,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,9.0,,,,,False,False,Pending
SadAbnormalStarfish,Accepted,3.8,154.0,,"$75,000, Conditional",2025-03-28,,2025-03-28,,,,2025-04-02,,2025-06-13T15:24:46Z,75000,True,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
