user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
MrBiology,Rejected,3.1,156.0,1-4 years,,,,,,,,2025-04-05,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
valentinaaaaa,Pending,3.75,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DC-TX-LA-PA-WI-CO-orBust,"WL, Accepted, Attending",2.99,162.0,10+ years,"$27,000",2025-02-08,,2025-02-11,2025-02-11,,,2025-04-28,Regular Decision,2025-06-30T00:15:40Z,27000,False,,False,,False,,False,False,False,False,True,False,False,,regular,12.0,,,,,False,False,"WL, Accepted"
YellowFumblingBuzzard,Accepted,3.8,166.0,,"$81,000",2024-11-15,,,,,,2024-12-04,Regular Decision,2025-06-13T15:24:42Z,81000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Tandra4,Rejected,3.6,158.0,5-9 years,,2024-10-31,,,,,,2024-12-04,,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,8.0,,,,,False,False,Rejected
CharlesMcgill,Waitlisted,3.48,163.0,,,,,,,,,2024-11-08,,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
reebs024,Rejected,3.3,153.0,,,,2025-04-03,,,,,2025-04-10,,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
AnxiousBlobfish,Accepted,3.82,165.0,,"$190,000, Full Tuition via endowed scholarship",2024-11-12,2024-11-13,2024-11-13,2024-11-13,2024-12-16,2024-11-15,2024-12-18,Regular Decision,2025-06-13T15:24:42Z,190000,False,Full Tuition via endowed scholarship,False,,False,,False,True,False,False,False,False,True,Multiple serious disclosures ,regular,,,,,,False,False,Accepted
Driftwoodecho,Waitlisted,4.0,162.0,,,,2025-01-14,,,,,2025-02-12,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
ThickCautiousSeal,"WL, Withdrawn",3.79,161.0,,,2024-11-02,,,,,,2024-12-04,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,,,,,,False,False,WL
Uztnus,Waitlisted,3.67,167.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
RemarkableAggressiveLion,"WL, Withdrawn",3.55,158.0,1-4 years,,2025-02-23,2025-02-24,2025-02-24,2025-02-24,,,2025-03-27,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
ExcellentHideousMilk,"WL, Withdrawn",3.45,169.0,1-4 years,,2024-12-23,,,,,,2025-02-12,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
LemursRKool,Accepted,3.71,168.0,1-4 years,"$137,000",2024-11-27,,,,,,2024-12-19,Regular Decision,2025-06-13T15:24:43Z,137000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
EarthySnobbishHorse,Rejected,2.39,171.0,5-9 years,,2025-02-12,2025-02-12,2025-02-12,,,,2025-02-20,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,True,UG Disciplinary Issues; Academic Dismissal; 2 Expunged/Sealed Misdemeanors,,5.0,,,,,False,False,Rejected
SkinnyNutritiousCat,Accepted,,,,,,,,,,,2025-03-21,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
SaltyBridgeTroll,Accepted,2.54,175.0,10+ years,"$27,000",2025-01-27,,,,,,2025-02-13,,2025-06-13T15:24:43Z,27000,False,,False,,False,White,False,False,False,False,False,False,False,,,13.0,,,,,False,False,Accepted
PastTackyCow,Pending,3.9,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CastIronQT,Pending,3.52,164.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
PerfectAquaticPhoenix,Rejected,3.3,159.0,1-4 years,,,,,,,,2024-09-15,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
Mikerossmeetschucknorris,Rejected,3.74,161.0,,,,,,,,,2025-02-12,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
Psgeigle,Accepted,3.86,166.0,1-4 years,"$171,000",2025-01-13,,,,,,2025-01-15,Regular Decision,2025-06-13T15:24:43Z,171000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
IcyEarthyBulldog,Pending,3.54,151.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Chadwick01,"WL, Withdrawn",3.74,167.0,5-9 years,,,2022-12-23,,,,,2025-03-05,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,False,True,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
chapeltownrag,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
KnowledgeableAvailableGiraffe,Accepted,3.79,168.0,0 years (KJD),"$132,675",2024-10-02,2024-10-02,2024-10-02,,,,2024-10-15,Regular Decision,2025-06-13T15:24:43Z,132675,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
sleeper23,Pending,,,1-4 years,,2024-11-11,,,2024-11-12,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
LuckyUnknownCentaur,"WL, Withdrawn",3.29,163.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
Whispering-Dachshund,"waitlisted, Withdrawn",4.1,161.0,1-4 years,,2025-03-14,2025-03-17,2025-03-17,,,,2025-03-19,Regular Decision,2025-07-18T17:46:23Z,,False,,True,,False,White,False,True,False,True,False,False,False,,regular,2.0,,,,,False,False,waitlisted
GoodSilentSeahorse,"Accepted, Attending",3.57,163.0,1-4 years,"$72,000",2024-12-02,,,,,,2024-12-17,Regular Decision,2025-06-13T15:24:44Z,72000,False,,False,,False,,False,True,False,False,True,False,False,,regular,2.0,,,,,False,False,Accepted
JoblessLastGuppy,Rejected,3.77,154.0,5-9 years,,2025-01-06,2025-01-06,2025-02-26,2025-02-26,,,2025-03-27,Regular Decision,2025-06-13T15:24:44Z,,False,,True,CAS Fee waived by school upon request,True,Black or African American,True,True,False,False,False,False,False,,regular,7.0,,,,,False,False,Rejected
BarelyBlueDevil,"WL, Withdrawn",3.4,161.0,1-4 years,,,,2025-03-11,,,,2025-04-10,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
Asfooooor,Rejected,3.45,155.0,1-4 years,,,,,,,,2025-03-19,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
InternalTruculentVole,"WL, Withdrawn",3.26,162.0,,,2024-12-01,2024-12-02,2024-12-02,,,,2024-12-17,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
kackael,Rejected,3.4,155.0,0 years (KJD),,,,,,,,2025-03-28,,2025-06-13T15:24:44Z,,False,,True,,False,White,False,True,False,False,False,False,False,,,0.0,,,,,False,False,Rejected
CityBarbie,"WL, Withdrawn",4.1,158.0,,,,,,,,,2025-02-12,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
CurvyHypnoticSheepdog,Waitlisted,3.92,160.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
PeteCarrollRunTheBall,Pending,3.7,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
FantasticScorpion,Accepted,3.72,170.0,1-4 years,"$171,000",,,,,,,2024-09-16,Regular Decision,2025-06-13T15:24:44Z,171000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
ScientificTacitGoose,Accepted,3.86,157.0,,"$54,000",,,,,,,2025-02-04,Regular Decision,2025-06-13T15:24:44Z,54000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
AdorableSwelteringBat,Waitlisted,3.68,158.0,1-4 years,,2024-11-15,2024-11-15,2024-11-19,,,,2024-12-10,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,American Indian/Alaskan Native,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
Sillygoose5124,waitlisted,3.61,159.0,,,2025-08-28,2025-08-28,2025-08-28,,,,2025-10-15,Regular Decision,2025-10-15T22:18:06Z,,False,,True,Requested,False,,False,False,False,False,False,False,False,,regular,,,,,,False,True,waitlisted
MichealRoss,Waitlisted,3.78,166.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Waitlisted
joy1998,Pending,3.66,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
HangingCrazyPickle,Rejected,3.38,154.0,1-4 years,,,,,,,,2024-12-03,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,Academic Probation,regular,2.0,,,,,False,False,Rejected
OminousOwl,"WL, Withdrawn",4.0,160.0,1-4 years,,2024-11-14,,,,,,2024-12-10,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
Bruce-Wayne,Accepted,3.8,155.0,,,2024-11-27,2024-12-02,2024-12-02,2024-12-02,,,2024-12-04,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ughlifeishard,Accepted,2.89,179.0,1-4 years,"$54,000",2024-11-26,2024-11-27,,,,,2024-12-04,Regular Decision,2025-06-13T15:24:45Z,54000,False,,False,,True,Other,False,False,False,False,False,False,True,Transcript states that I was unable to continue in the program after first year due to GPA.,regular,3.0,,,,,False,False,Accepted
Caramelmatchalatte,"WL, Withdrawn",3.5,166.0,,,,,,,,,2025-01-15,,2025-06-13T15:24:50Z,,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,WL
HoneybadgerThrower,Rejected,3.75,156.0,1-4 years,,,,,,,,2024-12-10,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
