user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
DoneTeaching7,Rejected,2.45,166.0,5-9 years,,2024-11-28,2024-11-28,2024-11-28,,,,2025-01-13,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Rejected
WorldlinessUnhappy12,Accepted,3.66,161.0,,"$120,000, Conditional, 2.75 GPA",2025-01-27,,,,,,2025-02-06,Regular Decision,2025-06-13T15:24:42Z,120000,True,2.75 GPA,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DiscreetHideousBaboon,Pending,3.71,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,True,,,4.0,,,,,False,False,Pending
NervousLina,Rejected,3.5,154.0,,,,,,,,,2025-03-20,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
LegallyBrunette716,Accepted,3.98,162.0,5-9 years,,2024-11-03,,,,,,2024-11-14,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Accepted
gullibleprune,Rejected,3.26,157.0,5-9 years,,,,,,,,2025-02-25,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,9.0,,,,,False,False,Rejected
PerfectAquaticPhoenix,Rejected,3.3,159.0,1-4 years,,,,,,,,2024-09-30,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
TheGuyFromSuits12,Rejected,3.26,155.0,1-4 years,,2024-10-17,,,,,,2025-01-06,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
ALLin3,"WL, Accepted",3.87,157.0,,,2025-01-22,,,,,,2025-03-01,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,"WL, Accepted"
SecondEquableBluebird,Rejected,3.36,152.0,,,2024-12-07,2024-12-07,,,,,2025-01-14,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
ScaryTypicalFowl,Waitlisted,3.95,154.0,,,,,,,,,2025-02-03,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
