user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
theaterkidloveslegallyblonde,Waitlisted,4.0,160.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
LegallyBlondeAF,Accepted,3.87,174.0,,,,,,,,,2025-02-13,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
PicayuneGiantHuman,"Withdrawn, Withdrawn",3.73,160.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,Withdrawn
Closekarma,Rejected,3.64,172.0,,,,,,,,,2025-03-06,,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
CricArch,Waitlisted,3.81,167.0,1-4 years,,2024-11-30,,,,,,2025-02-20,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
meguroko13,Waitlisted,3.98,163.0,1-4 years,,2025-02-01,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
FadedLivelyMagpie,Waitlisted,3.57,166.0,,,2024-12-31,,,,,,2025-04-03,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
PuzzledNecessaryBat,Waitlisted,3.87,169.0,,,2025-03-17,2025-03-17,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
AmazingFaithfulMouse,"WL, Withdrawn",3.9,167.0,,,2024-10-21,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
ConfusedHarshCat,Pending,3.5,167.0,,,2025-03-01,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
NaiveProbableMinotaur,Rejected,,,,,,,,,,,2025-03-06,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
neetrojean,Pending,3.85,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Reallyhopeful2025,Waitlisted,3.87,161.0,1-4 years,,2024-11-27,,,,,,2025-04-03,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Waitlisted
SoupB0y,Pending,2.85,154.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
OverratedSableGnome,Waitlisted,3.82,164.0,1-4 years,,2024-12-01,,,,,,2025-02-06,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
WiryGoodPuppy,Accepted,3.4,168.0,10+ years,,2024-12-17,,,,,,2025-03-06,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,True,,regular,15.0,,,,,False,False,Accepted
mehenry,Waitlisted,3.95,166.0,1-4 years,,2024-09-30,2024-10-01,2024-10-01,,,,2025-03-20,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
NCK21045,Pending,3.8,165.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
amcg22,Pending,3.78,157.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
podlaw,Rejected,3.78,155.0,,,2025-01-06,2025-01-06,,2025-01-07,,,2025-04-03,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
uptowngirl0602,Pending,3.7,169.0,1-4 years,,2024-10-25,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
sharkboy,Waitlisted,3.94,155.0,,,2024-11-13,2024-11-14,2024-11-18,,,,2025-03-06,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
TriteKnownCalf,Pending,3.72,166.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
