user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
whereisavi,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Barbzstayinschoolll,Waitlisted,3.91,160.0,1-4 years,,2024-12-01,,,,,,2025-01-09,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
Deimos,Waitlisted,3.86,168.0,,,2024-11-29,,,,,,2025-01-30,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
CricArch,Waitlisted,3.81,167.0,1-4 years,,2024-11-30,,,,,,2025-02-10,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
Fredosauceeee,Accepted,3.67,162.0,,,2025-01-06,,,,,,2025-01-22,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
SuperbPurringPeacock,Waitlisted,3.72,164.0,,,2024-09-20,,,,,,2025-01-03,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
StormyKraken,Accepted,3.98,168.0,,"$90,000",,,,,,,2025-03-12,Regular Decision,2025-06-30T01:39:19Z,90000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Nolan,"Withdrawn, Withdrawn",3.32,171.0,0 years (KJD),,,,,,,,2024-11-01,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,True,False,False,False,,regular,0.0,,,,,False,False,Withdrawn
PlagueisTheWiser,rejected,3.16,168.0,5-9 years,,2025-02-06,2025-02-07,,,,,,Regular Decision,2025-06-29T21:40:12Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,rejected
IcyInsidiousAnt,Accepted,3.72,170.0,,,,,,,,,2025-01-03,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
WildShakyInfant,Accepted,3.98,172.0,1-4 years,,2024-11-29,,,,,,2025-01-14,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
mehenry,Waitlisted,3.95,166.0,1-4 years,,2024-09-30,2024-10-01,2024-10-01,,,,2025-01-07,Regular Decision,2025-06-13T15:24:42Z,,False,,True,CRS,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
RabidVoicelessLeek,Rejected,3.7,162.0,,,2025-01-02,2025-01-03,2025-01-03,,,,2025-01-23,Early Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,early,,,,,,False,False,Rejected
