user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
LeMythe2000,"WL, Withdrawn",3.3,149,1-4 years,,,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,True,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
MuffinTopGolf,"WL, Withdrawn",3.0,149,,,2025-01-15,2025-01-16,2025-01-16,2025-01-24,,,2025-02-04,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Black or African American,True,True,False,True,False,False,True,,regular,,,,,,False,False,WL
ARO2025,Pending,3.1,150,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,6.0,,,,,False,False,Pending
RainyJudiciousReindeer,Accepted,3.5,154,,"$15,000",2024-11-10,,,2024-11-18,,,2025-01-24,Regular Decision,2025-06-13T15:24:44Z,15000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
RenegadeDawg0824,Pending,2.62,157,10+ years,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,White,False,False,False,False,False,False,True,"Academic Probably, Undergrad 1st Semester",,13.0,,,,,False,False,Pending
chicagocubsfan1744,Accepted,3.63,154,1-4 years,"$15,000",2025-02-09,2025-02-09,2025-02-10,2025-02-21,,,2025-02-27,,2025-06-13T15:24:45Z,15000,False,,False,,False,White,False,True,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
ScrawnyDeterminedDwarf,Rejected,2.55,163,10+ years,,2025-03-15,2025-03-15,2025-03-17,2025-03-17,,,2025-04-17,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,True,False,False,False,False,False,True,Pretty serious twenty years ago ,regular,12.0,,,,,False,False,Rejected
GorgeousFlawlessHare,Pending,3.75,153,,,2025-02-01,2025-02-19,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
AMC432,Rejected,3.18,154,10+ years,,,,2024-11-25,2024-12-03,,,2024-12-13,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,True,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Rejected
LegallyFrond,Accepted,2.59,170,1-4 years,"$30,000",,,,,,,2025-02-27,,2025-06-13T15:24:48Z,30000,False,,False,,False,White,False,False,False,False,False,False,True,"Academic Probation, misdemeanor ticket  ",,3.0,,,,,False,False,Accepted
AbrasiveMilitaryShoe,Waitlisted,3.7,153,,,,,,,,,2025-01-23,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
slurpy,Waitlisted,3.51,151,1-4 years,,2025-02-26,2025-02-26,,2025-03-03,,,2025-03-11,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
Maxmax,Accepted,3.55,158,,,,,,,,,2024-11-27,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Broken-Toaster,Accepted,3.5,159,1-4 years,"$45,000",2025-01-09,2025-01-09,2025-01-09,2025-01-24,,,2025-02-04,Regular Decision,2025-06-13T15:24:50Z,45000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
LovingLawLoveGirly,Accepted,3.98,154,1-4 years,"$45,000",2024-11-03,,2024-11-05,2024-11-17,,,2024-11-26,Regular Decision,2025-06-13T15:24:50Z,45000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
CatsNbooksNplants,Accepted,3.45,160,,,,,,,,,2025-01-23,,2025-06-13T15:24:51Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
StereotypedAggressiveDragon,Pending,3.2,153,,,,,,,,,,,2025-06-13T15:24:51Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SynonymousSpikyCheetah,Waitlisted,3.18,151,1-4 years,,,,,,,,2025-01-23,,2025-06-13T15:24:52Z,,False,,False,,False,,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Waitlisted
GruesomeFeebleHyena,Accepted,3.95,151,5-9 years,"$15,000",2025-02-11,2025-02-11,2025-02-12,2025-02-21,,,2025-02-27,Regular Decision,2025-06-13T15:24:52Z,15000,False,,False,,False,,False,True,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
Tator,Waitlisted,3.8,150,,,,,,,,,2025-04-09,,2025-06-13T15:24:53Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
lawstudent357,Accepted,2.66,165,1-4 years,"$30,000",2024-10-03,2025-01-23,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:54Z,30000,False,,False,,False,White,False,False,False,False,False,False,True,Minor in Possession ,regular,2.0,,,,,False,False,Accepted
StruggleBus,Accepted,4.06,155,,"$45,000",,,,,,,2025-04-04,,2025-06-13T15:24:54Z,45000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
AquaticStaleBeagle,Waitlisted,2.7,154,5-9 years,,2024-10-11,2024-10-14,,2024-10-14,,,,Regular Decision,2025-06-13T15:24:54Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Waitlisted
FloridaChic,Pending,2.75,148,10+ years,,2025-04-01,2025-04-02,,,,,,Regular Decision,2025-06-13T15:25:00Z,,False,,True,No,True,Black or African American,False,False,False,False,False,False,False,,regular,25.0,,,,,False,False,Pending
NillaGorilla,Accepted,3.51,162,1-4 years,"$75,000",,,,,,,2024-11-26,,2025-06-13T15:25:00Z,75000,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
ilovepuppiez123,Accepted,3.83,164,1-4 years,"$90,000",2024-10-22,,,2024-10-30,,,2024-11-15,Regular Decision,2025-06-13T15:25:02Z,90000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
RaggedAbjectKitten,Rejected,2.7,154,5-9 years,,2025-03-17,,,,,,2025-06-10,Regular Decision,2025-06-13T15:25:12Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
PaleDrabBlackbird,"Accepted, Hold",3.72,152,,"$15,000, Conditional",2024-11-01,2024-11-04,2024-11-04,2024-11-18,,,2025-01-23,Regular Decision,2025-06-13T15:24:50Z,15000,True,,False,,False,White,False,False,True,False,False,False,False,,regular,,,,,,False,False,Accepted
TheRedBaronPizza,"Accepted, Hold",2.21,158,1-4 years,"$15,000",,,,,,,2025-01-23,,2025-06-13T15:24:57Z,15000,False,,False,,True,Hispanic/Latino,False,False,True,False,False,False,False,,,2.0,,,,,False,False,Accepted
WorriedFumblingBlackbird,"Accepted, Withdrawn",3.6,156,,"$45,000",2025-03-02,2025-03-02,2025-03-02,2025-03-02,,,2025-03-11,Regular Decision,2025-06-13T15:24:47Z,45000,False,,False,,False,White,False,True,False,True,False,False,False,,regular,,,,,,False,False,Accepted
FeignedTiresomeGrasshopper,"accepted, Attending",2.2,156,,,,,,,,,2025-07-02,Regular Decision,2025-07-08T01:48:48Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,True,False,False,,regular,,,,,,False,False,accepted
icedchai,accepted,3.36,154,1-4 years,"$15,000",2025-03-28,2025-03-28,,2025-03-31,,,2025-04-04,Regular Decision,2025-07-24T17:56:27Z,15000,False,,False,,False,,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,accepted
TrickyQuackJackal,"Accepted, Withdrawn",3.61,165,5-9 years,"$75,000",2024-12-15,2024-12-16,2024-12-16,2025-01-02,,,2025-01-10,,2025-09-24T15:32:55Z,75000,False,,False,,False,White,False,False,False,True,False,False,False,,,6.0,,,,,False,False,Accepted
WittyBookcase,"WL, Withdrawn",3.02,161,1-4 years,,,,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:58Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
IceRoadRunner,"WL, Withdrawn",3.37,159,1-4 years,,2025-02-28,,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:59Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
lotto,"Accepted, Attending",3.72,157,1-4 years,"$60,000, Negotiated an additional 10,000/year after a 2 point LSAT score increase.",2025-01-09,2025-01-09,2025-01-24,,,,2025-02-04,Regular Decision,2025-06-13T15:24:46Z,60000,False,"Negotiated an additional 10,000/year after a 2 point LSAT score increase.",False,,False,,False,False,False,False,True,False,True,Undergraduate Disciplinary Action,regular,2.0,,,,,False,False,Accepted
TenuousArrogantPotato,"Accepted, Attending",4.03,163,,"$90,000",,,,,,,2025-02-27,Regular Decision,2025-06-13T15:25:00Z,90000,False,,True,,False,White,False,False,False,False,True,False,False,,regular,,,,,,False,False,Accepted
DullAxiomaticCow,"Accepted, Withdrawn",4.18,154,,"$45,000",2024-10-27,,,,,,2024-11-15,,2025-06-13T15:24:44Z,45000,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,Accepted
QuixoticFreezingKitten,"Accepted, Withdrawn",3.47,163,1-4 years,"$60,000",,,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:45Z,60000,False,,False,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
WarmNinePrawn,"Accepted, Withdrawn",3.51,157,0 years (KJD),"$60,000",,,,,,,2024-11-15,,2025-06-13T15:24:46Z,60000,False,,False,,True,Multiracial,False,False,False,True,False,False,False,,,0.0,,,,,False,False,Accepted
Hugostiglits37,"Accepted, Withdrawn",3.2,160,5-9 years,"$45,000",2025-03-14,2025-03-15,2025-03-17,,,,2025-04-03,Regular Decision,2025-06-13T15:24:49Z,45000,False,,True,,False,White,False,False,False,True,False,False,False,,regular,5.0,160.0,158.0,4.5,,False,False,Accepted
StevieMoe,"Accepted, Withdrawn",3.37,152,,,,,,,,,2025-03-17,,2025-06-13T15:24:51Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,,,,,,False,False,Accepted
hermionewannabe,"Accepted, Withdrawn",4.0,166,0 years (KJD),"$75,000",,,,,,,2024-11-26,,2025-06-13T15:24:58Z,75000,False,,False,,False,White,False,True,False,True,False,False,False,,,0.0,,,,,False,False,Accepted
joeburrowmvp,"Accepted, Withdrawn",3.86,165,,,2024-11-07,,,2024-11-18,,,2024-11-26,Regular Decision,2025-06-13T15:25:04Z,,False,,False,,False,,False,True,False,True,False,False,False,,regular,,,,,,False,False,Accepted
beaubeau17,Accepted,3.94,158,,,,,,,,,2024-11-01,,2025-06-13T15:27:31Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Xwartu,Waitlisted,2.83,161,1-4 years,,2025-04-01,,,,,,,Regular Decision,2025-09-13T23:03:21Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
lawschooldreamer23,accepted,3.2,148,,,,,,,,,2025-07-02,Regular Decision,2025-07-02T20:25:19Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,accepted
AwwSnapItsBrad,"Accepted, Attending",3.77,160,10+ years,"$75,000",2024-10-07,2024-10-09,,,,,2024-11-01,Regular Decision,2025-06-13T15:24:49Z,75000,False,,False,,False,White,False,True,False,False,True,False,True,"Convicted felon, 8 years sober from active drug addiction ",regular,10.0,,,,,False,False,Accepted
MyKinkIsKarma,"Accepted, Attending",3.34,154,,"$15,000",2025-02-28,2025-02-28,2025-02-28,,,,2025-03-11,Regular Decision,2025-06-13T15:24:52Z,15000,False,,False,,False,White,False,False,False,False,True,False,False,,regular,,,,,,False,False,Accepted
CondemnedLawyer,"Accepted, Withdrawn",3.58,153,5-9 years,"$15,000",2025-01-01,,,,,,2025-01-21,Regular Decision,2025-06-13T15:24:43Z,15000,False,,True,,True,Hispanic/Latino,True,False,False,True,False,False,False,,regular,9.0,,,,,False,False,Accepted
BeneaththeWheel,"Accepted, Withdrawn",3.94,164,0 years (KJD),"$75,000, $25,000 per year, No GPA or Class Ranking Requirements",2024-10-20,2024-10-22,,2024-10-30,,,2024-11-15,Regular Decision,2025-06-13T15:24:44Z,75000,False,"$25,000 per year, No GPA or Class Ranking Requirements",False,,False,,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,Accepted
SpuriousWickedMayfly,"Accepted, Withdrawn",3.45,156,0 years (KJD),"$30,000",,,,,,,2024-11-19,,2025-06-13T15:24:46Z,30000,False,,False,,False,White,False,False,False,True,False,False,False,,,0.0,,,,,False,False,Accepted
MinorSelectiveBuzzard,"Accepted, Withdrawn",3.82,160,,"$75,000",,,,,,,2025-02-04,Regular Decision,2025-06-13T15:24:47Z,75000,False,,False,,False,,False,True,False,True,False,False,False,,regular,,,,,,False,False,Accepted
MercifulRampantLavender,"Accepted, Withdrawn",3.86,170,,"$75,000",2025-02-05,,,,,,2025-02-19,,2025-06-13T15:24:47Z,75000,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,Accepted
NervousLina,"Accepted, Withdrawn",3.5,154,,"$30,000",,,,,,,2025-03-15,Regular Decision,2025-06-13T15:24:48Z,30000,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,,,,,,False,False,Accepted
VengefulAbsentPirate,"Accepted, Withdrawn",3.5,153,,"$15,000",,,,,,,2025-03-31,,2025-06-13T15:24:48Z,15000,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,Accepted
UpandDownBroadway,"Accepted, Withdrawn",3.87,164,,"$90,000",2024-10-31,2024-10-31,2024-11-01,2024-11-18,,,2024-11-26,Regular Decision,2025-06-13T15:24:48Z,90000,False,,False,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,Accepted
goforbronze,"Accepted, Withdrawn",3.9,157,1-4 years,"$20,000",2024-12-31,,,2025-01-13,,,2025-01-23,Regular Decision,2025-06-13T15:24:49Z,20000,False,,False,,False,,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,Accepted
HangingMurkyPuma,"Accepted, Withdrawn",3.56,158,,"$60,000",2024-11-29,,,,,,2024-12-12,Regular Decision,2025-06-13T15:24:49Z,60000,False,,False,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,,,,,,False,False,Accepted
TruthfulSpectacularMongrel,"Accepted, Withdrawn",2.79,161,1-4 years,"$30,000",2024-11-27,2024-11-27,2025-02-05,,,,2025-02-19,,2025-06-13T15:24:51Z,30000,False,,True,,False,White,False,True,False,True,False,False,False,,,4.0,,,,,False,False,Accepted
InexpensiveGreenBaboon,"Accepted, Withdrawn",3.7,171,0 years (KJD),,2024-12-09,,2024-12-12,,,,2025-01-10,Regular Decision,2025-06-13T15:24:53Z,,False,,True,,False,,False,True,False,True,False,False,False,,regular,0.0,,,,,False,False,Accepted
WarlikeSavoryPegasus,"Accepted, Withdrawn",4.0,168,0 years (KJD),"$90,000",2024-10-01,,,,,,2024-11-01,Regular Decision,2025-06-13T15:24:53Z,90000,False,,False,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,Accepted
TheKAF,"Accepted, Withdrawn",3.4,157,1-4 years,"$30,000",2024-10-11,,,,,,2024-11-15,Regular Decision,2025-06-13T15:24:55Z,30000,False,,False,,False,,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,Accepted
MessyPerfectLeek,"Accepted, Withdrawn",3.76,161,0 years (KJD),"$75,000",2025-03-05,2025-03-05,2025-03-05,2025-03-11,,,2025-03-17,,2025-06-13T15:24:57Z,75000,False,,False,,False,White,False,False,False,True,False,False,False,,,0.0,,,,,False,False,Accepted
goofysillygal,"Accepted, Withdrawn",3.93,157,,"$60,000",,,,,,,2024-11-01,,2025-06-13T15:24:57Z,60000,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,Accepted
MPonceMa,"Accepted, Withdrawn",2.88,159,,"$30,000",2024-12-28,2024-12-28,,,,,2025-01-23,Regular Decision,2025-06-13T15:25:00Z,30000,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,,,,,,False,False,Accepted
