user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
MaseSump,Rejected,3.57,153.0,,,2024-12-06,,,,,,2025-01-24,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
CripTheLaw,Accepted,4.27,177.0,1-4 years,"$123,000",2024-11-30,2024-12-01,2024-12-02,,,,2025-01-10,Regular Decision,2025-06-13T15:24:42Z,123000,False,,True,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
cali2good,Rejected,3.4,156.0,1-4 years,,,,,,,,2025-03-07,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
IllZanyMacaw,Accepted,3.93,173.0,,"$76,584",2024-10-31,,,,,,2024-12-13,,2025-06-13T15:24:43Z,76584,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
InnocentGorgeousLeopard,Rejected,3.9,162.0,,,,,,,,,2024-12-06,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
AlexaC,Accepted,3.8,165.0,1-4 years,"$50,000, Fee Waiver: $0 Application Fee",2025-02-04,,,,,2025-03-03,2025-03-07,Regular Decision,2025-06-13T15:24:44Z,50000,False,,True,$0 Application Fee,False,,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
Psgeigle,Rejected,3.86,166.0,1-4 years,,2024-12-27,2024-12-27,2024-12-27,,,,2025-02-07,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
NutritiousHollowCamel,Rejected,3.96,152.0,,,,,,,,,2025-01-29,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
valdez1080,Pending,2.75,148.0,10+ years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Pending
RepulsiveSubstantialChimpanzee,Accepted,3.24,169.0,,"$45,000",2024-10-22,2024-10-23,2024-10-23,,,,2025-02-14,Regular Decision,2025-06-13T15:24:45Z,45000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ForeverWebkinzUser,Waitlisted,3.98,164.0,0 years (KJD),,,,,,,,2025-02-21,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
lawsagegreen,Pending,3.2,172.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ThisDoesntFeelReal,Accepted,4.0,174.0,0 years (KJD),,2024-09-13,,,,,2024-09-30,2024-10-11,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
ShyFastHammerhead,"WL, Withdrawn",3.19,168.0,1-4 years,,2024-12-31,,,,,,2025-02-21,Regular Decision,2025-06-13T15:24:53Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
aaannie,Rejected,3.93,166.0,,,,,,,,,2025-03-24,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
chairsniffer,"WL, Withdrawn",3.7,167.0,,,,2024-11-17,,,,,2025-01-10,,2025-06-13T15:25:00Z,,False,,True,,True,Hispanic/Latino,False,True,False,True,False,False,False,,,,,,,,False,False,WL
PiggyPlumPie,Rejected,3.65,161.0,,,2024-11-27,,,,,,2025-01-24,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
DynamicTabooLeprechaun,Rejected,,171.0,1-4 years,,2025-02-26,2025-02-26,2025-02-26,2025-02-27,,,2025-04-04,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
Coltmustangs47,Rejected,3.5,169.0,,,2025-03-01,,2025-03-03,,,,2025-04-04,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
bigcat,Pending,2.5,177.0,,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SlavicThunder,Rejected,3.63,165.0,,,,,,,,,2024-12-06,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
YellowToughHoneybee,Pending,,,,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
luperkayleeuh,Rejected,3.91,152.0,1-4 years,,,,,,,,2025-04-22,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
DistinctGroovyGiraffe,Accepted,3.83,173.0,,"$108,000",,,,,,,2025-01-10,Regular Decision,2025-06-13T15:24:48Z,108000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
t103orbust,Rejected,3.37,164.0,,,,,,,,,2025-03-07,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
BrainyFinickyBeagle,Rejected,3.6,157.0,1-4 years,,2025-02-07,,,,,,2025-03-24,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
OnerousSlimyBarracuda,Rejected,2.2,159.0,,,,,,,,,2025-03-13,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
VolatileLushRottweiler,Accepted,3.35,170.0,5-9 years,"$46,500, Full-tuition, all three years, unconditional",2025-03-02,2025-03-03,,,,,2025-04-25,Regular Decision,2025-06-13T15:24:48Z,46500,False,"Full-tuition, all three years, unconditional",True,,False,White,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Accepted
PluckyOldPlatypus,Pending,3.8,151.0,,,2024-09-01,,,2024-09-16,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
VioletTangyPhoenix,Waitlisted,2.9,172.0,1-4 years,,,,,,,,2024-11-08,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Waitlisted
RigidWaitingQuail,Pending,3.2,170.0,,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SengokuHistoryNerd,Pending,3.44,173.0,,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,East Asian,False,False,False,False,False,False,True,"Self-plagrism, though no severe penalty, fail on assignment and remained in honors programme.",,,,,,,False,False,Pending
BlueberriesBarrel,Waitlisted,3.09,165.0,1-4 years,,2024-11-04,2024-12-05,2024-12-10,2024-12-11,,,2025-01-24,Regular Decision,2025-06-13T15:24:49Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
mxsparta,Waitlisted,3.82,167.0,,,2024-12-13,,,,,,2025-01-24,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
JaggedCrocodile,Rejected,3.78,157.0,1-4 years,,2024-12-16,2024-12-16,2024-12-16,2024-12-16,,,2025-01-24,Regular Decision,2025-06-13T15:24:50Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
OceanicNaturalSnail,Rejected,3.7,166.0,,,,,,,,,2024-12-06,,2025-06-13T15:24:50Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
SafeHatefulRattlesnake,Rejected,3.15,161.0,5-9 years,,2025-01-02,2025-01-02,2025-01-22,,,,2025-03-04,Regular Decision,2025-06-13T15:24:50Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Rejected
Icepopbaby,Rejected,3.39,158.0,1-4 years,,2025-01-10,,,,,,2025-02-28,,2025-06-13T15:24:51Z,,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
DeadpanWetIguana,Rejected,3.94,162.0,1-4 years,,,,,,,,2025-03-24,,2025-06-13T15:24:51Z,,False,,True,,False,White,False,True,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
elle-woods-law,Rejected,3.5,162.0,,,,,,,,,2025-01-24,Regular Decision,2025-06-13T15:24:52Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
SteepBrightSkater,Accepted,4.1,174.0,,,,,,,,,2025-01-15,,2025-06-13T15:24:52Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
AbrasiveTiresomeReindeer,Rejected,3.53,167.0,1-4 years,,2024-11-01,2024-11-04,2024-11-11,2024-11-14,,,2024-12-13,,2025-06-13T15:24:52Z,,False,,True,,False,White,False,False,False,False,False,False,True,Academic Warning- 0.88 GPA my freshman year.,,4.0,,,,,False,False,Rejected
spencerrmarsh,Rejected,3.37,166.0,1-4 years,,2024-12-01,,,,,,2025-01-24,Regular Decision,2025-06-13T15:24:53Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
TheBigDeal66,Rejected,3.52,159.0,5-9 years,,2024-12-10,,,,,,2025-01-25,,2025-06-13T15:24:53Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Rejected
LightningBug,Rejected,3.85,166.0,,,,,,,,,2025-03-24,,2025-06-13T15:24:54Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Rejected
Loxley,Pending,3.5,163.0,,,,,,,,,,,2025-06-13T15:24:54Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DidacticComplexReader,Rejected,3.4,160.0,,,,,,,,,2025-02-01,,2025-06-13T15:24:54Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
FrequentConsciousBeetle,Accepted,3.94,179.0,,"$50,000",,,,,,,2025-01-06,,2025-06-13T15:24:55Z,50000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
theoz50,Rejected,2.8,166.0,10+ years,,2024-12-23,2024-12-23,2024-12-23,,,,2025-02-21,Regular Decision,2025-06-13T15:24:55Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Rejected
AdorableTiredCarrot,Pending,3.55,159.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:55Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,8.0,,,,,False,False,Pending
