user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
charliekitty18,Accepted,3.97,158.0,,"$174,000, Conditional",2025-02-06,,,,,,2025-02-18,,2025-06-13T15:24:42Z,174000,True,,False,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
IntelligentInquisitiveSquirrel,Accepted,3.77,155.0,,"$150,000, Conditional",2024-10-18,,,,,,2024-11-22,Regular Decision,2025-06-13T15:24:42Z,150000,True,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
NervousMothMan,Pending,3.9,161.0,,,2024-10-15,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
VictoriousWillingBunny,Accepted,3.8,153.0,,"$13,000",2024-12-19,2024-12-19,,,,,2025-01-07,Regular Decision,2025-06-13T15:24:42Z,13000,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
bmrblaw,Pending,3.8,154.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DefectiveNecessaryWeasel,Pending,3.3,150.0,,,2025-02-19,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MagnificentShortQueen,Waitlisted,,153.0,5-9 years,,2025-02-04,,,,,,2025-03-13,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Waitlisted
ORCAPOLA,"WL, Withdrawn",3.32,151.0,,,2025-02-05,2025-02-05,2025-02-05,,,,2025-02-19,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
GiftedReadyEmu,Accepted,3.82,157.0,,"$174,000, Conditional",2025-01-15,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:44Z,174000,True,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
hazeleyedgirl,Accepted,3.91,154.0,,,2025-02-21,2025-02-24,,,,,2025-03-13,,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SleepyKrazyKoala,Accepted,3.7,155.0,1-4 years,"$150,000, Conditional",,,,,,,2025-04-10,Regular Decision,2025-06-13T15:24:44Z,150000,True,,True,,False,White,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
Fridge,Accepted,3.6,167.0,,"$187,200, Conditional",2024-12-12,2024-12-12,2024-12-13,2024-12-13,,,2025-01-06,Regular Decision,2025-06-13T15:24:44Z,187200,True,,False,,False,East Asian,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
HandyIrateTerrier,Accepted,2.3,165.0,10+ years,"$50,000, Conditional",,,,,,,2025-01-06,Regular Decision,2025-06-13T15:24:44Z,50000,True,,False,,False,White,False,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Accepted
pitiful-pain-9,Waitlisted,2.6,154.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Other,False,True,False,False,False,False,True,,regular,8.0,,,,,False,False,Waitlisted
SafeHallowedJaguar,Pending,3.5,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
WoodenProbableInsect,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PFIRLPA,Rejected,3.91,173.0,10+ years,,,,,,,,2025-03-13,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,True,"curfew, underage drinking, disorderly conduct",,10.0,,,,,False,False,Rejected
LowstatVetParalegal69,Accepted,3.1,157.0,1-4 years,"$58,000, Conditional, First year",2024-11-15,,,,,,2024-12-05,Regular Decision,2025-06-13T15:24:45Z,58000,True,First year,True,,True,Hispanic/Latino,True,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
FullGuardedAdmit,"WL, Withdrawn",2.75,159.0,1-4 years,,2024-12-02,,,2024-12-08,,,2025-01-09,Regular Decision,2025-06-13T15:24:51Z,,False,,False,,False,,False,True,False,True,False,False,True,,regular,2.0,,,,,False,False,WL
AliveCreepyCapybara,Accepted,3.35,157.0,,"$50,000, Conditional",,,,,,,2025-01-07,,2025-06-13T15:24:45Z,50000,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
dman0808,Accepted,3.94,155.0,1-4 years,"$150,000, Conditional, Conditional",2025-01-19,,,,,,2025-02-18,Regular Decision,2025-06-13T15:24:45Z,150000,True,Conditional,False,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
MatureNimblePikachu,Waitlisted,2.84,152.0,,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
RetiredCPO,Rejected,3.75,148.0,,,,,,,,,2025-03-08,,2025-06-13T15:24:45Z,,False,,True,,False,White,True,True,False,False,False,False,False,,,,,,,,False,False,Rejected
QuirkySourSwallow,Waitlisted,2.59,154.0,,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
MagnificentUnwieldyLlama,Waitlisted,3.3,150.0,,,2024-10-29,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,True,Native Hawaiian or other Pacific Islander,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
PERMQueen,Accepted,3.3,155.0,1-4 years,"$50,000, Conditional",2024-11-02,,2024-11-04,,,,2024-12-04,Regular Decision,2025-06-13T15:24:46Z,50000,True,,False,,True,American Indian/Alaskan Native,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
EnviousFuturisticBobcat,"Accepted, Withdrawn",3.65,168.0,1-4 years,"$200,000, Conditional",,,,,,,2025-01-09,Regular Decision,2025-06-13T15:24:46Z,200000,True,,False,,False,,False,True,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
alasneeze,Accepted,3.56,160.0,,"$194,160, Conditional",,,,,,,2025-01-06,,2025-06-13T15:24:46Z,194160,True,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
matchatiramisu,Accepted,3.86,153.0,,"$150,000, Conditional",,,,,,,2025-02-24,,2025-06-13T15:24:46Z,150000,True,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
Ibra202him,"WL, Withdrawn",2.42,154.0,,,2025-04-01,2025-04-02,2025-04-08,2025-04-08,,,,,2025-06-13T15:24:57Z,,False,,False,,True,Black or African American,True,False,False,True,False,False,False,,,,,,,,False,False,WL
typeo,Accepted,3.2,172.0,1-4 years,"$174,000, Conditional",2024-10-09,,,,,,2024-11-13,Regular Decision,2025-06-13T15:24:46Z,174000,True,,False,,False,,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
