user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Sugarteats,Accepted,3.59,151.0,0 years (KJD),"$33,000",2024-12-30,,,,,,2025-02-05,,2025-06-13T15:24:42Z,33000,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
Lawschoolsoon,Accepted,3.55,165.0,1-4 years,"$94,500",,,,,,,2024-11-19,Regular Decision,2025-06-13T15:24:42Z,94500,False,,False,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
Alawpoopy,Accepted,3.52,156.0,5-9 years,"$64,125",2024-12-03,2025-01-08,,,,,2025-01-08,Regular Decision,2025-06-13T15:24:43Z,64125,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
LegallyBrunette716,Accepted,3.98,162.0,5-9 years,"$91,800",2024-11-25,,,,,,2025-01-09,Regular Decision,2025-06-13T15:24:43Z,91800,False,,False,,False,White,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Accepted
RollTideRoll,Pending,3.57,,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
ItchyClumsyLeek,Pending,,155.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
TediousAdorableFerret,Rejected,2.8,155.0,,,,,,,,,2025-02-20,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
DisgustedKnowingSnail,Accepted,2.6,157.0,,,,,,,,,2025-02-21,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ExcellentFascinatedStingray,Accepted,2.56,156.0,10+ years,,2024-12-31,,,,,,2025-02-17,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,20.0,,,,,False,False,Accepted
catherinethelawyer,Accepted,3.66,161.0,5-9 years,"$94,500, Dean's Excellence Scholarship, Fee Waiver: unsolicited, silent",2024-12-22,2024-12-23,,,,,2025-01-21,Regular Decision,2025-06-13T15:24:43Z,94500,False,Dean's Excellence Scholarship,True,"unsolicited, silent",False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
DailyFantasticOpossum,Accepted,3.92,166.0,,"$94,500",,2024-12-01,,,,,2025-01-08,Regular Decision,2025-06-13T15:24:43Z,94500,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
HaplessFriendlyTomato,Pending,2.95,155.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Iwanttogotolawschoolsobad,Rejected,3.93,152.0,,,,,,,,,2025-05-02,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
NeighborlyLyricalCorgi,Accepted,3.53,170.0,1-4 years,"$94,500",,,,,,,2025-01-08,,2025-06-13T15:24:44Z,94500,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
OneBrashBuffalo,"WL, Withdrawn",2.37,167.0,,,2025-02-09,,,,,,2025-04-10,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,True,False,False,True,"One Time Plagiarism, Academic Probation",regular,,,,,,False,False,WL
AddictedClumsyOrange,"Accepted, Withdrawn",3.48,153.0,1-4 years,,,,,,,,2024-12-04,,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,False,False,True,False,False,False,,,1.0,,,,,False,False,Accepted
Grahammy04,Pending,3.54,158.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
IslandBoy714,Pending,3.2,150.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
Nixon919,Accepted,3.83,176.0,,"$94,500",,,2024-11-22,,,,2024-12-10,Regular Decision,2025-06-13T15:24:45Z,94500,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
AverageJoesRUs1776,Accepted,2.67,163.0,5-9 years,"$91,800",2024-11-27,2024-11-27,,,,,2025-01-08,Regular Decision,2025-06-13T15:24:45Z,91800,False,,True,,False,White,False,False,False,False,False,False,True,Arrest with no conviction / successful completion of deferred sentencing agreement,regular,5.0,,,,,False,False,Accepted
cnw1198,Pending,2.1,144.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Liquid-Dino,Accepted,3.4,157.0,5-9 years,,2025-02-09,,,,,,2025-03-10,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
islairis,Accepted,3.6,159.0,,"$81,000",2025-02-14,,,,,,2025-03-10,,2025-06-13T15:24:46Z,81000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
CooingDeafeningHydra,Pending,2.08,158.0,1-4 years,,2024-11-25,2024-11-26,2024-11-26,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,True,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Pending
StereotypedSpiffyTomato,"WL, Withdrawn",3.91,163.0,,,2025-03-06,,,,,,2025-04-11,,2025-06-13T15:25:01Z,,False,,True,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,WL
BLamb28,Pending,2.52,147.0,10+ years,,,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,True,True,False,False,False,False,False,,regular,11.0,,,,,False,False,Pending
TabooQuickReindeer,Accepted,3.6,158.0,,"$81,000",2024-12-21,2024-12-23,,2025-01-09,,,2025-01-21,Regular Decision,2025-06-13T15:24:46Z,81000,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
CertainHandsomeTank,Accepted,3.41,165.0,1-4 years,"$94,500, Conditional",,,,,,,2025-01-10,,2025-06-13T15:24:46Z,94500,True,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
