user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
LevelSmilingCivet,Accepted,3.34,152.0,,"$48,000",,,,,,,2025-01-03,,2025-06-13T15:24:42Z,48000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
wishesandprayers,Accepted,3.46,147.0,1-4 years,,2024-09-02,2024-09-13,2024-09-13,2024-09-13,,,2024-09-25,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
InsidiousNoxiousBunny,Rejected,2.42,149.0,,,2024-11-22,,,,,,2025-03-27,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
WVUHopeful,Accepted,2.89,167.0,5-9 years,"$84,000",,,,,,,2024-12-03,Regular Decision,2025-06-13T15:24:43Z,84000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
MelodicAloofSeahorse,Pending,2.66,147.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
RaggedAbjectKitten,"WL, Withdrawn",2.7,154.0,5-9 years,,2024-12-21,,2025-01-28,,,,2025-03-10,Regular Decision,2025-06-13T15:24:51Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
ScatteredMaterialCamel,Accepted,3.44,158.0,5-9 years,"$96,000",2025-02-05,,,,,,2025-02-19,,2025-06-13T15:24:45Z,96000,False,,False,,False,White,False,True,False,False,False,False,False,,,6.0,,,,,False,False,Accepted
meetu,Accepted,3.97,153.0,,"$102,000",,,,,,,2025-03-09,,2025-06-13T15:24:45Z,102000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,True,False,Accepted
BluePretty,Accepted,3.3,147.0,,,,,,,,,2025-02-22,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
HorribleFiveCuttlefish,Accepted,3.49,164.0,,"$84,000",2025-01-06,,,,,,2025-01-22,Regular Decision,2025-06-13T15:24:45Z,84000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
WhisperingTalentedFox,Accepted,,,,,,,,,,,2025-03-20,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PanickyFanaticalBarnacle,Accepted,3.7,156.0,1-4 years,"$105,000",2024-11-13,,,,,,2024-11-20,,2025-06-13T15:24:49Z,105000,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
SadSuperReverseSplitter,Accepted,3.97,149.0,0 years (KJD),"$87,000",,,,,,,2025-02-28,Regular Decision,2025-06-13T15:24:49Z,87000,False,,True,,False,White,False,True,False,False,False,False,True,Underage Possession of Alc,regular,0.0,,,,,False,False,Accepted
OneCloud,Accepted,3.2,149.0,,"$30,000, Conditional",,,,,,,2025-03-12,,2025-06-13T15:24:49Z,30000,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
MissyNonna,Accepted,2.53,158.0,1-4 years,"$42,000",2024-12-27,,,,,,2025-01-25,,2025-06-13T15:24:49Z,42000,False,,False,,True,Other,False,True,False,False,False,False,True,Academic Dismissal,,3.0,,,,,False,False,Accepted
SuddenSableOgre,"Accepted, Withdrawn",3.97,163.0,1-4 years,"$114,000",2024-12-17,2024-12-18,,2025-01-08,,,2025-01-22,Regular Decision,2025-06-13T15:24:49Z,114000,False,,False,,False,,False,True,False,True,False,False,False,,regular,2.0,,,,,False,False,Accepted
FeignedTiresomeGrasshopper,Accepted,2.2,156.0,,"$50,000",,,,,,,2025-03-20,,2025-06-13T15:24:50Z,50000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
