user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
kallyce,Pending,3.77,152.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BootlegBlackElleWoods,Rejected,3.7,150.0,,,2025-01-03,2025-01-03,2025-01-09,2025-02-28,,,2025-05-06,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
SkillfulNippyHound,Pending,3.52,157.0,5-9 years,,2025-01-03,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Pending
podlaw,Pending,3.78,155.0,,,2025-01-03,,2025-01-09,2025-01-31,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
legal27,Pending,3.57,148.0,5-9 years,,2025-02-26,2025-02-26,2025-02-27,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,True,DUI (2021),,8.0,,,,,False,False,Pending
PaleDrabBlackbird,Pending,3.72,152.0,,,2024-12-01,,2024-12-02,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
Cbarani0,"WL, Withdrawn",3.87,160.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Other,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
TediousAdorableFerret,Rejected,2.8,155.0,,,,,,,,,2025-05-02,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
TheGoodLlama,Pending,3.8,152.0,10+ years,,2024-12-03,2024-12-03,2024-12-10,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Pending
wharfrat,Accepted,3.11,175.0,,"$180,000",2024-11-28,2024-12-28,,2024-12-11,,,2025-02-24,Priority Track,2025-06-13T15:24:43Z,180000,False,,True,,False,White,False,False,False,False,False,False,False,,priority,,,,,,False,False,Accepted
FastRainyChameleon,Pending,3.13,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
FragileHurriedDeer2,Pending,3.59,,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Pending
