user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
NervousLina,Accepted,3.5,154.0,,,,,,,,,2025-03-26,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
UptightRightLlama,Pending,3.0,151.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Maverickax123,Waitlisted,3.6,,,,2025-02-24,2025-02-24,,,,,,,2025-06-13T15:24:45Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Liquid-Dino,Pending,3.4,157.0,5-9 years,,2025-02-09,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
HelpfulTiger,Pending,3.6,,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
blimeylimeyguy,Pending,3.67,153.0,1-4 years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
HaplessBreakableBulldog,Pending,3.58,146.0,1-4 years,,2024-10-29,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
HeadyDesertedTortoise,Accepted,3.98,168.0,,,2025-01-17,2025-01-17,2025-02-06,2025-02-06,,,2025-02-20,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
HugeHolisticAngelfish,Waitlisted,3.78,154.0,5-9 years,,2024-11-28,,,2024-12-19,2025-02-03,,2025-02-03,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,,False,False,False,False,False,False,True,,regular,5.0,,,,,False,False,Waitlisted
dpresley,Pending,,,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
OnerousSlimyBarracuda,Rejected,2.2,159.0,,,,,,,,,2025-03-13,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
Cornhusker,Waitlisted,3.97,151.0,,,,,,,,,2025-02-07,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Ryankelly081891,Waitlisted,2.98,152.0,,,,,,,,,2025-02-21,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
WishMeLuckkkkk,Pending,3.39,152.0,,,2025-02-08,,,,,,,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
llama,Pending,4.0,161.0,1-4 years,,2024-09-21,2024-09-25,,,,,,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,False,False,False,True,speed ticket,regular,4.0,,,,,False,False,Pending
PaleDrabBlackbird,Waitlisted,3.72,152.0,,,2024-11-01,2024-11-04,2024-11-04,2024-11-04,,,2025-02-05,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
AboundingTruculentTurtle,Accepted,4.15,156.0,,"$45,000, Conditional",2024-09-15,,,,,,2024-12-02,Regular Decision,2025-06-13T15:24:50Z,45000,True,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
slurpy,Rejected,3.51,151.0,1-4 years,,2025-02-05,2025-02-05,,,,,2025-02-21,Regular Decision,2025-06-13T15:24:51Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
BroadSecondMillipede,Waitlisted,,,,,2025-03-18,2025-03-18,2025-03-19,2025-03-31,,,,,2025-06-13T15:24:52Z,,False,,False,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
RespectfulPotato,Rejected,3.34,149.0,,,,,,,,,2025-03-27,,2025-06-13T15:24:52Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
