user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
NervousMouse,Accepted,3.84,159.0,5-9 years,"$75,000, Conditional, 2.90+ GPA",2024-10-26,2024-10-26,2024-10-28,2025-01-14,2025-01-17,,2024-01-31,Regular Decision,2025-06-13T15:24:42Z,75000,True,2.90+ GPA,True,,False,White,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
TheDropOut,Rejected,3.18,151.0,10+ years,,,,,,,,2025-04-02,,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,10.0,,,,,False,False,Rejected
IntelligentInquisitiveSquirrel,Accepted,3.77,155.0,,"$60,000, Conditional",2024-10-18,,,,,,2025-01-15,Regular Decision,2025-06-13T15:24:42Z,60000,True,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
LemonCoast,Pending,,157.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
JD-Dance,Accepted,3.6,167.0,,"$195,000, Conditional",2025-02-17,,2025-02-21,,,,2025-03-06,Regular Decision,2025-06-13T15:24:42Z,195000,True,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Deimos,Accepted,3.86,168.0,,"$225,060, Conditional",2025-01-13,,,,,,2025-02-13,Regular Decision,2025-06-13T15:24:42Z,225060,True,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
NaiveProbableMinotaur,Waitlisted,,,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Sparkles,"WL, Withdrawn",3.69,157.0,10+ years,,2024-09-01,2024-09-01,2024-09-03,2024-10-01,2024-10-17,,2024-12-13,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,10.0,,,,,False,False,WL
ForsakenEbb,"WL, Withdrawn",3.5,159.0,5-9 years,,,,,2024-12-18,,,2025-01-21,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,True,True,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
UnknownEBread,"WL, Accepted",4.01,155.0,,,2025-02-13,2025-02-13,2025-03-07,2025-04-09,,,2025-05-08,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,"WL, Accepted"
PreMedTurnedLaw,Waitlisted,3.51,154.0,,,2025-02-10,,,,,,2025-04-16,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
FastRainyChameleon,Pending,3.13,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
BeKind2025,"WL, Withdrawn",4.02,160.0,1-4 years,,2024-11-28,,2024-12-03,2025-03-12,,,2025-03-26,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,True,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
MichealRoss,Accepted,3.78,166.0,1-4 years,"$213,858, Conditional",,,,,,,2024-12-12,,2025-06-13T15:24:43Z,213858,True,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
AM43,Accepted,3.99,167.0,0 years (KJD),,2025-02-20,,,,,,2025-03-07,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
FePanther,Accepted,3.63,171.0,,"$220,000",,,,,,,2025-03-07,,2025-06-13T15:24:43Z,220000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SomberNastyLizard,Rejected,2.77,148.0,0 years (KJD),,2025-03-18,2025-03-18,,,,,2025-04-25,Priority Track,2025-06-13T15:24:43Z,,False,,True,,True,Other,False,True,False,False,False,False,False,,priority,0.0,,,,,False,False,Rejected
GreyInquisitiveSheep,Accepted,3.64,164.0,,"$189,000, Conditional",2024-11-08,,,,,,2024-12-11,Regular Decision,2025-06-13T15:24:43Z,189000,True,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
