user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
DC-TX-LA-PA-WI-CO-orBust,"Accepted, Withdrawn",2.99,162.0,10+ years,"$93,000, Fee Waiver: Requested",2025-02-17,2025-02-17,,2025-03-03,,,2025-03-28,Regular Decision,2025-06-30T00:15:55Z,93000,False,,True,Requested,False,,False,False,False,True,False,False,False,,regular,12.0,,,,,False,False,Accepted
HarrysLaw,Pending,4.0,,,,2025-01-31,2025-01-31,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
SpitefulAwesomeLeopard,Accepted,3.81,154.0,,"$84,000",,,,,,,2025-01-27,,2025-06-13T15:24:42Z,84000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
max7049,Pending,3.7,154.0,10+ years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,True,False,False,False,False,False,False,,,11.0,,,,,False,False,Pending
RollTideRoll,Pending,3.57,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LegallyBrunette716,Accepted,3.98,162.0,5-9 years,"$96,000",2024-10-25,,,,,,2025-01-15,Regular Decision,2025-06-13T15:24:43Z,96000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Accepted
LittleGingerGirl,Pending,4.0,156.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
PastFamousHeron,Accepted,3.56,151.0,10+ years,,,,,,,,2025-03-21,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Accepted
AboundingHorribleDuck,Pending,3.6,150.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,True,Academically dismissed ,,2.0,,,,,False,False,Pending
flashyfactfinder,Accepted,3.95,164.0,,"$111,000",,,,,,,2024-11-27,,2025-06-13T15:24:44Z,111000,False,,False,,False,White,False,False,False,False,False,False,True,covid restriction and drinking (not guilty),,,,,,,False,False,Accepted
TypingMonkey13,Rejected,2.33,151.0,1-4 years,,2025-03-25,,,,,,2025-05-02,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
wishesandprayers,Pending,3.46,147.0,1-4 years,,2024-09-01,2024-09-01,2024-09-01,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
EnergeticDispensableDingo,Accepted,3.92,161.0,,,,,,,,,2025-01-07,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
legallyunwell,Accepted,3.8,155.0,1-4 years,"$32,000",,,,,,,2025-04-02,,2025-06-13T15:24:45Z,32000,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
ObsceneFilthyGrouse,Pending,3.46,161.0,,,2024-09-09,,,2024-09-10,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,True,Fee waiver from LSAC PLUS program,True,Multiracial,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
LegallyBlondeBop,Accepted,3.9,166.0,1-4 years,"$111,000",2024-12-05,2024-12-13,2024-12-20,,,,2025-02-03,Regular Decision,2025-06-13T15:24:45Z,111000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
Ladyesquire86,Pending,2.1,156.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Caffienejunky,Accepted,3.75,152.0,,"$54,000",2024-09-01,,,,,,2025-01-06,Regular Decision,2025-06-13T15:24:45Z,54000,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Liquid-Dino,Accepted,3.4,157.0,5-9 years,"$84,000",2025-02-09,,,,,,2025-03-11,,2025-06-13T15:24:46Z,84000,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
CooingDeafeningHydra,Pending,2.08,158.0,1-4 years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,True,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
prosecutorpanda,Pending,3.7,154.0,1-4 years,,2024-10-12,2024-10-12,2024-10-16,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
Hgfdfyjbgfdssdgukjvcftfcjihbh,Rejected,3.0,148.0,10+ years,,2025-02-05,2025-02-05,2025-02-05,2025-02-18,,,2025-03-04,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,True,False,False,False,False,False,Speeding Tickets and Shoplifting arrest at age 15 (expunged),regular,15.0,,,,,False,False,Rejected
HorribleRottenCatfish,Rejected,2.7,160.0,10+ years,,2024-11-29,,,,,,2025-02-18,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,True,Felony drug charge from 2017,regular,10.0,,,,,False,False,Rejected
HaplessBreakableBulldog,Pending,3.58,146.0,1-4 years,,2024-10-28,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
DisastrousPrivateTurkey,Accepted,3.5,161.0,,"$32,000",2024-12-09,,,,,,2025-01-29,Regular Decision,2025-06-13T15:24:46Z,32000,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
FutureBALawyer,Rejected,2.65,149.0,5-9 years,,2025-03-01,,,,,,2025-04-07,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,True,,,9.0,,,,,False,False,Rejected
BoorishSilentAnteater,Accepted,2.48,156.0,1-4 years,"$76,000",,,,,,,2025-04-21,Regular Decision,2025-06-13T15:24:50Z,76000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
hwww,Accepted,3.59,160.0,1-4 years,"$105,000, Conditional",,,,,,,2025-03-08,Regular Decision,2025-06-13T15:24:47Z,105000,True,,False,,False,,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
NoisySwankyFrog,Accepted,3.45,152.0,5-9 years,,2025-01-24,,2025-02-06,,,,2025-03-05,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
PreciousStingyDemogorgon,Waitlisted,3.68,148.0,,,,,,,,,,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
WhisperingTalentedFox,Rejected,,,,,,,,,,,2025-03-20,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
CarelessDrearyFlounder,Accepted,3.77,150.0,,"$48,000",2024-11-19,,,,,,2025-01-14,Regular Decision,2025-06-13T15:24:48Z,48000,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
LearnedKindheartedCougar,Accepted,3.78,153.0,,,,,,,,,2025-02-26,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Justtryingtogetby,Accepted,3.29,157.0,0 years (KJD),"$96,000",2025-01-12,,,,,,2025-02-20,,2025-06-13T15:24:48Z,96000,False,,False,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
OnerousSlimyBarracuda,Rejected,2.2,159.0,,,,,,,,,2025-03-04,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
ellewoods7,Pending,3.72,150.0,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
