user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
MrBiology,Rejected,3.1,156.0,1-4 years,,,,,,,,2025-06-04,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
LooseJaggedPebble,Accepted,3.8,158.0,1-4 years,"$90,000",2024-11-29,,2024-12-02,2025-01-13,2025-02-05,,2025-02-06,,2025-06-13T15:24:42Z,90000,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
RebelOppositeKitten,Rejected,3.04,153.0,,,2025-02-12,,,,,,2025-03-28,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
jackbenimble,Accepted,3.44,168.0,10+ years,"$120,000",2024-11-10,2024-11-10,2024-11-11,2024-11-11,2024-12-09,,2025-01-13,Regular Decision,2025-06-13T15:24:42Z,120000,False,,False,,False,White,False,False,False,False,False,False,True,"Multiple alcohol & drug offenses, including drunk driving, other offenses, and university misconduct",regular,11.0,,,,,False,False,Accepted
sharkboy,Accepted,3.94,155.0,,"$60,000",2024-12-23,2024-12-24,2025-01-02,,,,2025-02-06,Regular Decision,2025-06-13T15:24:42Z,60000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
buglaw,Accepted,3.78,163.0,1-4 years,"$135,000",2024-11-11,,,,,,2025-01-13,,2025-06-13T15:24:42Z,135000,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
Homeland,"WL, Withdrawn",3.67,153.0,1-4 years,,2025-02-06,,,,,,2025-03-18,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,True,False,False,False,,,2.0,,,,,False,False,WL
PaleKindFae,Accepted,3.41,159.0,,"$75,000",,,,,,,2024-12-12,,2025-06-13T15:24:42Z,75000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
FallaciousOutstandingReader,"WL, Withdrawn",3.5,160.0,5-9 years,,2025-01-17,2025-01-22,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,True,False,False,False,,regular,8.0,,,,,False,False,WL
AbsorbedGruesomeDolphin,Waitlisted,3.67,156.0,1-4 years,,2025-02-07,2025-02-07,2025-02-10,2025-02-10,2025-03-13,,2025-03-20,,2025-09-24T15:32:55Z,,False,,False,,False,,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Waitlisted
IndraNAshura,Pending,3.55,162.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Rubbabubbub,Waitlisted,3.6,159.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Waitlisted
ExultantThoughtlessWallaby,Pending,3.48,157.0,1-4 years,,2025-01-15,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
ShockThem,Accepted,3.74,167.0,,"$159,000",,,,,,,,,2025-06-13T15:24:43Z,159000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PaleDrabBlackbird,Waitlisted,3.72,152.0,,,2024-12-02,,2024-12-03,2024-12-03,,,2025-02-04,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
LikeRoss,Accepted,2.8,168.0,1-4 years,"$120,000",,,,,,,2024-12-02,Regular Decision,2025-06-13T15:24:43Z,120000,False,,False,,True,Black or African American,False,False,False,False,False,False,True,DUI arrest,regular,2.0,,,,,False,False,Accepted
wronganswersonly,Waitlisted,4.0,156.0,,,2025-02-02,2025-02-02,2025-02-03,2025-02-24,2025-03-14,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
WorriedFumblingBlackbird,"WL, Withdrawn",3.6,156.0,,,2025-03-02,2025-03-02,2025-03-02,,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
DeterminedAmbiguousDragon,Pending,3.77,152.0,,,2024-10-29,2024-11-10,2024-11-04,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
YoungHilariousWerewolf,Rejected,3.79,139.0,1-4 years,,,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
Yourboimason,Accepted,3.37,158.0,,"$75,000",,,,,,,2025-01-17,,2025-06-13T15:24:44Z,75000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TangyPeacefulPrawn,Accepted,3.83,163.0,,"$156,165",2025-01-14,,,,,,2025-02-15,Regular Decision,2025-06-13T15:24:44Z,156165,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
