user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Mriswith88,Rejected,2.55,168.0,10+ years,,,,,,,,2025-04-10,,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,12.0,,,,,False,False,Rejected
Wesquire,Rejected,3.65,163.0,,,,,,,,,2025-01-10,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
KimberlyL,Accepted,4.1,175.0,1-4 years,"$90,000",,,,,,,2025-02-20,Regular Decision,2025-06-13T15:24:42Z,90000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
michaelacass,Waitlisted,3.97,158.0,,,2024-10-01,,2024-10-10,,,,2024-11-25,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
losangelesentertainmentatty,Accepted,3.7,168.0,1-4 years,"$85,000",2024-12-01,,,,,,2025-01-23,,2025-06-13T15:24:42Z,85000,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
Sparkles,"WL, Withdrawn",3.69,157.0,10+ years,,2024-10-01,2024-10-02,2024-10-30,2024-11-12,2024-12-04,,2024-12-06,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,10.0,,,,,False,False,WL
Blizmarie,Pending,3.96,154.0,,,2024-11-02,2024-11-04,2024-11-14,,,,,,2025-06-13T15:24:42Z,,False,,False,,True,Native Hawaiian or other Pacific Islander,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
reebs024,Rejected,3.3,153.0,,,,2025-04-03,,,,,2025-05-07,,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
NonstopAncientLeek,Waitlisted,3.01,164.0,,,2024-10-01,2024-10-01,2024-10-30,2024-11-12,,,2024-11-25,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
LegallyBrunette716,Rejected,3.98,162.0,5-9 years,,2024-11-03,,,,,,2024-12-20,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Rejected
Halleluyuh,Accepted,3.78,164.0,,"$54,000",2024-12-01,2024-12-01,,,,,2025-01-31,Regular Decision,2025-06-13T15:24:43Z,54000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
GlisteningMaterialUnicorn,Waitlisted,3.4,154.0,1-4 years,,2024-11-27,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,True,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
bmrblaw,Pending,3.8,154.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DiscreetHideousBaboon,Pending,3.71,159.0,1-4 years,,2024-11-21,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,True,,regular,4.0,,,,,False,False,Pending
MushyCow,Waitlisted,3.86,160.0,,,2025-01-09,,,2025-02-21,,,2025-03-20,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
GleamingSourPeacock,Pending,3.92,151.0,,,2025-02-09,2025-02-09,2025-02-21,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
ezg,Rejected,3.67,162.0,1-4 years,,,,,,,,2025-03-27,,2025-06-13T15:24:43Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
