user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
AliveDeadYogurt,Pending,3.92,172.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
theaterkidloveslegallyblonde,Waitlisted,4.0,160.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Waitlisted
ShrillRottenMongoose,Rejected,3.73,,,,2025-01-02,2025-01-06,2025-01-22,,,,2025-03-13,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,164.0,163.0,4.0,,False,False,Rejected
ShriekingViolet,Rejected,3.98,171.0,1-4 years,,2024-12-02,,2024-12-31,,,,2025-03-04,Regular Decision,2025-06-13T15:24:42Z,,False,,True,requested,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
gold3agle,Rejected,3.11,164.0,1-4 years,,2024-11-20,2024-11-20,2024-12-14,2024-12-14,,,2025-02-20,,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,,3.0,,,,,False,False,Rejected
InquisitiveSharpJackal,Pending,,,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
ScaredCapriciousSatyr,Rejected,3.89,171.0,1-4 years,,2024-11-25,,2024-12-18,2024-12-18,,,2025-03-04,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
DraconianDeadCat,Rejected,3.24,173.0,1-4 years,,2025-01-02,,,,,,2025-03-26,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
ElectricKeese,Accepted,3.95,172.0,1-4 years,,2024-09-29,,2024-10-02,,,,2025-01-17,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
WordOfMeowth,Rejected,4.02,160.0,1-4 years,,2025-01-28,2025-01-30,2025-02-08,,,,2025-04-23,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,Juvenile Diversion ,regular,2.0,,,,,False,False,Rejected
whenitsbleak,Rejected,3.79,164.0,0 years (KJD),,2025-02-05,2025-02-07,2025-02-13,,,,2025-03-25,,2025-06-13T15:24:42Z,,False,,True,,True,Other,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Rejected
WhimsicalDrunkImpala,Rejected,3.9,179.0,0 years (KJD),,2024-10-23,,,,,2025-01-17,2025-03-03,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
RedRosie8497,Pending,,173.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
kallyce,Pending,3.77,152.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
FunkyKong,Waitlisted,3.6,177.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
QuirkyFaithfulZombie,Waitlisted,3.68,178.0,1-4 years,,2025-02-15,,,,,,2025-04-01,,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,False,,,4.0,,,,,False,False,Waitlisted
LowlyBravePuffin,Accepted,3.97,170.0,,,,,,,,,2025-01-17,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
LameIllBarracuda,Pending,3.87,170.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
QuixoticQuaxly,Rejected,3.61,169.0,5-9 years,,2024-12-07,2024-12-10,2025-01-06,,,,2025-03-13,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Rejected
MelodicSeemlyBison,Pending,3.33,154.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,True,,,0.0,,,,,False,False,Pending
ErraticSixCheetah,"WL, Withdrawn",3.76,170.0,1-4 years,,2025-02-15,,,,,,,,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,True,False,False,False,,,4.0,,,,,False,False,WL
CalmRomanticReindeer,Waitlisted,3.72,160.0,,,2024-11-28,,,,,,2025-02-24,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
FilthyObsceneSquirrel,"WL, Withdrawn",3.71,178.0,,,2024-11-13,2024-11-15,2024-12-10,,,,2025-04-16,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
PreviousLittleShark,"WL, Withdrawn",4.0,180.0,1-4 years,,2025-01-31,,,,,,2025-04-15,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,3.0,,,,,False,False,WL
AloofWickedPelican,"Withdrawn, Withdrawn, Hold",3.94,174.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,True,True,False,False,False,,regular,1.0,,,,,False,False,Withdrawn
NaiveProbableMinotaur,Rejected,,,,,,,,,,,2025-03-04,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
CrowdedMaliciousBuzzard,"WL, Withdrawn",3.89,174.0,0 years (KJD),,2024-12-09,,,,,,2025-03-26,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
Nanci,Rejected,3.4,173.0,1-4 years,,,,,,,,2025-03-13,,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
cougaracha,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
QuarrelsomeShark,Waitlisted,3.98,171.0,0 years (KJD),,2024-11-10,2024-11-12,2024-12-04,,,2024-12-13,2025-03-04,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
lawschoolapplicator,"WL, Withdrawn",3.91,175.0,1-4 years,,2024-12-01,2024-12-03,2024-12-28,,,,2025-03-25,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
VenomousEasySalamander,Pending,3.61,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Cocodog5,Waitlisted,3.92,176.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
BigScatteredAngelfish,Waitlisted,4.02,175.0,,,2024-09-25,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
pinkiepiepony,Rejected,3.49,179.0,0 years (KJD),,2024-12-25,,,,,,2025-03-13,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
Maybuggie,"WL, Withdrawn",4.05,162.0,0 years (KJD),,2024-12-01,,,,,,2025-02-24,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
FaithfulUppityEagle,"WL, Withdrawn",4.23,173.0,,,2024-10-23,2024-10-25,2024-11-05,,,2025-01-17,2024-12-18,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
FallaciousOutstandingReader,Pending,3.5,160.0,5-9 years,,2025-01-27,2025-01-29,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Pending
FaultyThinkableGargoyl,Pending,3.73,171.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
PanoramicUsefulSpider,Rejected,2.83,174.0,1-4 years,,,,,,,,2025-04-23,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,166.0,159.0,5.0,,False,False,Rejected
Dquaid-618,"WL, Rejected",,176.0,1-4 years,,2024-12-21,2024-12-22,2025-01-13,,,2025-03-07,2025-06-09,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,"WL, Rejected"
ShortFlutteringPiranha,Rejected,3.39,163.0,,,,,,,,,2025-01-28,,2025-06-13T15:24:42Z,,False,,False,,False,White,True,False,False,False,False,False,False,,,,,,,,False,False,Rejected
merricat,Waitlisted,4.07,175.0,0 years (KJD),,2024-10-08,,2024-10-08,,,,2025-01-28,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
