user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Oceans305,Pending,2.94,138.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Leegion555,Pending,3.73,144.0,,,,,,,,,2025-01-27,,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
TheLawMan69,Pending,3.29,148.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
TiredStrangeMilk,Accepted,2.91,152.0,5-9 years,"$12,000",,,,,,,2024-12-04,Regular Decision,2025-06-13T15:24:44Z,12000,False,,True,,True,Multiracial,False,False,False,False,False,False,True,academic probation ,regular,5.0,,,,,False,False,Accepted
war0914,Pending,3.48,155.0,10+ years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,True,False,False,False,False,False,True,criminal charges,,20.0,,,,,False,False,Pending
HorribleRottenCatfish,Accepted,2.7,160.0,10+ years,"$104,040",2024-12-02,,,,,,2025-01-20,Regular Decision,2025-06-13T15:24:46Z,104040,False,,False,,False,White,False,False,False,False,False,False,True,Felony drug charge from 2017,regular,10.0,,,,,False,False,Accepted
BeefLaw,Accepted,2.25,154.0,,"$40,000, Conditional",,,,,,,2024-12-19,,2025-06-13T15:24:46Z,40000,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
LSDaddy,Waitlisted,,,,,,,,,,,2025-03-26,,2025-06-13T15:24:47Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
CommonThirstyHammerhead,Accepted,2.99,146.0,,"$64,000",2025-02-07,2025-02-10,2025-02-11,2025-02-11,,,2025-03-06,,2025-06-13T15:24:48Z,64000,False,,False,,True,Other,False,False,False,False,False,False,True,Academic Probation,,,,,,,False,False,Accepted
Late2TheBar,Pending,2.47,139.0,,,2025-03-05,,2025-03-19,,,,,,2025-06-13T15:24:48Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DueProcessMatters,Pending,3.71,154.0,,,2025-01-14,,,,,,,,2025-06-13T15:24:50Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
UnknownLoutishPebble,Accepted,2.9,156.0,,,,,,,,,2024-12-31,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
FreeGiftedOtter,Pending,3.5,154.0,,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ItchyAmazingDragon,"Hold, Hold",3.01,,1-4 years,,2025-02-03,,,,,,,,2025-06-13T15:24:51Z,,False,,False,,False,White,False,True,True,False,False,False,False,,,2.0,,,,,False,False,Hold
Boilermaker2025,Rejected,3.55,141.0,1-4 years,,2025-01-18,2025-01-18,2025-01-22,2025-01-24,,,2025-02-07,Regular Decision,2025-06-13T15:24:53Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
Hopeisallwehave,Pending,2.9,150.0,,,,,,,,,,,2025-06-13T15:24:53Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,Academically Dismissed when I first went to law school ,,,,,,,False,False,Pending
