user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
webebusting,Accepted,4.09,174.0,1-4 years,"$150,000",2024-12-19,,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:42Z,150000,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
AliveDeadYogurt,Pending,3.92,172.0,,,,,,,,2025-01-09,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
thugsbunny,Rejected,3.3,176.0,,,,,,,,,2025-02-11,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
BoilingEndurableWretch,"Accepted, Withdrawn",3.86,176.0,1-4 years,,2024-11-25,2024-11-25,2024-11-26,,,2024-12-19,2025-02-04,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,Accepted
JBRound2,Rejected,3.7,170.0,,,2024-11-08,2024-11-11,2024-11-12,2024-11-15,,,2025-01-09,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,True,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
HilariousHomelessSheep,Waitlisted,4.0,170.0,0 years (KJD),,2024-12-01,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
SuddenMistyLeopard,Waitlisted,3.51,168.0,1-4 years,,2024-11-01,2024-11-01,2024-11-04,2024-11-06,,2024-11-11,2024-12-19,Early Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,early,3.0,,,,,False,False,Waitlisted
PiquantHabitualVole,Rejected,3.35,165.0,,,2024-12-01,,,,,,2025-01-08,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
MelodicSeemlyBison,Rejected,3.33,154.0,0 years (KJD),,,,,,,,2025-03-25,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,True,,regular,0.0,,,,,False,False,Rejected
RedRosie8497,Pending,,173.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
oelhatab,Waitlisted,3.84,173.0,,,,,,,,,2025-01-14,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
SkramzStrongestLawyer,"WL, Withdrawn",3.31,174.0,0 years (KJD),,2024-11-29,,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
timewarp3,Rejected,3.67,150.0,5-9 years,,,,,,,,2025-02-01,,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Rejected
