user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
MaseSump,Accepted,3.57,153.0,,"$84,000",,,,,,,2025-01-10,,2025-06-13T15:24:42Z,84000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
coronsm12,Pending,3.18,146.0,,,2024-12-02,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
DisgruntledMonkey,Rejected,3.14,152.0,10+ years,,2025-03-12,2025-03-13,2025-03-13,2025-03-13,,,2025-03-28,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,True,False,False,False,False,False,True,,regular,14.0,,,,,False,False,Rejected
stonerenard,Rejected,2.6,149.0,1-4 years,,2025-04-25,2025-04-28,2025-04-25,2025-04-30,,,2025-05-14,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
MrCoach,Accepted,3.65,159.0,10+ years,"$119,998",2024-09-05,,,,,,2024-09-27,Regular Decision,2025-06-13T15:24:43Z,119998,False,,False,,False,White,False,False,False,False,False,False,False,,regular,11.0,,,,,False,False,Accepted
legallydirtyblonde07,Accepted,3.43,155.0,,"$84,000",2024-12-04,,2024-12-05,,,,2025-01-13,,2025-06-13T15:24:43Z,84000,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
didokonthelsat,Accepted,3.3,159.0,,"$96,000",2025-02-26,,,,,,2025-03-19,,2025-06-13T15:24:43Z,96000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
BuffaloBills76,Pending,2.7,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Ibra202him,Accepted,2.42,154.0,,"$45,000",2025-03-18,2025-03-19,,,,,2025-04-23,,2025-06-13T15:24:44Z,45000,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Accepted
LuvCalicoCat,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DustyEasyOyster,Rejected,2.83,148.0,5-9 years,,2025-03-21,2025-03-24,2025-03-24,2025-03-24,2025-03-24,,2025-04-23,,2025-06-13T15:24:45Z,,False,,True,,False,White,True,False,False,False,False,False,False,,,5.0,,,,,False,False,Rejected
gullibleprune,Accepted,3.26,157.0,5-9 years,"$42,000",,,,,,,2025-01-28,,2025-06-13T15:24:46Z,42000,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,9.0,,,,,False,False,Accepted
GrubbyFutureTadpole,Rejected,3.82,145.0,1-4 years,,,,,,,,2025-03-24,,2025-06-13T15:24:46Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
war0914,Rejected,3.48,155.0,10+ years,,,,,,,,2025-03-13,,2025-06-13T15:24:46Z,,False,,False,,False,White,True,False,False,False,False,False,True,criminal charges,,20.0,,,,,False,False,Rejected
DeadNeedlessGarfield,Accepted,3.67,160.0,,"$120,000",,,,,,,2025-01-07,Regular Decision,2025-06-13T15:24:46Z,120000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
RiptideSuit,Accepted,3.65,,1-4 years,,,,,,,,2025-02-26,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
OnerousSlimyBarracuda,Accepted,2.2,159.0,,,,,,,,,2025-03-13,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
