user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
ARandomPerson,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
TriteKnownCalf,Accepted,3.72,166.0,0 years (KJD),"$120,000",,,,,,,2025-03-11,,2025-06-13T15:24:42Z,120000,False,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
ImpartialNebulousBee,Pending,3.86,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DuLSATPeep,Pending,3.59,158.0,0 years (KJD),,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Pending
DoneTeaching7,"WL, Withdrawn",2.45,166.0,5-9 years,,2024-11-28,2024-11-30,2024-11-30,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,9.0,,,,,False,False,WL
Killmonger12,Accepted,3.87,152.0,,"$9,000",2024-10-31,2024-10-31,,,,,2025-01-31,,2025-06-13T15:24:43Z,9000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ALLin3,Accepted,3.87,157.0,,"$81,000",2025-01-22,,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:43Z,81000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
JuliaMcCullars,Waitlisted,3.68,154.0,1-4 years,,2024-12-10,,,2024-12-16,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,1.0,,,,,False,False,Waitlisted
SecondEquableBluebird,Waitlisted,3.36,152.0,,,2024-12-07,2024-12-09,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
PlacidVoicelessLettuce,Pending,3.55,149.0,1-4 years,,2025-04-13,2025-04-15,,2025-04-28,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
LovingCarefulDolphin,Accepted,4.0,,,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
EnergeticDispensableDingo,Accepted,3.92,161.0,,,,,,,,,2025-01-07,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
GlibRattyBread,Accepted,3.45,157.0,,,,,,,,,2024-12-05,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Steel2Law1997,Waitlisted,2.84,165.0,1-4 years,,2025-02-05,2025-02-05,2025-02-05,2025-02-12,,,2025-03-18,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,True,"2 traffic tickets, academic probation 1st semester of undergrad, academic dismissal due to health issues that was removed but disclosed",regular,4.0,,,,,False,False,Waitlisted
ShakySmoggyCockroach,Accepted,3.27,156.0,5-9 years,"$70,000, Conditional",,,,,,,2025-02-23,Regular Decision,2025-06-13T15:24:46Z,70000,True,,True,,False,,True,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
