user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Barbzstayinschoolll,Accepted,3.91,160.0,1-4 years,,2024-12-01,,,,,,2025-02-14,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
defendersiobhan,Pending,3.65,169.0,1-4 years,,2025-03-18,2025-03-20,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
GlitterBandit,Pending,3.57,159.0,10+ years,,2025-01-21,2025-01-31,2025-01-22,2025-02-03,2025-03-05,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,20.0,,,,,False,False,Pending
DIsForDragon,Rejected,2.77,162.0,10+ years,,2024-10-14,2024-10-24,2024-10-28,2024-11-13,,,2025-01-13,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,15.0,,,,,False,False,Rejected
ItchyClumsyLeek,Pending,,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
xfxny,Pending,,158.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
bmrblaw,Pending,3.8,154.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DeepCumbersomeSnail,Pending,2.8,143.0,1-4 years,,2025-01-24,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
cdot9000,Accepted,3.62,160.0,1-4 years,,2024-12-03,2024-12-09,2024-12-09,2024-12-09,2025-01-07,,2025-03-28,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
arabtwunk,Pending,3.29,162.0,1-4 years,,2025-02-07,2025-02-07,2025-02-10,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
MiniGiraffe,Pending,3.72,168.0,5-9 years,,2025-01-02,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,6.0,,,,,False,False,Pending
WaffleHouseBaby,"WL, Withdrawn",3.77,161.0,5-9 years,,2024-12-13,2024-12-16,2024-12-17,2025-01-17,2025-04-22,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
Porchfan,Accepted,3.94,162.0,,,,,,,,,2025-03-28,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
AliveCreepyCapybara,Accepted,3.35,157.0,,,,,,,,,2025-02-14,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
MischievousTabby,Pending,3.91,163.0,1-4 years,,2024-12-07,2024-12-07,2024-12-09,2024-12-16,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Pending
JoyousStatuesqueOstrich,Pending,3.2,157.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
TameDisillusionedMoth,Pending,2.9,160.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
Safari2013,"WL, Rejected",3.5,151.0,,,,,,,,,2024-12-04,,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,"WL, Rejected"
pitiful-pain-9,Waitlisted,2.6,154.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Other,False,False,False,False,False,False,True,,regular,8.0,,,,,False,False,Waitlisted
LSATQueen,Accepted,3.99,164.0,,$0,2024-12-01,,,,,,2025-01-15,,2025-06-13T15:24:44Z,0,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
