user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
LooseJaggedPebble,Accepted,3.8,158.0,1-4 years,"$69,000",2024-11-27,,,,,,2025-01-09,,2025-06-13T15:24:42Z,69000,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
emandrea97,Accepted,3.48,163.0,1-4 years,"$69,750, Conditional",2024-09-18,2024-09-19,2024-09-23,,,,2024-11-22,Regular Decision,2025-06-13T15:24:42Z,69750,True,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
UttermostEnviousWoodpecker,Rejected,3.17,156.0,1-4 years,,,,,,,,2025-04-15,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
Wesquire,Accepted,3.65,163.0,,"$93,000",,,,,,,2024-12-17,,2025-06-13T15:24:42Z,93000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
FeignedDecisiveRhino,Waitlisted,3.76,158.0,1-4 years,,2025-01-10,2025-01-10,,2025-02-04,,,2025-03-05,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Waitlisted
Nanci,Waitlisted,3.4,173.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Waitlisted
CrazyTangibleNebula,"Accepted, Withdrawn",4.1,159.0,,"$93,000, Conditional",2024-09-19,,2024-10-07,2024-10-07,,,2024-11-27,Regular Decision,2025-06-13T15:24:42Z,93000,True,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,,,,,,False,False,Accepted
Blizmarie,Pending,3.96,154.0,,,2024-11-02,,2024-11-14,,,,,,2025-06-13T15:24:42Z,,False,,True,,True,Native Hawaiian or other Pacific Islander,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
PremiumPeriodicCapybara,Waitlisted,2.67,159.0,1-4 years,,,,,,,,2024-12-13,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,True,True,False,False,False,False,True,,regular,4.0,,,,,False,False,Waitlisted
HonestlyIveGivenUp,"WL, Withdrawn",3.3,160.0,,,2025-01-20,2025-01-20,2025-01-31,2025-02-05,,,2025-03-19,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,,,,,,False,False,WL
