user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
sharkboy,Accepted,3.94,155.0,,"$60,000",2024-11-14,2024-11-18,,,,,2024-12-31,Regular Decision,2025-06-13T15:24:42Z,60000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
RebelOppositeKitten,Rejected,3.04,153.0,,,,,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
jackbenimble,Waitlisted,3.44,168.0,10+ years,,2024-11-17,2024-11-18,2024-11-18,2024-11-18,2024-12-09,,2024-12-17,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,True,"Multiple alcohol & drug offenses, including drunk driving, other offenses, and university misconduct",regular,11.0,,,,,False,False,Waitlisted
LooseJaggedPebble,Accepted,3.8,158.0,1-4 years,"$105,000",2024-12-01,,,,,,2025-01-06,,2025-06-13T15:24:42Z,105000,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
stonerenard,wl_rejected,2.6,149.0,1-4 years,,2025-03-28,2025-03-28,2025-05-02,2025-05-02,,,2025-08-20,Regular Decision,2025-08-21T16:44:52Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,wl_rejected
luludelulu,Accepted,3.8,162.0,,"$120,000",2024-12-01,2024-12-02,,,,,2025-01-06,,2025-06-13T15:24:42Z,120000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Whosecallingmyphone,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
PaleDrabBlackbird,Waitlisted,3.72,152.0,,,2024-12-02,,2024-12-02,2024-12-02,,,2025-01-07,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
ImaginarySomberGoose,Accepted,3.8,164.0,,,,,,,,,2025-01-21,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Leegion555,Pending,3.73,144.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
