user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
ianba,Accepted,3.9,154.0,,"$28,512",,,,,,,2024-12-12,,2025-06-13T15:24:42Z,28512,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
FirstGenLaw28,"WL, Withdrawn",3.18,148.0,5-9 years,,2025-02-06,2025-02-06,2025-02-06,2025-02-07,,,2025-03-13,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,7.0,,,,,False,False,WL
Whatever533,Pending,3.89,157.0,,,2025-02-05,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Macaronipenguin,Accepted,,,,"$150,000",,,,,,,2025-03-05,,2025-06-13T15:24:43Z,150000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Bookw0rm6,Accepted,3.71,155.0,5-9 years,,,,,,,,2025-05-02,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
AbrasiveCorgi,"wl_accepted, Attending",3.87,146.0,1-4 years,,2024-12-23,2024-12-31,2025-01-28,2025-02-28,2025-03-07,,2025-04-10,Regular Decision,2025-07-01T14:27:05Z,,False,,True,,False,,False,False,False,False,True,False,False,,regular,1.0,,,,,False,False,wl_accepted
UptightRightLlama,Pending,3.0,151.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Spartyparty,"WL, Withdrawn",3.34,154.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,,,,,,False,False,WL
DeadpanDispensableBadger,Rejected,3.5,145.0,0 years (KJD),,,,,,,,2025-03-19,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
lawyerbarbie1414,Waitlisted,3.48,,1-4 years,,,,,,,,2025-05-01,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Waitlisted
