user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
DisgruntledMonkey,Rejected,3.14,152.0,10+ years,,2025-03-12,2025-03-12,2025-03-19,2025-04-22,,,2025-05-02,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,True,True,False,False,False,False,True,,regular,14.0,,,,,False,False,Rejected
SmartDepressedCatfish,Pending,3.2,156.0,5-9 years,,2025-03-28,2025-03-28,2025-03-28,,,,,,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,True,True,False,False,False,False,False,,,7.0,,,,,False,False,Pending
ClammySecondPanda,Accepted,3.76,158.0,,"$108,000",,,,,,,2024-10-29,Regular Decision,2025-06-13T15:24:44Z,108000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
tslaw,Rejected,3.77,145.0,,,,,,,,,2025-04-10,,2025-06-13T15:24:45Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
LawSchool1831,Pending,4.0,150.0,,,2025-04-06,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
LivingUnderABigRock,"Accepted, Withdrawn",2.8,161.0,5-9 years,"$99,000, Conditional, No negotiation, scholarship is only for the first year and has to be renewed with certain conditions? Email is not very clear so marking as conditional",,2024-11-11,,,,,2025-02-20,Regular Decision,2025-06-13T15:24:45Z,99000,True,"No negotiation, scholarship is only for the first year and has to be renewed with certain conditions? Email is not very clear so marking as conditional",True,,False,White,False,False,False,True,False,False,False,,regular,7.0,,,,,False,False,Accepted
legallydirtyblonde07,Accepted,3.43,155.0,,"$90,000",2024-12-06,2024-12-06,,,,,2025-02-10,,2025-06-13T15:24:45Z,90000,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SecondEquableBluebird,Waitlisted,3.36,152.0,,,2024-12-07,2024-12-07,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
HestiatheBrave,Accepted,3.9,170.0,,"$154,170",2025-01-21,2025-01-21,,,,,2025-03-10,Regular Decision,2025-06-13T15:24:46Z,154170,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DraconianLuckyGreyhound,Accepted,3.81,159.0,,"$144,000",2024-11-09,2024-11-09,,,,,2024-12-10,,2025-06-13T15:24:46Z,144000,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
