user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Dam,Pending,3.67,146.0,10+ years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,10.0,,,,,False,False,Pending
ConfusedHarshCat,Pending,3.5,167.0,,,2025-03-01,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ovidshel,Pending,2.6,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
PushpaLion,Waitlisted,3.95,160.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
lotto,Pending,3.72,157.0,1-4 years,,2025-02-11,2025-02-11,2025-02-12,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,True,Undergraduate Disciplinary Action,regular,2.0,,,,,False,False,Pending
OiOiOiOiOi,Accepted,3.9,155.0,1-4 years,"$36,000, Conditional",2025-01-03,,,,,,2025-02-07,Regular Decision,2025-06-13T15:24:42Z,36000,True,,True,,True,Other,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
MagnificentSulkyKnight,Accepted,3.48,160.0,0 years (KJD),"$111,000",,,,,,,2025-02-02,,2025-06-13T15:24:42Z,111000,False,,False,,False,White,False,True,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
ScreenName97,Pending,3.98,165.0,,,2024-12-19,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
FearNonLuvAll,Accepted,3.7,161.0,,"$108,900",,,,,,,2025-03-19,Regular Decision,2025-06-13T15:24:42Z,108900,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
tennisgirl303,Accepted,3.55,160.0,,"$102,900, Conditional",2024-11-23,,,,,,2025-02-06,,2025-06-13T15:24:43Z,102900,True,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SneakyAddictedJellyfish,Waitlisted,3.32,152.0,,,2025-02-06,,,2025-02-02,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
BerserkSpiffyPanther,Accepted,3.7,161.0,0 years (KJD),"$100,000",2025-02-05,,,,,,2025-02-20,Regular Decision,2025-06-13T15:24:43Z,100000,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
Killmonger12,Waitlisted,3.87,152.0,,,2024-10-17,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
ragingtyrant,Pending,3.43,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
