user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Alawpoopy,Accepted,3.52,156.0,5-9 years,"$79,659",,,,,,,2025-02-27,Regular Decision,2025-06-13T15:24:42Z,79659,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
depressoespresso,Accepted,4.0,161.0,,"$169,488, Dean's full tuition scholarship",2024-10-12,,,,,,2024-11-26,Regular Decision,2025-06-13T15:24:42Z,169488,False,Dean's full tuition scholarship,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
GodlyLavishSeal,Accepted,3.5,155.0,,,,2020-12-02,,,,,2025-04-15,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
SneakyAddictedJellyfish,Rejected,3.32,152.0,,,2025-02-02,,,2025-03-26,,,2025-05-14,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
thoscheitruther,Waitlisted,2.61,161.0,5-9 years,,2024-10-15,2024-10-16,,,,,2025-01-14,,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,True,Speeding ticket,,7.0,,,,,False,False,Waitlisted
OrangeLewdBison,Accepted,3.53,152.0,,"$47,000",,,,,,,2025-01-28,,2025-06-13T15:24:43Z,47000,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
EarthySnobbishHorse,Pending,2.39,171.0,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,True,UG Disciplinary Issues; Academic Dismissal; 2 Expunged/Sealed Misdemeanors,,5.0,,,,,False,False,Pending
ImpoliteConcernedZombie,Pending,3.76,173.0,10+ years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,12.0,,,,,False,False,Pending
Maguire2themoon,Accepted,3.56,173.0,1-4 years,"$180,000",2025-02-03,2025-02-03,2025-02-04,2025-02-19,,,2025-04-04,Regular Decision,2025-06-13T15:24:43Z,180000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
SecondEquableBluebird,Accepted,3.36,152.0,,"$33,897",2024-12-11,,,,,,2025-02-27,Regular Decision,2025-06-13T15:24:44Z,33897,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
stressedallthetime13,Accepted,3.8,158.0,5-9 years,"$127,116",2024-09-29,2024-09-29,2024-09-29,2024-10-31,2024-11-12,,2024-11-26,Regular Decision,2025-06-13T15:24:44Z,127116,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
Ibra202him,Rejected,2.42,154.0,,,2025-04-01,,,2025-04-08,,,2025-04-25,,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Rejected
OnerousFurtiveFly,"WL, Withdrawn",2.19,165.0,1-4 years,,2024-11-03,2024-11-03,2024-11-05,2024-12-16,,,2025-02-11,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,True,Black or African American,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
PinkSlayer33,Pending,,160.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ScientificSynonymousRabbit,Accepted,3.87,169.0,,"$118,641, Conditional",2025-01-31,,,,,,2025-02-27,,2025-06-13T15:24:45Z,118641,True,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
WorkingWillow,Pending,2.4,158.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
SilkyRoyalAvatar,Waitlisted,3.4,153.0,1-4 years,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Waitlisted
StraightPushyLeprechaun,Accepted,2.91,158.0,1-4 years,"$110,000",2025-01-08,2025-01-08,2025-01-08,,,,2025-03-12,Regular Decision,2025-06-13T15:24:45Z,110000,False,,False,,False,,False,False,False,False,False,False,True,academic probation,regular,2.0,,,,,False,False,Accepted
mango-ren,Accepted,3.68,170.0,1-4 years,"$135,591",2024-12-05,2024-12-05,,,,,2025-01-14,Regular Decision,2025-06-13T15:24:45Z,135591,False,,False,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
bloop123,Rejected,3.09,151.0,,,,,,,,,2024-12-17,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
VagueHaltingYogurt,Accepted,3.84,164.0,1-4 years,"$170,000",,,,,,,2025-02-12,Regular Decision,2025-06-13T15:24:46Z,170000,False,,True,,False,,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
war0914,Pending,3.48,155.0,10+ years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,True,False,False,False,False,False,True,criminal charges,,20.0,,,,,False,False,Pending
CautiousUnrulyDragon,Pending,3.94,153.0,,,2024-12-07,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,Other,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
BriefHaltingMammoth,Pending,4.0,148.0,10+ years,,2025-03-30,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,10.0,152.0,135.0,3,,False,False,Pending
FascinatedFamousCapybara,Accepted,3.7,169.0,,"$100,000",,,,,,,2025-02-27,Regular Decision,2025-06-13T15:24:46Z,100000,False,,False,,False,White,True,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Porchfan,Accepted,3.94,162.0,,"$118,000",,,,,,,2025-03-27,,2025-06-13T15:24:47Z,118000,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
