user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
NondescriptSadBobcat,Rejected,3.66,159.0,,,,,,,,,2025-04-15,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
Ashidaka,Rejected,3.85,166.0,0 years (KJD),,2025-01-03,,2025-01-07,,,,2025-04-09,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
MeatyTenderLettuce,Rejected,2.8,168.0,1-4 years,,2025-01-10,,,,,,2025-04-04,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
FadedLivelyMagpie,Accepted,3.57,166.0,,"$123,000",2024-12-18,,,,,,2025-03-14,,2025-06-13T15:24:42Z,123000,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
EndurableTenderClown,Waitlisted,3.6,164.0,1-4 years,,2024-10-13,2024-10-21,2024-10-21,2024-11-25,,,2025-02-07,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
ConfusedHarshCat,Accepted,3.5,167.0,,"$117,000",2025-03-01,,,,,,2025-03-19,,2025-06-13T15:24:42Z,117000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
WiryGoodPuppy,Pending,3.4,168.0,10+ years,,2024-12-12,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,True,,regular,15.0,,,,,False,False,Pending
letmeinplease3,Rejected,3.32,161.0,1-4 years,,2025-02-07,2025-02-07,2025-02-10,2025-04-07,,,2025-04-28,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
TheBrunetteElleWoods,Accepted,3.91,161.0,1-4 years,"$81,000",2024-12-01,,,,,,2025-04-07,,2025-06-13T15:24:42Z,81000,False,,False,,False,,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
MelodicSeemlyBison,Pending,3.33,154.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,True,,,0.0,,,,,False,False,Pending
