user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Oceans305,Pending,2.94,138.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SadAbnormalStarfish,Accepted,3.8,154.0,,"$45,000",,,,,,,2025-04-07,,2025-06-13T15:24:42Z,45000,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
AboundingHorribleDuck,Rejected,3.6,150.0,1-4 years,,2024-10-02,2024-10-03,,,,,2024-11-18,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,True,Academically dismissed ,regular,2.0,,,,,False,False,Rejected
freeloading,Rejected,3.7,145.0,5-9 years,,,,,,,,2025-01-28,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Rejected
Just-Pretty,Accepted,3.42,157.0,1-4 years,"$10,000, Conditional",2024-12-02,2024-12-02,2024-12-03,2024-12-12,,,2024-12-19,Regular Decision,2025-06-13T15:24:43Z,10000,True,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
SpiritualDailyBandit,Rejected,3.18,147.0,1-4 years,,,,,,,,2025-01-22,,2025-06-13T15:24:45Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
WorkingWillow,Rejected,2.4,158.0,0 years (KJD),,,,,,,,2025-04-18,,2025-06-13T15:24:45Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Rejected
johnniecochrantwin,Rejected,2.54,149.0,5-9 years,,,,,,,,2025-03-10,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
AbsorbedFineRedbird,Accepted,3.27,152.0,,,,,,,,,2025-01-24,,2025-06-13T15:24:46Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
CooingDeafeningHydra,Pending,2.08,158.0,1-4 years,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,White,True,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
HorribleRottenCatfish,Rejected,2.7,160.0,10+ years,,2024-11-27,,,,,,2024-12-19,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,True,False,False,False,False,True,Felony drug charge from 2017,regular,10.0,,,,,False,False,Rejected
Joser246,Pending,2.4,142.0,5-9 years,,2025-04-30,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,9.0,,,,,False,False,Pending
MassiveSteadfastLiger,Pending,3.8,,,,,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
hbcuadvocate,Rejected,2.7,147.0,5-9 years,,,,2025-02-11,,,,2025-02-25,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
DomineeringObsceneCentaur,Rejected,3.2,143.0,1-4 years,,,,,,,,2025-03-26,,2025-06-13T15:24:47Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
ChadEdge,Pending,3.6,150.0,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CuddlyLavishSparrow,Waitlisted,2.72,152.0,10+ years,,2025-02-14,2025-02-14,2025-02-14,2025-03-12,,,2025-03-26,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Waitlisted
Kstepper,Accepted,3.99,153.0,,"$45,000, Conditional",,2025-01-10,,,,,2025-01-17,,2025-06-13T15:24:48Z,45000,True,,True,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
OVOLawHer,Rejected,3.23,155.0,1-4 years,,,,,,,,2024-12-06,,2025-06-13T15:24:48Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,True,"attempt to elude, dui",,2.0,,,,,False,False,Rejected
hopinforthebestt,Rejected,3.3,147.0,1-4 years,,2025-02-07,2025-02-07,2025-02-07,2025-02-07,,,2025-02-25,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
SparklingSinger,Pending,3.78,146.0,,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
