user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
UpsetFreezingAngelfish,Rejected,3.37,151.0,,,2024-12-05,,,,,,2025-02-13,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
MrBiology,Rejected,3.1,156.0,1-4 years,,,,,,,,2025-06-04,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
1bellybutton3kittycats,Accepted,3.69,162.0,1-4 years,,2024-11-25,,,2024-11-26,,,2024-12-13,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
gavelgangsta33,Rejected,3.2,146.0,1-4 years,,2024-11-27,,,,,,2025-01-06,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
Maxmax,Waitlisted,3.55,158.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
FallaciousOutstandingReader,"WL, Withdrawn",3.5,160.0,5-9 years,,2025-01-27,,,,,,2025-02-14,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,True,False,False,False,,regular,8.0,,,,,False,False,WL
ScaryEightRobin,Accepted,3.9,162.0,1-4 years,"$15,000",,,,,,,2025-03-10,,2025-06-13T15:24:42Z,15000,False,,False,,False,,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
GhoulsandMagnets,Waitlisted,2.94,163.0,5-9 years,,2024-09-27,2024-09-27,2024-09-30,2024-10-01,,,2025-01-16,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Waitlisted
WillingSwiftMoose,Pending,3.62,160.0,,,2024-10-28,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
Fraserclan,Waitlisted,,159.0,1-4 years,,2025-01-28,,,2025-01-28,,,2025-04-21,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
Gwold10,Waitlisted,3.65,158.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
DullAxiomaticCow,"WL, Withdrawn",4.18,154.0,,,2024-10-27,,,,,,2024-11-12,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,WL
keykey,Waitlisted,3.56,158.0,,,,,,,,,2025-02-20,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
catherinethelawyer,Accepted,3.66,161.0,5-9 years,$0,2024-12-24,2025-01-04,,,,,2025-01-31,Regular Decision,2025-06-13T15:24:43Z,0,False,,False,,False,White,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
