user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
oelhatab,Accepted,3.84,173.0,,"$135,000",,,,,,,,Regular Decision,2025-06-13T15:24:42Z,135000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
YankeesWS25,Pending,3.79,165.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
theaterkidloveslegallyblonde,Rejected,4.0,160.0,,,,,,,,,2024-12-12,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
chalk25,Rejected,3.89,164.0,,,2025-02-12,2025-02-13,2025-02-13,,,,2025-05-14,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
PuzzledNecessaryBat,Waitlisted,3.87,169.0,,,2025-03-17,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
splitter20242025,Accepted,3.3,172.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
FadedLivelyMagpie,Rejected,3.57,166.0,,,2024-12-18,,,,,,2025-03-27,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
ClumsyUsefulPlatypus,Rejected,2.89,171.0,1-4 years,,2024-12-01,2024-12-02,2024-12-02,,,,2025-02-05,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
ConfusedHarshCat,Pending,3.5,167.0,,,2025-03-01,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
strawberrypancakes,Waitlisted,3.8,168.0,1-4 years,,2024-12-12,2024-12-13,2024-12-16,2024-12-16,2025-02-19,,2025-03-07,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Waitlisted
thugsbunny,Waitlisted,3.3,176.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
CricArch,Rejected,3.81,167.0,1-4 years,,2024-12-01,,,,,,2025-02-18,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
NaiveProbableMinotaur,Rejected,,,,,,,,,,,2025-03-28,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
InquisitiveSharpJackal,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LameIllBarracuda,Pending,3.87,170.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
TriteKnownCalf,Pending,3.72,166.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
ImpatientsIsKey,Rejected,3.86,166.0,,,,,,,,,2025-04-30,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
RaspyFunctionalNewt,Pending,3.84,172.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
BadgerStan233,wl_rejected,3.63,169.0,1-4 years,,2024-12-11,2024-12-11,2024-12-19,2025-02-26,2025-03-03,,2025-08-18,Regular Decision,2025-08-18T19:49:11Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,wl_rejected
InquisitiveMiscreantAngelfish,"WL, Withdrawn",3.96,171.0,1-4 years,,2024-12-05,2024-12-09,2025-03-12,,,,2025-03-12,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
WholeMomentousBison,Waitlisted,3.93,,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Waitlisted
PrimalHotDoggs69,Accepted,3.78,171.0,,"$135,000",2024-09-29,2024-10-02,,,,,2024-12-05,Regular Decision,2025-06-13T15:24:42Z,135000,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
AmazingFaithfulMouse,"WL, Withdrawn",3.9,167.0,,,2024-10-15,,,,,,2025-02-10,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
TerrificFurtiveOyster,Waitlisted,4.0,165.0,,,2024-10-01,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
PeacefulTruthfulShepherd,"WL, Withdrawn",3.95,166.0,1-4 years,,2024-11-29,,2024-12-05,2025-02-11,2025-03-02,,2025-03-07,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,3.0,,,,,False,False,WL
MelodicSeemlyBison,Pending,3.33,154.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,True,,,0.0,,,,,False,False,Pending
TenaciousStingray,Pending,2.9,164.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,8.0,,,,,False,False,Pending
plsgivemeanoffer,Waitlisted,3.81,170.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
bmrblaw,Pending,3.8,154.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
meowmie,Rejected,3.82,169.0,0 years (KJD),,2025-02-05,,2025-02-05,2025-02-21,2025-03-05,,2025-03-07,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
tacobella,"WL, Withdrawn",3.94,166.0,0 years (KJD),,2024-11-27,2024-12-02,2024-12-05,2025-02-04,2025-03-19,,2025-03-21,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
ScreenName97,Pending,3.98,165.0,,,2024-12-19,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
GuiltlessAblePurple,"WL, Withdrawn",,,,,2024-12-02,2024-12-03,2024-12-05,,,,2025-03-12,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
NeighborlyAnt,Pending,3.5,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SecretiveSilentAardvark,Rejected,3.98,164.0,,,2024-11-27,,,,,,2025-02-18,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
Basalt,Pending,3.3,159.0,10+ years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,12.0,,,,,False,False,Pending
tennisgirl303,Rejected,3.55,160.0,,,2024-11-23,,,2024-11-26,2025-01-21,,2025-02-04,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
