user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
aspixiation,"WL, Rejected",3.79,162.0,,,2024-09-06,2024-09-10,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,"WL, Rejected"
PurpleStarfish,Waitlisted,3.86,163.0,,,2024-11-25,2024-11-25,2024-11-25,,,,2025-04-02,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
NonstopAncientLeek,Pending,3.01,164.0,,,2024-09-12,2024-09-12,2024-09-13,2024-09-17,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
wwwdot,"WL, Withdrawn",3.85,164.0,0 years (KJD),,2024-09-06,2024-09-06,2024-09-07,2024-10-01,,,2025-04-02,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
ScaryEightRobin,"WL, Withdrawn",3.9,162.0,1-4 years,,,,,,,,2025-04-02,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,True,False,False,False,,,3.0,,,,,False,False,WL
TomorrowisAlreadyHere8097,"WL, Withdrawn",3.9,155.0,0 years (KJD),,2024-12-31,,2025-02-21,2025-02-21,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,True,False,False,False,,,0.0,,,,,False,False,WL
wolf-tamer,"WL, Withdrawn",4.02,,1-4 years,,2025-02-20,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
gavelgangsta33,Rejected,3.2,146.0,1-4 years,,2024-11-28,,,,,,2025-01-08,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
Gwold10,Pending,3.65,158.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
GuiltlessAblePurple,Accepted,,,,"$60,544",2024-10-09,2024-10-10,,,,,2024-11-06,Regular Decision,2025-06-13T15:24:43Z,60544,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
JapaneseMacaque,"Withdrawn, Withdrawn",3.82,163.0,0 years (KJD),,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,Withdrawn
keykey,Waitlisted,3.56,158.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
5oclockcoffee,"WL, Withdrawn",3.49,162.0,5-9 years,,2024-11-18,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,True,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
TryingToBeElleWoods,Accepted,3.83,168.0,,"$80,554, full ride, out of state first year last 2 years in state",2025-02-03,,,,,,2025-02-20,Regular Decision,2025-06-13T15:24:43Z,80554,False,"full ride, out of state first year last 2 years in state",False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
AlphaLion,Pending,3.44,161.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Other,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
TanBaby2000,Pending,2.9,158.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
natiisscared12,Waitlisted,3.79,165.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
LittleGingerGirl,Pending,4.0,156.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
catherinethelawyer,Waitlisted,3.66,161.0,5-9 years,,2024-12-23,2024-12-24,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Waitlisted
Agent2504,Pending,,,,,,2024-11-11,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
Big8Nole,"WL, Withdrawn",3.76,164.0,1-4 years,,2024-11-29,,,,,,,,2025-06-13T15:24:46Z,,False,,True,,False,White,False,True,False,True,False,False,False,,,4.0,,,,,False,False,WL
perfectlypeppered,"WL, Withdrawn",3.85,163.0,1-4 years,,2024-11-01,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
HopelessLawmanticism,"WL, Withdrawn",3.9,162.0,1-4 years,,2025-01-16,,2025-01-16,2025-02-26,,,2025-04-02,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,Hispanic/Latino,False,True,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
1bellybutton3kittycats,Pending,3.69,162.0,1-4 years,,2024-10-30,2024-10-31,2024-10-31,2024-11-06,,,,Early Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,early,1.0,,,,,False,False,Pending
BloodyUnevenTomato,"WL, Withdrawn",3.81,163.0,1-4 years,,2024-12-18,2024-12-18,2025-02-20,2025-02-20,,,2025-04-02,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,Black or African American,False,True,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
zoeyyyyyccccc,Pending,3.8,154.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LawSchoolThrowAway407,Pending,3.51,152.0,1-4 years,,2024-11-26,2024-11-27,2024-11-27,2024-12-18,2025-01-15,,,Early Decision → Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,,ed-to-rd,1.0,,,,,False,False,Pending
Rosegarden321,Waitlisted,3.85,157.0,,,2024-10-15,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
DiscreetEndurableMockingbird,Waitlisted,3.91,163.0,,,,,,,,,2025-04-08,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Just-Pretty,Pending,3.42,157.0,1-4 years,,2024-12-04,2024-12-04,2025-01-27,2025-01-27,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Pending
GarrulousWorkableFish,Pending,3.49,166.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
Prodigal,"WL, Rejected",3.86,161.0,,,,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,"WL, Rejected"
AudentesFortunaIuvat,Pending,3.61,162.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
k8s3,Pending,3.11,167.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
perrirons777,Pending,3.9,160.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
THECHALLENGERLAWYER,"WL, Rejected",3.45,161.0,1-4 years,,2024-10-31,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,"WL, Rejected"
AuspiciousNauseatingWolverine,"Withdrawn, Withdrawn",3.8,161.0,1-4 years,,2024-10-31,2024-11-01,2024-11-02,2024-11-11,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,Withdrawn
Athlete1,"WL, Rejected",3.63,157.0,0 years (KJD),,2024-11-17,,,,,,2025-06-06,Early Decision → Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,True,False,False,False,False,False,,ed-to-rd,0.0,,,,,False,False,"WL, Rejected"
grandmasterpickle,"WL, Withdrawn",3.04,158.0,0 years (KJD),,2025-01-13,2025-01-13,2025-02-25,2025-02-25,,,2025-04-02,,2025-06-13T15:24:49Z,,False,,True,,False,White,False,True,False,True,False,False,False,,,0.0,,,,,False,False,WL
emmclem,Pending,3.6,160.0,1-4 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
joy1998,Pending,3.66,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SimSimma,Pending,3.75,151.0,10+ years,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,,15.0,,,,,False,False,Pending
GoofyHumorousElephant,Accepted,4.0,168.0,,,,,,,,,2024-11-21,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Asmodeus,"WL, Withdrawn",4.0,156.0,0 years (KJD),,2024-11-26,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
WalkDontRun,Pending,3.5,168.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
HissingHideousSnail,"WL, Withdrawn",3.34,158.0,1-4 years,,2024-12-02,,,,,,2021-04-02,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,False,,False,True,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
WasabiDinosaur,Pending,3.82,159.0,1-4 years,,2024-09-14,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
