user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
ConfusedHarshCat,Accepted,3.5,167.0,,,2025-03-01,,,,,,2025-04-30,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
DC-TX-LA-PA-WI-CO-orBust,"Accepted, Withdrawn",2.99,162.0,10+ years,,2025-02-08,2025-02-08,2025-02-13,2025-03-27,,,2025-04-04,Regular Decision,2025-06-30T00:16:16Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,12.0,,,,,False,False,Accepted
codmod234545,accepted,3.67,167.0,1-4 years,,2025-08-28,,2025-11-01,,,,2025-10-30,Regular Decision,2025-11-10T02:06:27Z,,False,,False,,True,American Indian/Alaskan Native,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,accepted
TriteKnownCalf,Pending,3.72,166.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
DoneTeaching7,Rejected,2.45,166.0,5-9 years,,2024-11-28,2024-11-28,2024-12-13,,,,2025-01-28,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,9.0,,,,,False,False,Rejected
NotQuiteClaireHuxtable,Accepted,3.46,159.0,10+ years,,2025-02-01,,,,,,2025-04-04,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,17.0,,,,,False,False,Accepted
lotto,"WL, Withdrawn",3.72,157.0,1-4 years,,2024-12-27,2024-12-27,2025-02-12,2025-03-13,,,2025-03-27,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,True,False,False,True,Undergraduate Disciplinary Action,regular,2.0,,,,,False,False,WL
SilentSillyGoose,"WL, Withdrawn",3.91,160.0,1-4 years,,2025-02-06,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,1.0,,,,,False,False,WL
ImpartialNebulousBee,Pending,3.86,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ellewoods420,Accepted,3.51,165.0,,,,,,,,,2024-12-07,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
sltmich21,Pending,2.22,163.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,True,,regular,3.0,,,,,False,False,Pending
Maxmax,"WL, Withdrawn",3.55,158.0,,,,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,WL
ExcellentFascinatedStingray,Pending,2.56,156.0,10+ years,,2024-12-31,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,20.0,,,,,False,False,Pending
KindheartedSuccessfulChinchilla,Rejected,3.21,148.0,1-4 years,,,,,,,,2025-03-27,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Rejected
BoredAccidentalPenguin,"WL, Withdrawn",3.59,160.0,1-4 years,,2025-01-09,,,,,,,,2025-06-13T15:24:46Z,,False,,True,,False,,False,False,False,True,False,False,False,,,1.0,,,,,False,False,WL
LS21,Pending,2.39,164.0,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Pending
honeyvanilla,Pending,3.1,161.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,American Indian/Alaskan Native,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Luckycharm202555,Accepted,,,,,,,,,,,2025-05-02,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
zoeyyyyyccccc,Rejected,3.8,154.0,,,,,,,,,2024-12-08,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
LovingPastoralGopher,Accepted,,,,,,,,,,,2025-01-28,,2025-06-13T15:24:44Z,,False,,False,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
Poppyseeds,Accepted,3.46,160.0,1-4 years,,2024-11-02,2024-11-11,2024-12-10,,,,2025-01-13,,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
PINKGAVEL11,"WL, Withdrawn",3.98,155.0,,,2024-11-27,2024-11-27,2024-12-10,2025-01-29,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
