user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
BrokenEtherealKitten,Accepted,3.05,154.0,,"$75,000",2025-02-19,,,,,,2025-02-26,,2025-06-13T15:24:42Z,75000,False,,False,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
GroovyLemming,Accepted,3.79,160.0,,"$87,000",2025-02-06,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:42Z,87000,False,,False,,False,White,False,False,False,False,False,False,True,Academically Dismissed from college freshman year ~10yrs ago,regular,,,,,,False,False,Accepted
cbury24,Pending,3.5,150.0,,,2025-01-02,,,,,,,,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PremiumPeriodicCapybara,Rejected,2.67,159.0,1-4 years,,,,,,,,2025-03-13,,2025-06-13T15:24:42Z,,False,,False,,False,White,True,False,False,False,False,False,True,,,4.0,,,,,False,False,Rejected
LEM4life,Pending,3.55,167.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
TediousAdorableFerret,Rejected,2.8,155.0,,,,,,,,,2025-02-26,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
swiftredbull,Accepted,3.3,161.0,1-4 years,"$84,000",2024-11-04,,,,,,2024-12-05,Regular Decision,2025-06-13T15:24:43Z,84000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
Wheresmysupersuit011228,Pending,3.17,,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,5.0,158.0,156.0,4.5,,False,False,Pending
aferns19,Pending,3.42,153.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
stonerenard,Rejected,2.6,149.0,1-4 years,,2025-04-11,2025-04-14,2025-04-11,2025-04-18,,,2025-04-28,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
