user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Barbzstayinschoolll,Accepted,3.91,160.0,1-4 years,,2024-12-01,,,,,,2025-01-16,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
BroadGlisteningReader,Accepted,3.96,173.0,0 years (KJD),,,,,,,,2025-02-13,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
WiryGoodPuppy,Accepted,3.4,168.0,10+ years,"$90,000",2024-12-12,,,,,,2025-01-16,Regular Decision,2025-06-13T15:24:42Z,90000,False,,True,,False,White,False,False,False,False,False,False,True,,regular,15.0,,,,,False,False,Accepted
Calthepal,Rejected,3.8,158.0,1-4 years,,2024-12-11,,,,,,2025-01-29,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
Annakarenina,Pending,,167.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
LightGiantDwarf,Rejected,3.4,161.0,1-4 years,,2024-12-03,,,,,,2025-02-13,Priority Track,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,priority,4.0,,,,,False,False,Rejected
TidyGainfulPeacock,Rejected,3.5,160.0,1-4 years,,2024-12-01,,2024-12-16,,,,2025-02-13,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
DC-TX-LA-PA-WI-CO-orBust,Rejected,2.99,162.0,10+ years,,2025-02-05,2025-02-06,2025-02-13,,,,2025-03-27,Regular Decision,2025-06-30T00:15:53Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,12.0,,,,,False,False,Rejected
GoBirds40224133,Pending,3.9,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ConfusedHarshCat,Rejected,3.5,167.0,,,2025-03-01,,,,,,2025-04-14,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
