user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
AliveDeadYogurt,Rejected,3.92,172.0,,,,,,,,,2025-01-29,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
OverwroughtFlakyMilk,Rejected,3.65,178.0,5-9 years,,2025-01-01,,,,,,2025-03-17,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Rejected
MiniatureCarefulLettuce,Rejected,3.75,176.0,1-4 years,,2024-12-10,,,,,,2025-02-11,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
NonchalantRichWarthog,Rejected,3.63,175.0,1-4 years,,,2024-12-16,2024-12-18,,,,2025-02-11,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,True,"Fired once (some schools ask abt this, some don't)",,1.0,,,,,False,False,Rejected
merricat,Rejected,4.07,175.0,0 years (KJD),,2024-10-12,,2024-10-15,,,,2025-01-08,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
PossessiveDailyInfant,Rejected,3.57,168.0,1-4 years,,2024-11-08,,,,,,2025-01-08,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
CricArch,Rejected,3.81,167.0,1-4 years,,2024-11-30,,,,,,2025-01-29,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
TidyGainfulPeacock,Rejected,3.5,160.0,1-4 years,,2024-12-11,,2024-12-11,,,,2025-01-29,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
HomelyCloudyBird,Rejected,4.06,168.0,1-4 years,,,,,,,,2025-01-08,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
CharmingSmoothBee,Rejected,3.4,164.0,1-4 years,,2024-11-24,2024-11-25,2024-11-26,,,,2025-01-29,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
KindUttermostFop,Rejected,3.3,170.0,1-4 years,,2025-01-02,2025-01-10,2025-01-10,2025-01-10,,,2025-02-11,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,American Indian/Alaskan Native,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
ExclusiveOverratedCub,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CombativeOneInfant,Pending,3.2,170.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,True,,,7.0,,,,,False,False,Pending
HorribleStandingChimpanzee,Pending,3.93,169.0,,,2025-02-15,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
FunkyKong,Rejected,3.6,177.0,1-4 years,,,,,,,,2025-02-11,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
Dquaid-618,Rejected,,176.0,1-4 years,,2025-02-14,2025-02-17,2025-02-19,2025-02-20,,,2025-03-17,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
