user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
ChubbyMomma23,Pending,,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Leegion555,Pending,3.73,144.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
jgoldberg0910,Accepted,3.72,173.0,,,,,,,,,2025-02-20,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
jav12302,Accepted,3.93,151.0,0 years (KJD),,,,,,,,2025-04-30,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
legalweapon,Pending,3.25,153.0,,,2024-11-28,2024-11-28,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
FancyOvalWyvern,Pending,3.73,159.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AliveCreepyCapybara,Accepted,3.35,157.0,,"$142,500, Conditional",,,,,,,2025-02-05,,2025-06-13T15:24:44Z,142500,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ExoticArmadillo,Accepted,3.72,165.0,1-4 years,"$212,610, Conditional, Maintain 2.2",,,,,,,2024-12-14,Regular Decision,2025-06-13T15:24:44Z,212610,True,Maintain 2.2,True,,False,,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
Ibra202him,Rejected,2.42,154.0,,,2025-03-04,2025-03-05,,,,,2025-04-01,,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Rejected
TaylorKilks,Pending,3.8,142.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Pending
Jhollz24,Accepted,3.6,155.0,,"$135,000, Conditional",,,,,,,2025-02-11,Regular Decision,2025-06-13T15:24:45Z,135000,True,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
legallyunwell,Accepted,3.8,155.0,1-4 years,"$45,000, Conditional",,,,,,,2025-04-02,,2025-06-13T15:24:45Z,45000,True,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
LongTangyDevil,"WL, Withdrawn",3.37,151.0,5-9 years,,2024-12-17,,,,,,,Regular Decision,2025-06-13T15:24:51Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
CulturedExultantElephant,"WL, Withdrawn",3.31,154.0,1-4 years,,2024-09-06,2024-09-06,2024-11-15,2024-11-18,,,2024-12-14,Regular Decision,2025-06-13T15:24:52Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
BluePretty,Pending,3.3,147.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
garfieldbutqueer,Accepted,3.78,155.0,,"$135,000, Conditional",2025-03-03,,,,,,2025-03-25,Regular Decision,2025-06-13T15:24:45Z,135000,True,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ToNotOrNotToLaw,Pending,2.99,165.0,,,2025-02-04,,,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,True,False,Pending
ShakyInquisitiveTiger,Accepted,3.94,165.0,,"$210,000, Full Tuition",2024-12-09,,2024-12-09,,,,2025-02-05,Regular Decision,2025-06-13T15:24:45Z,210000,False,Full Tuition,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
gullibleprune,Waitlisted,3.26,157.0,5-9 years,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,9.0,,,,,False,False,Waitlisted
ClammyAncientPhoenix,Pending,3.19,154.0,,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,True,Other,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
Fatooma,Pending,,,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Theynotlikeus,Accepted,3.75,156.0,,"$165,000",2024-12-19,,,,,,2025-02-11,Regular Decision,2025-06-13T15:24:46Z,165000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Akrifel,Pending,3.6,162.0,,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
gpiquion,Pending,3.09,158.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
OverratedYouthfulMagpie,Accepted,3.47,156.0,,"$135,000",,,,,,,2025-03-14,Regular Decision,2025-06-13T15:24:46Z,135000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
FastVastMacaque,Pending,,135.0,,,,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,152.0,142.0,4,,False,False,Pending
EagleLion,Rejected,3.56,147.0,,,2024-11-15,,,,,,2025-05-21,Priority Track,2025-06-13T15:24:46Z,,False,,True,,False,,False,True,False,False,False,False,False,,priority,,,,,,False,False,Rejected
LondonFlowersFan,Pending,3.4,164.0,,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Jakeir93,Accepted,3.3,167.0,1-4 years,"$150,000",,,,,,,2025-03-19,Regular Decision,2025-06-13T15:24:48Z,150000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
SwerveWithIrv,Accepted,3.17,164.0,,"$180,000, Conditional",2025-04-07,,,,,,2025-03-26,,2025-06-13T15:24:47Z,180000,True,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
AlphaPosh300,Accepted,3.68,157.0,,"$135,000",,,,,,,2025-03-25,Regular Decision,2025-06-13T15:24:47Z,135000,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
GodlyLushAlligator,Accepted,3.8,153.0,,"$97,500, Conditional",2024-12-28,,,,,,2025-02-11,,2025-06-13T15:24:47Z,97500,True,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
incognitoinnit,Accepted,2.8,162.0,10+ years,"$150,000, Conditional",2025-03-03,2025-03-03,,2025-03-11,,,2025-03-25,Regular Decision,2025-06-13T15:24:47Z,150000,True,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,11.0,,,,,False,False,Accepted
Koooala,Rejected,2.7,155.0,10+ years,,2024-12-10,2024-12-10,2024-12-11,2024-12-12,2025-02-13,,2025-03-12,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,White,False,False,False,False,False,False,True,academic probation,regular,10.0,,,,,False,False,Rejected
VenomousBouncyOyster,Pending,3.44,161.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
puffersnoopy,Accepted,3.95,160.0,,"$173,000, Conditional",2024-11-26,,,,,,2025-02-05,,2025-06-13T15:24:48Z,173000,True,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ManyOver12,Rejected,3.16,150.0,1-4 years,,,,,,,,2024-12-15,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
cosmicbutterfly,"WL, Withdrawn",3.46,150.0,5-9 years,,2024-11-13,,,,,,2024-12-14,Regular Decision,2025-06-13T15:25:03Z,,False,,True,,True,Hispanic/Latino,False,True,False,True,False,False,False,,regular,7.0,,,,,False,False,WL
heyimlawyeringhere,Waitlisted,3.55,155.0,,,,,,,,,2025-03-25,,2025-06-13T15:24:47Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
GapingVengefulCat,Accepted,3.85,169.0,,,,,,,,,2024-12-01,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ProtectiveQuixoticOpossum,Accepted,3.72,160.0,,"$206,580, Conditional",,,,,,,2025-03-11,,2025-06-13T15:24:47Z,206580,True,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
VR108,Pending,3.6,159.0,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PreciousStingyDemogorgon,Pending,3.68,148.0,,,,,,,,,,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
OafishAheadTaco,Accepted,3.9,159.0,,"$212,610, Conditional",,,,,,,2025-02-06,,2025-06-13T15:24:48Z,212610,True,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
NaturalUnnaturalOstrich,Accepted,3.45,156.0,1-4 years,"$135,000",2024-12-31,2024-12-31,2025-01-02,2025-01-06,,,2025-02-05,Regular Decision,2025-06-13T15:24:48Z,135000,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
SpiffyHystericalOriole15,Pending,3.7,149.0,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SpookySpiffyKrampus,Pending,3.34,154.0,,,2025-03-06,,,,,,,,2025-06-13T15:24:48Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Spades,Accepted,3.6,163.0,,"$214,758, Conditional, Full Tuition",2024-12-15,2024-12-15,2024-12-18,2025-01-10,,,2025-02-05,Regular Decision,2025-06-13T15:24:48Z,214758,True,Full Tuition,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
1ndigo,accepted,3.89,158.0,,"$37,500, Conditional",2025-07-01,,,,,,2025-07-15,Regular Decision,2025-09-04T18:43:26Z,37500,True,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,accepted
LSchoolpls,Accepted,3.19,157.0,,"$47,500",,,,,,,2025-03-11,,2025-06-13T15:24:48Z,47500,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
kycon,Pending,3.67,158.0,,,2025-03-31,2025-04-01,2025-04-01,2025-04-14,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
cwoosh11,Accepted,3.82,161.0,,"$215,000",,,,2025-01-06,,,2025-02-11,Regular Decision,2025-06-13T15:24:48Z,215000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
xuxu,Waitlisted,3.11,,10+ years,,2025-02-08,,,,,,2025-03-12,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Waitlisted
joshxweis,Accepted,3.67,161.0,0 years (KJD),"$214,758, Conditional",,,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:48Z,214758,True,,False,,False,White,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
sour-candy,Pending,3.57,149.0,5-9 years,,2025-03-15,,,,,,,Regular Decision,2025-06-13T15:24:49Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,7.0,,,,,False,False,Pending
meowlaw,Rejected,3.5,146.0,,,,,,,,,2025-03-25,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
ScandalousNextLemon,Accepted,3.97,165.0,,,2024-11-16,,,,,,2024-12-14,,2025-06-13T15:24:49Z,,True,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PresentVengefulCoral,Accepted,3.59,160.0,,,,,,,,,2025-02-09,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
FutureTightKiwi,Waitlisted,3.83,152.0,,,2025-02-28,,,,,,2025-04-29,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
