user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
RebelOppositeKitten,Waitlisted,3.04,153.0,,,2025-02-21,,,,,,2025-04-06,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Maybuggie,Accepted,4.05,162.0,0 years (KJD),$0,2025-02-18,,,,,,2025-03-12,Regular Decision,2025-06-13T15:24:42Z,0,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
SnottyMinorBat,Waitlisted,,,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
MelodicSeemlyBison,Pending,3.33,154.0,0 years (KJD),,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,True,,regular,0.0,,,,,False,False,Pending
max7049,Pending,3.7,154.0,10+ years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,True,False,False,False,False,False,False,,,11.0,,,,,False,False,Pending
CheGuayaba,"WL, Rejected",2.85,160.0,5-9 years,,2024-12-24,2024-12-24,2025-01-22,,,,2025-05-27,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,"WL, Rejected"
ItsYourGirlV,Accepted,4.0,156.0,5-9 years,,2024-11-01,2024-11-07,,,,,2025-02-27,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
ScandalousNonchalantZebu,Waitlisted,2.31,156.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Waitlisted
ovidshel,Pending,2.6,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
Alawpoopy,Pending,3.52,156.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Pending
TidyGainfulPeacock,Accepted,3.5,160.0,1-4 years,,2024-12-01,,2025-01-22,2025-01-29,2025-03-31,,2025-04-08,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
CmmtySwtr,"WL, Withdrawn",3.44,165.0,1-4 years,,2024-11-29,2024-12-18,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Multiracial,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
