user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
jackbenimble,Waitlisted,3.44,168.0,10+ years,,2024-11-16,2024-11-18,,2024-12-03,,,2024-12-16,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,True,"Multiple alcohol & drug offenses, including drunk driving, other offenses, and university misconduct",regular,11.0,,,,,False,False,Waitlisted
liliumlex,Accepted,4.0,167.0,1-4 years,"$118,783, full OOS 1L, full IS tuition 2L and 3L, LRA opportunity",2024-12-29,2024-12-30,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:42Z,118783,False,"full OOS 1L, full IS tuition 2L and 3L, LRA opportunity",False,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
BroadGlisteningReader,Accepted,3.96,173.0,0 years (KJD),,,,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
mailman12,Rejected,2.86,163.0,0 years (KJD),,2024-11-30,2024-11-30,2024-12-03,,,,2025-01-29,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,True,"academic probation (at two schools), speeding ticket, housing infraction for missed COVID test",regular,0.0,,,,,False,False,Rejected
cardiackemba15,"WL, Withdrawn",3.61,162.0,,,2025-01-29,2025-01-30,2025-01-30,,,,2025-03-24,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
Miners2020,"WL, Withdrawn",4.0,157.0,,,2024-09-13,2024-09-20,,,,,2025-03-25,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
Superstarz,Accepted,3.76,172.0,1-4 years,"$118,783, Full tuition + fees",,2024-11-04,2024-12-02,,,,2024-12-05,Regular Decision,2025-06-13T15:24:43Z,118783,False,Full tuition + fees,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
Rubbabubbub,Waitlisted,3.6,159.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Waitlisted
catherinethelawyer,Waitlisted,3.66,161.0,5-9 years,,2025-01-01,2025-01-03,,,,,2025-03-25,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Waitlisted
NiftyMistyLiger,Accepted,3.96,160.0,,"$0, Said they might reconsider after 1st deposit deadline",2024-12-19,,,,,,2024-12-30,Regular Decision,2025-06-13T15:24:43Z,0,False,Said they might reconsider after 1st deposit deadline,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
