user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Morchic2,Pending,2.53,146.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
HappyDuckie22,Pending,,150.0,,,2025-03-11,,2025-04-30,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
LS21,Pending,2.39,164.0,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Pending
ExcellentFascinatedStingray,Accepted,2.56,156.0,10+ years,,2024-12-31,,,,,,2025-02-24,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,20.0,,,,,False,False,Accepted
AboundingHorribleDuck,Pending,3.6,150.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,True,Academically dismissed ,,2.0,,,,,False,False,Pending
immigrattionatty99,Rejected,3.6,146.0,1-4 years,,2024-11-22,2024-11-22,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
Lovelawrealestate,Pending,2.89,148.0,10+ years,,2024-12-01,2024-12-02,2025-02-12,2025-02-10,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,21.0,,,,,False,False,Pending
nutt,Pending,3.69,144.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Shquonna1,Pending,3.74,165.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Caffienejunky,Accepted,3.75,152.0,,"$30,000",2024-09-14,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:45Z,30000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Liquid-Dino,Accepted,3.4,157.0,5-9 years,"$96,000",2025-02-09,,,,,,2025-03-03,,2025-06-13T15:24:46Z,96000,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
RemarkablePalePickle,Accepted,2.92,162.0,1-4 years,"$150,000",,,,,,,2024-12-05,Regular Decision,2025-06-13T15:24:46Z,150000,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
JuliaMcCullars,Pending,3.68,154.0,1-4 years,,2025-04-02,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
AspiringLawMya,Pending,3.5,153.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BLUEMEL,Pending,2.4,144.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Derumortal,Pending,,,,,2025-03-31,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
KindheartedSuccessfulChinchilla,Accepted,3.21,148.0,1-4 years,,,,,,,,2025-03-26,,2025-06-13T15:24:47Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
PreciousStingyDemogorgon,Pending,3.68,148.0,,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
NoisySwankyFrog,Accepted,3.45,152.0,5-9 years,"$90,000",2025-01-28,,,,,,2025-02-07,Regular Decision,2025-06-13T15:24:48Z,90000,False,,False,,False,,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
CowardlyTorpidSeagull,Rejected,3.2,160.0,,,,,,,,,2025-03-27,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
ProbableQuizzicalBee,Accepted,3.49,161.0,,"$174,867, Conditional, Dean's Fellowship Scholarship, full tuition scholarship for the part-time evening program, 2.0 GPA required to keep scholarship",2025-01-19,,2025-02-05,,,,2025-02-07,Regular Decision,2025-06-13T15:24:48Z,174867,True,"Dean's Fellowship Scholarship, full tuition scholarship for the part-time evening program, 2.0 GPA required to keep scholarship",True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
MereTemporaryElemental,Pending,3.37,152.0,10+ years,,2025-03-15,2025-03-15,2025-03-17,,,,,Regular Decision,2025-06-13T15:24:49Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,11.0,,,,,False,False,Pending
ThePixie1506,Pending,,155.0,,,2024-10-31,,,,,,,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
HBCUGirlll,Rejected,3.8,,,,,,,,,,2025-04-17,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
QQQ,Pending,3.6,,,,,,,,,,,,2025-06-13T15:24:50Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ThreepeacefulHorse,Accepted,2.35,153.0,10+ years,"$18,000",2025-02-24,,2025-02-25,,,,2025-03-05,,2025-06-13T15:24:51Z,18000,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,10.0,,,,,False,False,Accepted
GroovySwiftBluebird,Pending,,,,,2024-12-19,2024-12-19,,,,,,,2025-06-13T15:24:52Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ImportantCapybara,Accepted,3.57,155.0,,"$30,000",,,,,,,2025-03-27,,2025-06-13T15:24:53Z,30000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TightAlikeMoose,Pending,3.8,148.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:54Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
johnniecochrantwin,Pending,2.54,149.0,5-9 years,,,,,,,,,,2025-06-13T15:24:54Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
NotQuiteClaireHuxtable,Accepted,3.46,159.0,10+ years,"$76,000, 4 years part time",2025-02-15,,,,,,2025-03-04,Regular Decision,2025-06-13T15:24:55Z,76000,False,4 years part time,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,17.0,,,,,False,False,Accepted
XaedenRiorsonStan,Accepted,3.26,151.0,0 years (KJD),"$66,000, Conditional, Maintain 2.0 and 2.5 GPA",2024-12-24,2024-12-24,2024-12-27,,,,2025-02-12,Regular Decision,2025-06-13T15:24:55Z,66000,True,Maintain 2.0 and 2.5 GPA,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
Hugostiglits37,"accepted, Attending",3.2,160.0,5-9 years,"$159,708, Conditional",2025-03-10,2025-03-10,2025-03-11,2025-03-12,,,2025-03-21,Priority Track,2025-08-21T17:52:08Z,159708,True,,True,,False,White,False,True,False,False,True,False,False,,priority,5.0,160.0,158.0,4.5,,False,False,accepted
EnergeticHaltingGremlin,Accepted,3.84,151.0,1-4 years,"$54,000, Conditional",,,,,,,2025-03-13,,2025-06-13T15:24:57Z,54000,True,,False,,False,,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
lifelikelarry,Pending,,,,,,,,,,,,,2025-06-13T15:24:57Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
RightfulRigidTerrier,Accepted,3.5,152.0,1-4 years,"$111,000, Conditional",,,,,,,2025-02-07,,2025-06-13T15:24:57Z,111000,True,,False,,False,,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
ElasticFallaciousCapybara,Rejected,3.3,141.0,1-4 years,,,,,,,,2025-05-01,,2025-06-13T15:24:59Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Rejected
WithGodallthingsarepossible,Pending,2.5,170.0,,,,,,,,,,,2025-06-13T15:24:59Z,,,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
Legally08,pending,2.89,145.0,,,,,,,,,,Regular Decision,2025-07-22T21:55:39Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,pending
NoxiousTiresomeFlounder,Pending,,,,,,,,,,,,,2025-06-13T15:25:53Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
HaplessBreakableBulldog,Pending,3.58,146.0,1-4 years,,2024-10-26,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
LClark,Pending,3.58,145.0,,,,,,,,,,,2025-06-13T15:25:03Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
NervousLina,"Accepted, Withdrawn",3.5,154.0,,"$90,000",,,,,,,2025-03-15,Regular Decision,2025-06-13T15:24:43Z,90000,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,,,,,,False,False,Accepted
JenGiraffe5,"Accepted, Withdrawn",3.95,162.0,0 years (KJD),"$157,606",2024-11-05,2024-11-22,2024-11-22,,,,2024-12-05,Regular Decision,2025-06-13T15:24:44Z,157606,False,,True,,False,East Asian,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,Accepted
Classroom2104,"Accepted, Withdrawn",3.2,154.0,10+ years,"$90,000",,,,,,,2025-05-28,,2025-06-13T15:24:55Z,90000,False,,False,,True,Black or African American,False,False,False,True,False,False,False,,,15.0,,,,,False,False,Accepted
Moi-moi,"Accepted, Withdrawn",2.4,154.0,1-4 years,"$90,000",2025-02-16,,,,,,2025-03-13,Regular Decision,2025-06-13T15:24:55Z,90000,False,,True,,True,Black or African American,False,False,False,True,False,False,True,Academic suspension ,regular,2.0,,,,,False,False,Accepted
Teyo-999,"Accepted, Withdrawn",3.8,155.0,1-4 years,"$90,000, Conditional",2025-02-20,,,,,,2025-03-05,Regular Decision,2025-06-13T15:25:03Z,90000,True,,False,,True,Black or African American,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,Accepted
UnknownM,"Accepted, Withdrawn",3.97,151.0,1-4 years,"$54,000, Conditional",2025-03-21,2025-03-21,2025-03-24,,,,2025-04-25,Regular Decision,2025-06-13T15:25:10Z,54000,True,,True,,True,Black or African American,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,Accepted
Sianisushi,Pending,2.81,,1-4 years,,,,,,,,,,2025-06-13T15:26:11Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
Sagittariusqueen11,Pending,2.7,138.0,,,,,,,,,,,2025-06-13T15:26:17Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Joser246,Pending,2.4,142.0,5-9 years,,,,,,,,,,2025-06-13T15:27:40Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,9.0,,,,,False,False,Pending
DoneTeaching7,"Withdrawn, Withdrawn",2.45,166.0,5-9 years,,2025-01-10,2025-01-10,2025-01-14,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,,False,True,False,True,False,False,False,,regular,9.0,,,,,False,False,Withdrawn
NumberlessCoolLeek,"Accepted, Withdrawn",,157.0,,,,,,,,,2024-11-04,,2025-06-13T15:24:43Z,,False,,False,,True,Multiracial,False,False,False,True,False,False,False,,,,,,,,False,False,Accepted
Mc101516,"Accepted, Withdrawn",3.23,159.0,10+ years,"$96,000",,,,,,,2024-12-10,Regular Decision,2025-06-13T15:24:45Z,96000,False,,True,,False,White,False,True,False,True,False,False,False,,regular,18.0,,,,,False,False,Accepted
Arghyle,"Accepted, Withdrawn",2.77,155.0,10+ years,"$90,000",2024-11-18,,,,,,2025-01-27,Regular Decision,2025-06-13T15:25:02Z,90000,False,,True,,True,Multiracial,True,False,False,True,False,False,False,,regular,11.0,,,,,False,False,Accepted
