user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
NervousMothMan,Pending,3.9,161.0,,,2024-10-15,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Wesquire,Accepted,3.65,163.0,,"$99,000",,,,,,,2025-01-14,,2025-06-13T15:24:42Z,99000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PremiumPeriodicCapybara,Waitlisted,2.67,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,True,False,False,False,False,False,True,,,4.0,,,,,False,False,Waitlisted
buglaw,Accepted,3.78,163.0,1-4 years,"$90,000",2024-11-11,,,,,,2025-01-03,,2025-06-13T15:24:42Z,90000,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
bblizardbreath,Accepted,3.71,172.0,,,,,,,,,2024-12-01,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
LEM4life,Pending,3.55,167.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
seeingstarz,wl_rejected,3.7,160.0,,,2025-01-02,2025-01-02,2025-01-02,2025-01-30,,,2025-07-21,Regular Decision,2025-07-22T00:30:51Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,wl_rejected
DefectiveNecessaryWeasel,Pending,3.3,150.0,,,2025-02-19,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ezg,Accepted,3.67,162.0,1-4 years,"$108,000",,,,,,,2025-03-27,,2025-06-13T15:24:43Z,108000,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
FamiliarPuffyFowl,Waitlisted,3.08,158.0,1-4 years,,2025-02-09,,,,,,2025-03-05,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Other,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
TheRareESLLawyer,Accepted,3.71,153.0,5-9 years,"$48,000",,,2025-01-03,2025-01-07,,,2025-02-14,Regular Decision,2025-06-13T15:24:43Z,48000,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Accepted
BigSmoothhh,Pending,3.4,161.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,True,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
FragileDeadPickle,Accepted,3.45,165.0,10+ years,"$69,000",2025-02-22,,,,,,2025-03-14,Regular Decision,2025-06-13T15:24:44Z,69000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,12.0,,,,,False,False,Accepted
vikingman279,Accepted,3.3,161.0,,"$75,000",2025-02-03,2025-02-03,2025-02-03,2025-02-03,,,2025-02-14,Regular Decision,2025-06-13T15:24:44Z,75000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
QueenOfCarcosa,"Accepted, Attending",3.7,163.0,,"$120,000",,,,,,,2025-02-14,,2025-06-13T15:24:44Z,120000,False,,False,,True,Hispanic/Latino,False,False,False,False,True,False,False,,,,,,,,False,False,Accepted
DivergentOceanicInfant,Accepted,3.8,159.0,,"$72,000",2025-01-20,,2025-01-21,2025-02-05,,,2025-02-27,Regular Decision,2025-06-13T15:24:44Z,72000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
OssifiedFeignedChipmunk,Accepted,3.4,163.0,1-4 years,"$102,000",2024-12-17,,,,,,2025-01-14,Regular Decision,2025-06-13T15:24:44Z,102000,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
GratefulOvalCuscus,Accepted,4.2,162.0,10+ years,"$120,000",,,2024-12-08,2025-01-14,,,2025-01-24,Regular Decision,2025-06-13T15:24:44Z,120000,False,,True,,False,,False,False,False,False,False,False,False,,regular,20.0,,,,,False,False,Accepted
pitiful-pain-9,Waitlisted,2.6,154.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Other,False,False,False,False,False,False,True,,regular,8.0,,,,,False,False,Waitlisted
