user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
ImpartialNebulousBee,Pending,3.86,,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
MuffinTopGolf,Waitlisted,3.0,149.0,,,2025-02-04,2025-02-04,,2025-02-06,,,2025-03-03,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Black or African American,True,False,False,False,False,False,True,,regular,,,,,,False,False,Waitlisted
wishesandprayers,Pending,3.46,147.0,1-4 years,,2024-09-17,2024-09-17,2024-09-17,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
BraveMadlyMerperson,"WL, Withdrawn",3.36,148.0,5-9 years,,2024-09-03,2024-09-03,2024-09-03,2024-10-23,,,2024-12-20,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,8.0,,,,,False,False,WL
HypnoticSassyChipmunk,Waitlisted,3.16,155.0,5-9 years,,2024-11-08,2024-11-09,2024-11-15,2024-12-02,,,2024-12-19,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,7.0,156.0,146.0,4.0,,False,False,Waitlisted
TiredStrangeMilk,Accepted,2.91,152.0,5-9 years,,,,,,,,2024-12-19,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,True,academic probation ,regular,5.0,,,,,False,False,Accepted
QuickestAnteater,Pending,,,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SpottedHighBonobo,Pending,3.87,,,,,,,,,,,,2025-06-13T15:24:46Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,,157.0,150.0,3.5,,False,False,Pending
HorribleRottenCatfish,Accepted,2.7,160.0,10+ years,"$75,000",2024-12-02,2024-12-02,2024-12-20,,,,2025-03-14,Regular Decision,2025-06-13T15:24:46Z,75000,False,,False,,False,White,False,False,False,False,False,False,True,Felony drug charge from 2017,regular,10.0,,,,,False,False,Accepted
DeadNeedlessGarfield,Accepted,3.67,160.0,,"$80,000",,,,,,,2024-12-20,Priority Track,2025-06-13T15:24:46Z,80000,False,,False,,False,,False,False,False,False,False,False,False,,priority,,,,,,False,False,Accepted
ScrawnyDeterminedDwarf,Rejected,2.55,163.0,10+ years,,2025-03-25,,,,,,2025-04-21,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,White,True,False,False,False,False,False,True,Pretty serious twenty years ago ,regular,12.0,,,,,False,False,Rejected
ChadEdge,Accepted,3.6,150.0,,"$80,000",,,,,,,2025-01-13,,2025-06-13T15:24:47Z,80000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SlimGruesomeCrab,Pending,2.68,145.0,10+ years,,,,,,,,,,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,True,felon 20 years ago,,10.0,,,,,False,False,Pending
keith11423,Pending,2.9,166.0,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,166.0,161.0,3.5,,False,False,Pending
SpookySpiffyKrampus,Accepted,3.34,154.0,,"$90,000",2025-02-07,,,,,,2025-02-17,,2025-06-13T15:24:48Z,90000,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
SecondEquableBluebird,Accepted,3.36,152.0,,"$90,000",2025-02-17,2025-02-17,2025-02-17,,,,2025-03-13,Regular Decision,2025-06-13T15:24:48Z,90000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
NimbleCreepyLiger,Rejected,3.89,149.0,10+ years,,2024-12-19,,,,,,2024-12-22,,2025-06-13T15:24:51Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,10.0,,,,,False,False,Rejected
lawschooldreamer23,Accepted,3.2,148.0,,"$24,000",,,,,,,2025-05-06,,2025-06-13T15:24:51Z,24000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
TenseOutgoingPuppy,Pending,3.7,149.0,10+ years,,,,,,,,,,2025-06-13T15:24:51Z,,,,False,,False,,True,False,False,False,False,False,False,,,12.0,,,,,False,False,Pending
RainbowUnicornGirlDad,Pending,3.0,154.0,10+ years,,2024-09-07,2024-09-07,2024-09-07,2024-10-31,,,,,2025-06-13T15:24:51Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,10.0,,,,,False,False,Pending
lawperson2030,Waitlisted,3.81,148.0,,,,,,,,,2024-12-20,,2025-06-13T15:24:52Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
BroadSecondMillipede,Pending,,,,,,,,,,,,,2025-06-13T15:24:52Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
UglyPsychoticSparrow,Pending,3.2,150.0,,,,,,,,,,,2025-06-13T15:24:52Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
legalweapon,Accepted,3.25,153.0,,"$84,000",2025-02-12,,,,,,2025-02-18,Regular Decision,2025-06-13T15:24:53Z,84000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
RetiredCPO,Pending,3.75,148.0,,,,,,,,,,,2025-06-13T15:24:53Z,,False,,True,,False,White,True,False,False,False,False,False,False,,,,,,,,False,False,Pending
Jojo92,Accepted,2.3,156.0,5-9 years,,,,2025-02-13,2025-02-14,,,2025-02-28,,2025-06-13T15:24:53Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,9.0,,,,,False,False,Accepted
ImportantCapybara,Accepted,3.57,155.0,,"$96,000",,,,,,,2025-03-27,,2025-06-13T15:24:53Z,96000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Gunner2009,Accepted,2.91,153.0,10+ years,"$44,000",2025-02-12,2025-02-13,2025-02-14,,,,2025-02-28,Regular Decision,2025-06-13T15:24:53Z,44000,False,,True,,True,Other,True,False,False,False,False,False,False,,regular,13.0,,,,,False,False,Accepted
HospitableInexpensiveTermite,Rejected,2.97,147.0,10+ years,,,,,,,,2025-02-21,,2025-06-13T15:24:53Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Rejected
Hloone01,Accepted,3.4,155.0,5-9 years,"$72,000, 54.79% before negotiation ($4,850 out of pocket/ semester)",2024-10-25,2024-10-25,2024-10-25,2024-12-02,,,2024-12-19,Regular Decision,2025-06-13T15:24:53Z,72000,False,"54.79% before negotiation ($4,850 out of pocket/ semester)",False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Accepted
GainfulPriceySwallow,Rejected,3.9,151.0,1-4 years,,2025-02-19,,,,,,2025-04-10,Regular Decision,2025-06-13T15:24:54Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
LumpyFixedRhino,Rejected,3.06,145.0,,,,,,,,,2025-05-03,,2025-06-13T15:24:59Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
NotQuiteClaireHuxtable,Accepted,3.46,159.0,10+ years,"$84,000",2025-02-15,,,,,,2025-02-28,Regular Decision,2025-06-13T15:24:54Z,84000,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,17.0,,,,,False,False,Accepted
TheRedBaronPizza,Accepted,2.21,158.0,1-4 years,"$75,000",,,,,,,2024-12-05,,2025-06-13T15:24:57Z,75000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
WorkingWillow,Accepted,2.4,158.0,0 years (KJD),"$70,000",,,,,,,2025-04-14,,2025-06-13T15:24:58Z,70000,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
PinkNashville,Accepted,,,,,,,,,,,2024-12-10,,2025-06-13T15:24:58Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
FeignedTiresomeGrasshopper,Accepted,2.2,156.0,,"$60,000",,,,,,,2025-04-16,,2025-06-13T15:24:58Z,60000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Clearymad,Accepted,3.22,157.0,10+ years,"$48,000",,,,,,,2025-05-09,,2025-06-13T15:24:59Z,48000,False,,False,,False,White,False,False,False,False,False,False,False,,,30.0,,,,,False,False,Accepted
cac1358,Accepted,2.81,156.0,10+ years,"$60,000",,,,,,,2025-02-28,Regular Decision,2025-06-13T15:24:59Z,60000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,14.0,,,,,False,False,Accepted
Ghost78,Accepted,3.68,,10+ years,"$28,000",2025-04-26,2025-04-28,2025-04-30,2025-05-01,,,2025-05-08,Regular Decision,2025-06-13T15:25:03Z,28000,False,,True,,False,White,True,False,False,False,False,False,False,,regular,20.0,154.0,143.0,4,,False,False,Accepted
ADHDPuddles,Accepted,3.09,156.0,10+ years,"$68,000",2024-11-23,2024-11-23,2024-11-23,2024-12-02,,,2025-02-28,Regular Decision,2025-06-13T15:25:06Z,68000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,10.0,,,,,False,False,Accepted
CollegeAthlete,Accepted,3.93,158.0,,"$105,000",,,,,,,2024-12-05,,2025-06-13T15:25:10Z,105000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PurposeDrivenAdvocate,rejected,3.49,142.0,10+ years,,2025-05-20,,,,,,,Regular Decision,2025-06-25T23:16:22Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,23.0,,,,,True,False,rejected
BirdLawyer28,pending,2.31,151.0,10+ years,,2025-07-01,2025-07-01,2025-07-01,,,,,Regular Decision,2025-07-11T16:21:53Z,,False,,False,,True,American Indian/Alaskan Native,False,False,False,False,False,False,False,,regular,20.0,,,,,False,False,pending
LivelyJudicialLynx545,"accepted, Withdrawn",3.3,160.0,10+ years,"$52,000",2025-04-01,2025-06-26,2025-06-26,,,,2025-07-04,Regular Decision,2025-07-17T15:29:55Z,52000,False,,False,,False,,False,False,False,True,False,False,False,,regular,10.0,,,,,False,False,accepted
DependentCharmingBarnacle,"accepted, Withdrawn",3.84,158.0,1-4 years,"$108,000, Conditional, Maintain 2.0",2024-12-04,2024-12-04,2024-12-18,2024-12-18,,,2025-01-24,Regular Decision,2025-08-09T00:09:40Z,108000,True,Maintain 2.0,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,accepted
EndurablePhysicalReindeer,Rejected,3.2,149.0,1-4 years,,2025-01-05,2025-01-07,2025-01-07,,,,2025-02-11,Regular Decision,2025-09-24T15:32:55Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
CaseMagician,Pending,2.39,157.0,10+ years,,,,,,,,,,2025-06-13T15:25:53Z,,,,False,,True,Black or African American,False,False,False,False,False,False,True,Arrest-No charges-Traffic Infractions,,19.0,,,,,False,False,Pending
StephyLynn,"Accepted, Withdrawn",3.07,150.0,10+ years,"$28,000",2025-02-28,,2025-02-28,,,,2025-04-15,Regular Decision,2025-06-13T15:24:49Z,28000,False,,False,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,14.0,,,,,False,False,Accepted
