user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
LooseJaggedPebble,Accepted,3.8,158.0,1-4 years,"$60,000",2024-12-01,,,,,,2025-03-06,,2025-06-13T15:24:42Z,60000,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
MonateMonna,Pending,3.6,165.0,1-4 years,,,,2024-12-10,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
jackbenimble,Pending,3.44,168.0,10+ years,,2024-11-15,2024-11-19,2024-12-13,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,True,"Multiple alcohol & drug offenses, including drunk driving, other offenses, and university misconduct",regular,11.0,,,,,False,False,Pending
WholesaleIllRock,Pending,3.27,148.0,1-4 years,,2025-02-06,2025-02-06,2025-02-11,,,,,,2025-06-13T15:24:42Z,,False,,True,,True,American Indian/Alaskan Native,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
buglaw,Accepted,3.78,163.0,1-4 years,"$105,000",,,,,,,2025-02-20,,2025-06-13T15:24:42Z,105000,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
BrightSoreKingfisher,Accepted,3.76,159.0,1-4 years,"$60,000",2024-11-11,,2024-12-13,,,,2025-03-06,Regular Decision,2025-06-13T15:24:42Z,60000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
FutureBryceJamesAgent,waitlisted,3.23,167.0,1-4 years,,,,,,,,,Regular Decision,2025-07-22T15:08:10Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,waitlisted
WindyPrivateSkater,Rejected,2.8,161.0,5-9 years,,2025-02-01,2025-02-02,,,,,2025-05-31,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Rejected
ExpensiveParchedSnail,Accepted,3.85,164.0,,"$120,000",2024-10-27,2024-10-28,2024-10-28,,,,2025-02-13,Regular Decision,2025-06-13T15:24:42Z,120000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
FallaciousOutstandingReader,Pending,3.5,160.0,5-9 years,,,2025-01-24,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Pending
sharkboy,Waitlisted,3.94,155.0,,,2024-11-13,2024-11-14,2024-12-13,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
luludelulu,Accepted,3.8,162.0,,"$105,000",2024-11-30,2024-12-01,,,,,2025-03-06,,2025-06-13T15:24:42Z,105000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
AbsorbedGruesomeDolphin,Pending,3.67,156.0,1-4 years,,2025-02-10,2025-02-10,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
KilgoreTroutWasHere,Pending,3.19,169.0,5-9 years,,2025-01-01,2025-01-01,2025-01-08,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,True,Academic probation,,6.0,,,,,False,False,Pending
ClumsyUsefulPlatypus,Rejected,2.89,171.0,1-4 years,,2024-12-01,2024-12-02,2024-12-19,,,,2025-03-27,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
jdaehan,"WL, Withdrawn",2.8,176.0,5-9 years,,2024-10-18,2024-10-24,2024-12-06,,,,2025-03-18,Regular Decision,2025-06-13T15:24:43Z,,False,,True,Unsolicited,False,East Asian,False,True,False,True,False,False,True,Academic probation in undergrad,regular,6.0,,,,,False,False,WL
DiscreetHideousBaboon,Pending,3.71,159.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,True,,regular,4.0,,,,,False,False,Pending
OppositeDayMikeRoss2,Waitlisted,3.8,158.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Maybuggie,Accepted,4.05,162.0,0 years (KJD),"$150,000",2024-12-01,2024-12-01,,,,,2025-03-14,Regular Decision,2025-06-13T15:24:43Z,150000,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
NonstopMacabreLemming,Pending,3.93,158.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
CleverBustlingDragon,Pending,3.68,156.0,5-9 years,,,,,,,,,Priority Track,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,priority,9.0,,,,,False,False,Pending
ExultantThoughtlessWallaby,Pending,3.48,157.0,1-4 years,,2024-12-03,,2024-12-13,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Pending
TenderNiceAnteater,Accepted,4.01,165.0,,"$90,000",,,,,,,2025-05-15,,2025-06-13T15:24:43Z,90000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Homeland,rejected,3.67,153.0,1-4 years,,,,,,,,,Regular Decision,2025-06-18T15:10:40Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,rejected
MadonnaSummer,Pending,2.94,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LikeRoss,Pending,2.8,168.0,1-4 years,,,,,,,,2025-01-03,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,True,DUI arrest,,2.0,,,,,False,False,Pending
IcyEarthyBulldog,Pending,3.54,151.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DetailedFairTurtle,rejected,3.78,154.0,5-9 years,,2025-03-07,,,,,,2025-06-30,Regular Decision,2025-08-09T04:35:04Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,rejected
UpsetKnowingPirate,Waitlisted,3.65,157.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
HurriedLiterateEagle,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DeterminedAmbiguousDragon,Pending,3.77,152.0,,,2024-11-01,2024-11-10,2024-11-04,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
Porchfan,Accepted,3.94,162.0,,"$120,000",,,,,,,2025-03-28,,2025-06-13T15:24:43Z,120000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
mocktrialenthusiast,Pending,3.88,162.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
GiftedTawdryCheese,"WL, Withdrawn",3.87,157.0,5-9 years,,,,,,,,2025-05-14,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,6.0,,,,,False,False,WL
EncouragingGentlePotato,Pending,3.4,154.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,7.0,,,,,False,False,Pending
