user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
MrBiology,Rejected,3.1,156.0,1-4 years,,,,,,,,2025-06-04,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
CombativeOneInfant,Pending,3.2,170.0,5-9 years,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,True,,,7.0,,,,,False,False,Pending
WiryGoodPuppy,Accepted,3.4,168.0,10+ years,"$135,000, Conditional",2024-11-16,,,,,,2025-02-26,Regular Decision,2025-06-13T15:24:42Z,135000,True,,True,,False,White,False,True,False,False,False,False,True,,regular,15.0,,,,,False,False,Accepted
FriendlyShark,Accepted,3.4,163.0,1-4 years,,2024-10-23,,,,,,2025-01-15,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
iLuvLarry2025,Accepted,3.7,166.0,5-9 years,,2024-12-27,,2025-01-28,,,,2025-04-02,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
yalpaks,Pending,3.1,170.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Pending
WonderfulFierceFerret,Rejected,3.72,157.0,,,2024-12-24,,,,,,2025-04-16,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,,,,,False,False,Rejected
NaiveProbableMinotaur,Accepted,,,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
CarryOn-lawstudent,Accepted,3.91,165.0,,,2024-12-01,2024-12-04,2024-12-04,2024-12-06,,,2025-02-27,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,True,2 term disruption; medical LOA,regular,,,,,,False,False,Accepted
HomelyCloudyBird,Accepted,4.06,168.0,1-4 years,"$165,000",,,,,,,2025-03-07,,2025-06-13T15:24:42Z,165000,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
