user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
PatheticClassyCrab,Pending,3.39,152.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
lgtlawschoolnola,Accepted,3.47,154.0,,"$84,000",2024-12-21,2024-12-22,2024-12-22,2025-01-29,,,2025-02-02,,2025-06-13T15:24:42Z,84000,False,,False,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
DiscreetHideousBaboon,Pending,3.71,159.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,True,,,4.0,,,,,False,False,Pending
freeloading,Waitlisted,3.7,145.0,5-9 years,,2024-12-13,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Waitlisted
Hgfdfyjbgfdssdgukjvcftfcjihbh,Waitlisted,3.0,148.0,10+ years,,2025-01-28,2025-01-28,2025-02-05,2025-02-17,,,2025-03-20,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,False,Speeding Tickets and Shoplifting arrest at age 15 (expunged),regular,15.0,,,,,False,False,Waitlisted
gullibleprune,Waitlisted,3.26,157.0,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,9.0,,,,,False,False,Waitlisted
EncouragingGentlePotato,Pending,3.4,154.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,7.0,,,,,False,False,Pending
ZUKI,Waitlisted,,,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
QuirkySourSwallow,Accepted,2.59,154.0,,,,,,,,,2025-02-28,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
JohnPork,Pending,2.9,154.0,1-4 years,,2025-01-29,2025-01-29,2025-02-26,2025-03-21,,,,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
TwialAttowney29,Pending,3.64,,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
realellewoods,Accepted,3.42,151.0,,"$8,000",,,,,,,2025-03-20,,2025-06-13T15:24:45Z,8000,False,,True,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Beebeedancer,Accepted,3.9,160.0,1-4 years,,2025-03-10,2025-03-10,2025-03-18,,,,2025-04-16,,2025-06-13T15:24:46Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
TastefulThirstyFalcon,Accepted,3.35,158.0,,,,,,,,,2024-12-16,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
FurtiveGreasyDuck,Pending,3.35,151.0,,,,,2025-01-06,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
NagiruDeadpanBarnacle,Accepted,3.2,155.0,,,,,,,,,2025-03-21,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
GodlyLavishSeal,Accepted,3.5,155.0,,"$69,000, Conditional",2024-12-02,2024-12-10,2024-12-10,,,,2025-01-31,Regular Decision,2025-06-13T15:24:46Z,69000,True,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DareDevilDuckling,Rejected,3.1,,0 years (KJD),,2024-10-15,2024-10-15,2025-03-21,,,,2025-05-07,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,0.0,141.0,139.0,4.5,,False,False,Rejected
BriefHaltingMammoth,Pending,4.0,148.0,10+ years,,2025-03-30,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,10.0,152.0,135.0,3,,False,False,Pending
VastUtopianWhale,Accepted,3.7,154.0,,"$75,000, Conditional",,,,,,,2024-12-12,,2025-06-13T15:24:46Z,75000,True,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
LimpShark,Accepted,3.23,153.0,,"$57,000, Conditional",2025-02-05,2025-02-12,2025-02-12,2025-03-10,,,2025-03-20,Regular Decision,2025-06-13T15:24:47Z,57000,True,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
TediousAdorableFerret,Accepted,2.8,155.0,,"$28,000",,,,,,,2025-02-01,,2025-06-13T15:24:47Z,28000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
JustaGirl99,Accepted,3.86,159.0,1-4 years,,,,,,,,2025-03-24,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
Justtryingtogetby,Accepted,3.29,157.0,0 years (KJD),"$126,000, Conditional",2025-01-13,,,,,,2025-01-11,,2025-06-13T15:24:47Z,126000,True,,False,,True,Native Hawaiian or other Pacific Islander,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
UbiquitousQuickestVole,Accepted,3.9,151.0,,"$22,000",,,,,,,2024-12-16,,2025-06-13T15:24:47Z,22000,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
