user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
queenie,Pending,3.02,153.0,10+ years,,2025-03-02,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,18.0,,,,,False,False,Pending
max7049,Pending,3.7,154.0,10+ years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,True,False,False,False,False,False,False,,,11.0,,,,,False,False,Pending
DC-TX-LA-PA-WI-CO-orBust,"WL, Withdrawn",2.99,162.0,10+ years,,2025-02-05,,2025-02-14,2025-02-14,,,2025-03-11,Regular Decision,2025-06-30T00:16:08Z,,False,,False,,False,,False,True,False,True,False,False,False,,regular,12.0,,,,,False,False,WL
PatheticClassyCrab,Pending,3.39,152.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
ovidshel,Pending,2.6,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
ZonkedSpuriousPrawn,"WL, Withdrawn",3.12,159.0,10+ years,,2024-12-02,,2024-12-09,2025-01-10,,,2025-01-28,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,17.0,,,,,False,False,WL
SlimyRelievedFowl,Waitlisted,3.44,157.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
SapphiresLawData,Pending,3.08,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
crissangelpack,Accepted,2.87,157.0,5-9 years,,,,,,,,2024-12-09,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
DiscreetHideousBaboon,Pending,3.71,159.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,True,,regular,4.0,,,,,False,False,Pending
PoliteSwiftChameleon,Accepted,3.48,159.0,,"$45,000",,,,,,,2025-05-13,,2025-06-13T15:24:43Z,45000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
angryporcupine,Accepted,3.92,162.0,,"$105,570",2024-12-01,,,,,,2025-01-29,Regular Decision,2025-06-13T15:24:43Z,105570,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
skipps,Waitlisted,3.72,151.0,,,2025-02-02,,,,,,2025-02-25,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
OpenTheGate,Accepted,,,5-9 years,,,,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
WorldlinessUnhappy12,Accepted,3.66,161.0,,"$75,000",2025-01-28,,,,,,2025-02-25,Regular Decision,2025-06-13T15:24:43Z,75000,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
sltmich21,Pending,2.22,163.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,True,,regular,3.0,,,,,False,False,Pending
UnevenTalentedDormouse,"Accepted, Attending",4.0,160.0,,,2024-11-20,2024-12-02,2024-12-02,,,,2025-01-14,,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,False,True,False,False,,,,,,,,False,False,Accepted
SecondEquableBluebird,Pending,3.36,152.0,,,2024-12-07,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
