user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
RebelOppositeKitten,Rejected,3.04,153.0,,,2025-02-12,,,,,,2025-03-19,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
WholesaleIllRock,"WL, Rejected",3.27,148.0,1-4 years,,2024-12-10,2024-12-10,2024-12-29,,,,2025-05-02,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,American Indian/Alaskan Native,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,"WL, Rejected"
HugeHolisticAngelfish,Waitlisted,3.78,154.0,5-9 years,,2024-11-25,2024-11-26,,2024-12-04,,,2025-01-23,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,True,False,False,False,False,True,,regular,5.0,,,,,False,False,Waitlisted
notjoebiden,Waitlisted,3.4,165.0,1-4 years,,2024-11-21,2024-11-21,2024-12-02,,,,2025-01-23,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,True,speeding ticket,regular,1.0,,,,,False,False,Waitlisted
megashinx1,Pending,3.8,166.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Pending
mailman12,"WL, Withdrawn",2.86,163.0,0 years (KJD),,2024-11-30,,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,True,False,True,False,False,True,"academic probation (at two schools), speeding ticket, housing infraction for missed COVID test",regular,0.0,,,,,False,False,WL
AliveCreepyCapybara,Waitlisted,3.35,157.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
Alawpoopy,Accepted,3.52,156.0,5-9 years,"$48,000",,,,,,,2025-01-21,Regular Decision,2025-06-13T15:24:42Z,48000,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,6.0,,,,,False,False,Accepted
Rubbabubbub,"WL, Withdrawn",3.6,159.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,True,False,True,False,False,False,,regular,8.0,,,,,False,False,WL
OppositeDayMikeRoss2,Waitlisted,3.8,158.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
RosesAreRed2246789,"WL, Withdrawn",3.59,157.0,10+ years,,2025-01-30,,,,,,2025-04-02,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,10.0,,,,,False,False,WL
CondemnedLawyer,"WL, Withdrawn",3.58,153.0,5-9 years,,2025-01-09,,2025-01-21,,,,2025-03-31,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Hispanic/Latino,True,False,False,True,False,False,False,,regular,9.0,,,,,False,False,WL
DivineCactus,"WL, Withdrawn",3.12,175.0,5-9 years,,2024-09-06,,,,,,2024-12-14,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
StoneColdChiefMarshall,"WL, Withdrawn",2.83,157.0,10+ years,,2025-02-04,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Multiracial,False,False,False,True,False,False,False,,regular,15.0,,,,,False,False,WL
ImaginarySomberGoose,Waitlisted,3.8,164.0,,,,,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
ExultantThoughtlessWallaby,Accepted,3.48,157.0,1-4 years,"$60,000",,,,,,,2025-01-15,,2025-06-13T15:24:43Z,60000,False,,False,,False,White,False,False,False,False,False,False,False,,,3.0,,,,,False,False,Accepted
DistressedPikachu,"WL, Withdrawn",3.99,161.0,5-9 years,,2025-01-29,2025-01-29,2025-02-12,,,,2025-03-31,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,6.0,,,,,False,False,WL
Eric-Andre-Let-Me-In-dot-gif,"WL, Withdrawn",2.65,165.0,5-9 years,,2025-01-03,2025-01-03,2025-01-16,,,,2025-02-11,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,6.0,,,,,False,False,WL
hdwillis,Accepted,3.81,164.0,,,2025-02-12,2025-02-14,2025-02-14,,,,2025-03-18,,2025-06-13T15:24:43Z,,False,,False,,False,,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
GodlyLavishSeal,Waitlisted,3.5,155.0,,,2024-12-02,,2024-12-02,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Boilermaker2025,Rejected,3.55,141.0,1-4 years,,2024-12-21,2024-12-21,2025-01-04,,,,2025-02-20,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
EquableHugeCivet,"WL, Withdrawn",3.82,168.0,1-4 years,,2024-11-18,2024-11-18,,,,,2025-01-27,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
LonelyFixedHorse,Rejected,3.37,151.0,,,2024-12-09,,,,,,2025-02-01,,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
MyNameIsJeff,Rejected,2.34,161.0,5-9 years,,2024-12-02,2024-12-02,2024-12-19,2024-12-19,,,2025-02-20,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,True,,regular,8.0,,,,,False,False,Rejected
consciousflop23,"WL, Withdrawn",3.38,166.0,5-9 years,,2025-01-31,,2025-02-14,2025-02-14,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,False,False,False,True,False,False,True,,regular,8.0,,,,,False,False,WL
SnobbishNauseatingFish,"accepted, Withdrawn",3.32,158.0,,"$72,000",2025-03-07,2025-03-07,2025-03-14,,,,2025-03-18,Regular Decision,2025-09-07T18:41:15Z,72000,False,,True,,True,Black or African American,False,False,False,True,False,False,False,,regular,,,,,,False,False,accepted
DiscreetSuperficialBrain,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AnimatedNaughtyLemming,"WL, Withdrawn",3.56,165.0,5-9 years,,2024-10-31,,,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
PossessiveAbidingHatchling,"WL, Withdrawn",3.3,158.0,,,2025-03-08,,2025-03-20,,,,2025-04-30,Regular Decision,2025-06-13T15:24:47Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
justalittleguyfr,Accepted,3.97,158.0,,"$90,000",2024-09-11,2024-09-11,,,,,2024-11-18,Regular Decision,2025-06-13T15:24:43Z,90000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
legallydirtyblonde07,Rejected,3.43,155.0,,,2024-12-06,,,,,,2025-01-16,,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
SwiftDependentRoadrunner,Accepted,3.73,171.0,0 years (KJD),"$114,000",2024-11-13,,,,,,2025-01-21,Regular Decision,2025-06-13T15:24:43Z,114000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
SleepyKrazyKoala,Pending,3.7,155.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
RandomName2514,"WL, Withdrawn",3.07,160.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:47Z,,False,,True,,False,White,False,False,False,True,False,False,False,,,0.0,,,,,False,False,WL
HealthyLameStingray,"WL, Withdrawn",3.84,166.0,1-4 years,,,,,,,,2025-01-27,,2025-06-13T15:24:47Z,,False,,False,,False,,False,True,False,True,False,False,False,,,2.0,,,,,False,False,WL
SecondEquableBluebird,Rejected,3.36,152.0,,,2024-12-05,2024-12-05,,,,,2025-02-15,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
LastCowardlyInsect,Accepted,3.72,162.0,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ZUKI,Rejected,,,,,,,,,,,2025-01-29,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
OafishAheadTaco,"WL, Withdrawn",3.9,159.0,,,,,,,,,,,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,True,False,False,False,,,,,,,,False,False,WL
CloudyWoozyBeagle,Pending,3.32,164.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
letmeinplease3,"WL, Withdrawn",3.32,161.0,1-4 years,,2024-11-27,,2024-12-04,,,,2025-01-28,Regular Decision,2025-06-13T15:24:48Z,,False,,True,unsolicited,False,East Asian,False,False,False,True,False,False,False,,regular,3.0,,,,,False,False,WL
UnusualChip,"WL, Withdrawn",3.83,159.0,0 years (KJD),,2024-11-01,2024-11-04,2024-11-12,,,,2024-12-10,Regular Decision,2025-06-13T15:24:48Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
LawyerLynn,wl_rejected,3.63,162.0,1-4 years,,2024-11-08,2024-11-08,,2024-11-15,,,2024-11-25,Regular Decision,2025-07-31T18:15:20Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,wl_rejected
legALLY11,Rejected,3.59,144.0,,,2024-12-01,2024-12-02,2024-12-20,,,,2025-01-27,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
GreatDarkFrog,"WL, Withdrawn",3.84,178.0,,,2024-12-01,,,,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
ManUFan17,"WL, Withdrawn",3.89,165.0,1-4 years,,2024-11-27,,,,,,2025-01-24,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,,True,False,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
LearnedPlausibleMacaque,"WL, Withdrawn",3.85,160.0,5-9 years,,2024-09-19,,2024-10-16,2024-11-04,,,2024-12-13,Regular Decision,2025-06-13T15:24:49Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,5.0,,,,,False,False,WL
DeafeningSpitefulEmu,"WL, Withdrawn",3.85,163.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
Dontevenworryaboutit,"WL, Withdrawn",4.0,158.0,1-4 years,,2024-09-17,2024-09-17,2024-10-16,2024-11-07,,,2024-12-13,Regular Decision,2025-06-13T15:24:49Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
SuddenSableOgre,"WL, Withdrawn",3.97,163.0,1-4 years,,2025-01-02,2025-01-03,2025-01-16,,,,2025-02-18,,2025-06-13T15:24:49Z,,False,,False,,False,,False,False,False,True,False,False,False,,,2.0,,,,,False,False,WL
OneBrashBuffalo,Rejected,2.37,167.0,,,2025-01-21,2025-01-21,,,,,2025-03-12,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,True,"One Time Plagiarism, Academic Probation",regular,,,,,,False,False,Rejected
DefNotSheldonCooper,Rejected,2.59,158.0,10+ years,,2025-01-29,2025-01-29,2025-02-12,,,,2025-03-14,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,30.0,,,,,False,False,Rejected
ClammySecondPanda,Accepted,3.76,158.0,,,,,,,,,2024-11-18,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
PhobicRightfulSalamander,"WL, Withdrawn",3.91,167.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:51Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
DirtyThreeShark,Pending,3.3,158.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MotherofKaya,Pending,3.33,173.0,5-9 years,,,,,,,,,,2025-06-13T15:24:45Z,,False,,True,,False,,False,False,False,False,False,False,True,academic probation,,8.0,168.0,148.0,5.5,,False,False,Pending
SlimyRelievedFowl,Waitlisted,3.44,157.0,,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
KindheartedFlippantWalnut,Rejected,3.5,152.0,0 years (KJD),,2024-11-15,2024-11-21,2024-11-21,,,,2025-01-06,,2025-06-13T15:24:45Z,,False,,True,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Rejected
