user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
doglover12,Waitlisted,3.0,163.0,,,2024-09-07,2024-09-07,,,,,2025-01-07,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Rembop123,Pending,4.22,161.0,,,,,2024-11-27,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
MonateMonna,Accepted,3.6,165.0,1-4 years,"$120,000, Conditional, Need a 2.3+ GPA",,,2024-10-04,2024-12-16,,,2025-01-09,Regular Decision,2025-06-13T15:24:42Z,120000,True,Need a 2.3+ GPA,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
sillyrabbit27,rejected,3.81,156.0,,,2025-02-19,,2025-02-20,,,,,Regular Decision,2025-07-07T21:32:02Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,rejected
TrickyTourtoise,Accepted,,,,"$90,000",2024-11-11,,2024-11-13,,,,2025-01-30,Regular Decision,2025-06-13T15:24:42Z,90000,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
MushyCow,Pending,3.86,160.0,,,2025-01-10,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Nanci,Pending,3.4,173.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
maddtara,"WL, Withdrawn",3.81,158.0,0 years (KJD),,2024-12-03,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
WK713,"WL, Withdrawn",4.0,168.0,0 years (KJD),,2024-12-18,2024-12-18,2024-12-19,2025-02-24,2025-04-14,,2025-04-24,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
reebs024,Pending,3.3,153.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
JumbledBizarreBuffalo,Pending,3.99,167.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
OppositeDayMikeRoss2,Waitlisted,3.8,158.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
BennyBoy,Pending,3.78,161.0,1-4 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
slowcookedham,Accepted,3.44,163.0,0 years (KJD),,2024-12-02,2024-12-02,2024-12-03,2025-02-24,2025-03-10,,2025-03-28,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
BruceSutter,Rejected,2.4,172.0,5-9 years,,2024-11-10,,,,,,2025-03-27,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
Frankshotsauce,Accepted,3.14,168.0,1-4 years,"$165,000",2024-11-04,,,2025-01-22,,,2025-01-30,,2025-06-13T15:24:43Z,165000,False,,True,,False,White,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
rocco123,Accepted,4.06,169.0,,"$165,000",,,,,,,2025-01-08,,2025-06-13T15:24:43Z,165000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
greenbeanbear,Waitlisted,3.5,161.0,0 years (KJD),,2024-12-02,2024-12-02,,,,,2025-02-17,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
neontreefrog,Pending,3.89,162.0,1-4 years,,,,2025-02-20,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,162.0,162.0,5.5,,False,False,Pending
