user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Rembop123,Pending,4.22,161.0,,,,,2024-11-27,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
ovidshel,Pending,2.6,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
FirstZanyPuma,Accepted,3.58,156.0,,"$140,000",2024-09-29,,,,,,2024-12-03,Regular Decision,2025-06-13T15:24:43Z,140000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
NiceUpbeatElk,Waitlisted,3.49,151.0,,,,,,,,,2025-04-21,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
MeekRuthlessLemur,Accepted,2.93,172.0,10+ years,,2024-09-03,2024-12-04,,,,,2024-12-04,,2025-06-13T15:24:44Z,,False,,True,,False,,False,False,False,False,False,False,False,,,14.0,,,,,False,False,Accepted
lilymotok98,Accepted,3.55,156.0,,"$45,000",2024-09-20,,,,,,2024-12-04,Early Decision,2025-06-13T15:24:44Z,45000,False,,True,,False,White,False,True,False,False,False,False,False,,early,,,,,,False,False,Accepted
YouthfulSmilingCalf,Accepted,3.73,157.0,1-4 years,"$45,000",,,,,,,2025-02-26,,2025-06-13T15:24:45Z,45000,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
Ctheroux,Pending,3.75,,1-4 years,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
AMC432,Pending,3.18,154.0,10+ years,,2025-01-07,2025-01-07,2025-01-08,,,,,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,True,True,False,False,False,False,False,,regular,10.0,,,,,False,False,Pending
HilariousTediousEmu,Pending,2.4,162.0,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
QuirkyFineGorilla,Pending,,,,,,,,,,,,,2025-06-13T15:24:46Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ScrawnyDeterminedDwarf,Rejected,2.55,163.0,10+ years,,2025-02-05,,,,,,2025-02-24,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,White,True,False,False,False,False,False,True,Pretty serious twenty years ago ,regular,12.0,,,,,False,False,Rejected
EagleLion,Rejected,3.56,147.0,,,2024-11-29,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:46Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
Dragonbornapplicant,Pending,,,,,2024-12-09,,,,,,,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
abel,Accepted,3.75,161.0,,,,,,,,,2025-01-14,,2025-06-13T15:24:47Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Spartan4life02,"WL, Accepted",3.4,160.0,5-9 years,"$30,000",2024-11-25,,,,,,2025-04-25,Regular Decision,2025-06-13T15:24:47Z,30000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,"WL, Accepted"
Garretgary,Waitlisted,3.23,,1-4 years,,2025-02-04,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,1.0,151.0,153.0,4,,False,False,Waitlisted
LikeRoss,Waitlisted,2.8,168.0,1-4 years,,,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,True,DUI arrest,,2.0,,,,,False,False,Waitlisted
BrightDiscreetWyvern,Pending,2.2,159.0,10+ years,,,,,,,,,,2025-06-13T15:24:47Z,,,,False,,False,White,False,False,False,False,False,False,False,,,16.0,,,,,False,False,Pending
DiligentAccessibleGerbil,Accepted,3.73,155.0,1-4 years,"$96,000, Conditional, Maintain a 2.5 GPA",2024-12-17,,,,,,2025-01-28,,2025-06-13T15:24:47Z,96000,True,Maintain a 2.5 GPA,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Accepted
ChappellRoan,Pending,3.3,155.0,1-4 years,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
violetsorrengail,Accepted,3.6,156.0,0 years (KJD),"$45,000",2024-11-28,,,,,,2025-01-28,Regular Decision,2025-06-13T15:24:48Z,45000,False,,True,,False,White,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
raccoonwhisperer,Accepted,3.66,157.0,,"$45,000",,,,,,,2024-12-19,,2025-06-13T15:24:48Z,45000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ShinyLargeCrocodile,"WL, Rejected",2.75,158.0,5-9 years,,2024-10-23,,,,,,2024-12-09,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,"WL, Rejected"
blanchedevereaux,Pending,,,5-9 years,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,False,,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Pending
CruelRebelWretch,Accepted,4.17,163.0,,"$132,000, Conditional",,,,,,,2025-02-07,Regular Decision,2025-06-13T15:24:49Z,132000,True,,False,,True,Multiracial,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
GingerMenace,Accepted,3.47,171.0,1-4 years,"$72,000",,,,,,,2024-12-03,Regular Decision,2025-06-13T15:24:49Z,72000,False,,False,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
HockeyLawStudent1437,Rejected,3.2,150.0,1-4 years,,,,,,,,2025-04-15,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Rejected
FreeGiftedOtter,"Accepted, Attending",3.5,154.0,,"$72,000",,,,,,,2025-03-26,,2025-06-13T15:24:49Z,72000,False,,False,,False,White,False,False,False,False,True,False,False,,,,,,,,False,False,Accepted
LoutishNutritiousOwl,Accepted,3.62,165.0,,"$97,608",2024-11-02,,,,,,2024-12-16,Regular Decision,2025-06-13T15:24:49Z,97608,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
GoofyHumorousElephant,Accepted,4.0,168.0,,,,,,,,,2025-01-14,,2025-06-13T15:24:49Z,,False,,True,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
T100,Accepted,3.37,157.0,,"$75,000",,,,,,,2025-02-10,,2025-06-13T15:24:49Z,75000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
legallyblondi3,Accepted,3.3,152.0,1-4 years,,,,,,,,2025-03-31,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
llama,Rejected,4.0,161.0,1-4 years,,2024-09-05,,,,,,2024-12-16,Regular Decision,2025-06-13T15:24:51Z,,False,,False,,False,White,False,False,False,False,False,False,True,speed ticket,regular,4.0,,,,,False,False,Rejected
StevieMoe,Pending,3.37,152.0,,,,,,,,,,,2025-06-13T15:24:51Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
UttermostGullibleLynx,Accepted,3.23,155.0,0 years (KJD),"$30,000",2024-09-06,2024-09-07,,,,,2024-12-03,Regular Decision,2025-06-13T15:24:51Z,30000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
SilentBusySloth,Waitlisted,,,,,2025-02-28,,2025-03-01,,,,2025-03-31,,2025-06-13T15:24:51Z,,False,,False,,False,,False,False,False,False,False,False,False,DUI,,,,,,,False,False,Waitlisted
AllegedFeignedNibbler,Rejected,3.3,152.0,5-9 years,,2025-03-09,,,,,,2025-04-15,,2025-06-13T15:24:52Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,9.0,,,,,False,False,Rejected
LawStudent4,Accepted,3.77,159.0,,,,,,,,,2024-12-19,Regular Decision,2025-06-13T15:24:53Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DrabIncompetentAxolotl,Pending,3.2,150.0,,,,,,,,,,,2025-06-13T15:24:53Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
LawyerJodie,Pending,3.15,163.0,,,,,,,,,,,2025-06-13T15:24:53Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
DiligentSilverFox,Accepted,2.82,168.0,10+ years,,2025-01-20,2025-01-20,,,,,2025-02-28,Regular Decision,2025-06-13T15:24:53Z,,False,,False,,True,Other,False,True,False,False,False,False,False,,regular,15.0,,,,,False,False,Accepted
Boilermaker2025,Rejected,3.55,141.0,1-4 years,,2024-12-16,2024-12-16,2024-12-17,,,,2025-01-21,Regular Decision,2025-06-13T15:24:54Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
SeattleRSplitter,"WL, Rejected",3.7,150.0,10+ years,,,,,,,,2025-01-21,,2025-06-13T15:24:54Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,18.0,,,,,False,False,"WL, Rejected"
DebonairLonelySeagull,Pending,3.53,157.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:54Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Pending
StruggleBus,Accepted,4.06,155.0,,,,,,,,,2025-04-07,,2025-06-13T15:24:54Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
Jaybird88,Pending,4.07,159.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:55Z,,False,,False,,False,White,False,True,False,False,False,False,False,,regular,9.0,,,,,False,False,Pending
SassySplitterQueen,"WL, Rejected",3.9,152.0,,,2024-10-23,,,,,,2024-12-09,Regular Decision,2025-06-13T15:24:55Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,"WL, Rejected"
ultraviolence,Accepted,3.97,164.0,,"$142,245",,,,,,,2025-03-12,Regular Decision,2025-06-13T15:24:55Z,142245,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
RemarkableOpenCockroach,Accepted,3.55,152.0,1-4 years,"$6,000, Can be renewed every year",2025-02-10,,,,,,2025-03-12,Regular Decision,2025-06-13T15:24:57Z,6000,False,Can be renewed every year,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
NillaGorilla,Accepted,3.51,162.0,1-4 years,"$75,000",,,,,,,2024-12-03,Regular Decision,2025-06-13T15:24:57Z,75000,False,,False,,True,Multiracial,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
AquaticStaleBeagle,Rejected,2.7,154.0,5-9 years,,2024-10-18,,,,,,2025-02-06,Regular Decision,2025-06-13T15:24:58Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Rejected
TheoLovesRainbows,Waitlisted,3.73,148.0,,,2024-10-29,2024-10-30,2024-10-30,,,,,,2025-06-13T15:24:58Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
slowcookedham,Accepted,3.44,163.0,0 years (KJD),"$75,000",2025-02-18,2025-02-18,2025-02-25,2025-02-25,,,2025-03-17,Regular Decision,2025-06-13T15:24:59Z,75000,False,,False,,False,White,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
BlueFlowerBloom,Accepted,3.5,164.0,,"$75,000",2024-09-23,2024-09-23,2024-09-23,2024-11-13,,,2024-12-03,Regular Decision,2025-06-13T15:25:00Z,75000,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Broken-Toaster,Accepted,3.5,159.0,1-4 years,"$62,000, Conditional",2025-01-11,2025-01-11,2025-01-11,2025-02-18,,,2025-02-24,Regular Decision,2025-06-13T15:25:00Z,62000,True,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
VariousGorgeousOrange,Accepted,3.44,155.0,1-4 years,,2025-02-15,,,,,,2025-05-12,Regular Decision,2025-06-13T15:25:03Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
Fenix555,Accepted,3.2,160.0,,,,,,,,,2025-04-21,,2025-06-13T15:25:02Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Sedimentsnare,Pending,2.67,,5-9 years,,,,,,,,,,2025-06-13T15:25:02Z,,,,False,,True,Other,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Pending
dolphinlover3786,wl_rejected,3.93,151.0,,,2025-03-01,,,,,,2025-04-07,Regular Decision,2025-09-09T02:40:07Z,,False,,False,,False,White,False,True,False,False,False,False,True,,regular,,,,,,False,False,wl_rejected
CloudyWoozyBeagle,Accepted,3.32,164.0,,"$15,000",,,,,,,2024-12-26,,2025-06-13T15:25:03Z,15000,False,,True,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
CulturedAmbiguousSponge,"accepted, Withdrawn",3.4,156.0,1-4 years,"$96,000, Conditional, Maintain a 2.5 GPA",2024-09-15,,,,,,2024-12-04,Regular Decision,2025-07-01T16:59:53Z,96000,True,Maintain a 2.5 GPA,False,,False,,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,accepted
AgreeableAbsorbingBunny,rejected,2.69,169.0,1-4 years,,2025-04-01,,,,,,2025-04-07,Regular Decision,2025-07-29T02:58:21Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,rejected
LovingLawLoveGirly,Accepted,3.98,154.0,1-4 years,"$62,500",2024-09-17,,2024-09-17,,,,,Regular Decision,2025-06-13T15:24:45Z,62500,False,,False,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
mrob,Pending,3.39,159.0,,,,,,,,,,,2025-06-13T15:25:03Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Maverickax123,"WL, Rejected",3.6,,,,,,,,,,2025-06-05,,2025-06-13T15:25:15Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,"WL, Rejected"
RaggedAbjectKitten,"WL, Rejected",2.7,154.0,5-9 years,,2025-04-14,,,,,,2025-05-13,Regular Decision,2025-06-13T15:25:04Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,"WL, Rejected"
AbrasiveMilitaryShoe,"Accepted, Attending",3.7,153.0,,"$54,000, Conditional",,,,,,,2025-01-28,,2025-06-13T15:24:48Z,54000,True,,False,,False,,False,False,False,False,True,False,False,,,,,,,,False,False,Accepted
CoolLethalPanda,"Accepted, Attending",3.79,162.0,1-4 years,"$90,000, Conditional, Full Ride; Maintain 2.5 GPA",2025-01-27,2025-01-27,,,,,2025-02-07,Regular Decision,2025-06-13T15:24:49Z,90000,True,Full Ride; Maintain 2.5 GPA,True,,False,White,False,True,False,False,True,False,False,,regular,2.0,,,,,False,False,Accepted
DelightfulOneSheep,"Accepted, Attending",3.0,162.0,,,,,,2025-02-24,,,2025-03-04,,2025-06-13T15:24:51Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,True,False,False,,,,157.0,160.0,5.0,,False,False,Accepted
srclayton21,"Accepted, Attending",3.5,158.0,0 years (KJD),"$45,000",2025-02-10,,,,,,2025-03-18,Regular Decision,2025-06-13T15:24:57Z,45000,False,,True,,False,White,False,True,False,False,True,False,False,,regular,0.0,,,,,False,False,Accepted
HenriettaSpecter,Pending,3.4,146.0,1-4 years,,,,,,,,,,2025-06-13T15:26:51Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Pending
EnviousHotDingo,Pending,3.38,152.0,1-4 years,,2024-10-22,2024-10-22,2024-10-25,,,,,Early Decision,2025-06-13T15:27:54Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,early,3.0,,,,,False,False,Pending
Munatex,"accepted, Attending",3.85,156.0,10+ years,,,2025-05-27,,,,,2025-05-27,Regular Decision,2025-08-17T18:38:16Z,,False,,True,,False,White,True,False,False,False,True,False,False,,regular,13.0,,,,,False,False,accepted
Xwartu,Waitlisted,2.83,161.0,1-4 years,,2025-05-15,,,,,,2025-05-27,Regular Decision,2025-09-13T23:02:48Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
Champine,"Accepted, Attending",3.46,164.0,0 years (KJD),"$157,800, full tuition; 2.5GPA requirement",2024-12-20,,,,,,2025-02-19,Regular Decision,2025-06-13T15:24:42Z,157800,False,full tuition; 2.5GPA requirement,True,,False,White,False,False,False,False,True,False,False,,regular,0.0,,,,,False,False,Accepted
SturdyTalentedEmu,"WL, Accepted, Attending",3.25,150.0,,,,,,2025-02-24,,,2025-06-09,Regular Decision,2025-06-13T15:24:52Z,,False,,True,,True,Other,False,True,False,False,True,False,False,,regular,,,,,,False,False,"WL, Accepted"
FrightenedAcidicMouse,"WL, Accepted, Attending",3.2,153.0,,,2025-02-15,,,,,,2025-04-29,,2025-06-13T15:25:03Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,True,False,False,,,,,,,,False,False,"WL, Accepted"
FuturePolymath,"Accepted, Attending",3.01,158.0,,,2025-05-01,,2025-05-14,,,,2025-05-15,,2025-06-13T15:25:06Z,,False,,False,,False,,False,True,False,False,True,False,False,,,,,,,,False,False,Accepted
SpitefulDelightfulMandrill,"WL, Accepted, Attending",3.59,150.0,,,,,,,,,2024-09-12,,2025-06-13T15:27:44Z,,False,,False,,False,,False,False,False,False,True,False,False,,,,,,,,False,False,"WL, Accepted"
CaterpillarVibes,"Accepted, Withdrawn",3.92,165.0,0 years (KJD),"$90,000",2024-10-22,,,,,,2024-12-16,Regular Decision,2025-06-13T15:24:42Z,90000,False,,True,,False,White,False,True,False,True,False,False,False,,regular,0.0,,,,,False,False,Accepted
ordinaryLSguy,"Accepted, Withdrawn",3.91,170.0,1-4 years,"$89,712, Full tuition",2024-09-09,2024-09-10,,,,,2024-12-03,Regular Decision,2025-06-13T15:24:48Z,89712,False,Full tuition,False,,False,,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,Accepted
RandomName2514,"Accepted, Withdrawn",3.07,160.0,0 years (KJD),"$18,000",,,,,,,2025-03-31,,2025-06-13T15:24:47Z,18000,False,,False,,False,White,False,False,False,True,False,False,False,,,0.0,,,,,False,False,Accepted
