user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
codmod234545,accepted,3.67,167.0,1-4 years,"$120,000",2025-08-28,2025-09-03,2025-10-30,,,,2025-11-01,Regular Decision,2025-11-10T02:05:40Z,120000,False,,True,,True,American Indian/Alaskan Native,False,True,False,False,False,False,False,,regular,3.0,,,,,False,False,accepted
NumberlessCoolLeek,Waitlisted,,157.0,,,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
dwnstn,"WL, Withdrawn",3.79,152.0,5-9 years,,2024-12-04,2024-12-04,2024-12-05,,,,2024-12-11,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,True,False,False,False,,regular,8.0,,,,,False,False,WL
RainyQuickestPanther,Waitlisted,3.96,152.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
ELEVENELEVEN,Accepted,3.14,159.0,,"$60,000",2025-01-27,,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:43Z,60000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
sltmich21,Pending,2.22,163.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,True,False,False,False,False,True,,regular,3.0,,,,,False,False,Pending
Prodigal,Accepted,3.86,161.0,,"$105,000",,,,,,,2024-11-26,Regular Decision,2025-06-13T15:24:43Z,105000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DoneTeaching7,"WL, Withdrawn",2.45,166.0,5-9 years,,2024-11-28,2024-12-02,2024-12-13,,,,,Regular Decision,2025-06-13T15:24:46Z,,False,,False,,False,,False,True,False,True,False,False,False,,regular,9.0,,,,,False,False,WL
LS21,Pending,2.39,164.0,5-9 years,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Pending
LittleLonelyCheetah,Accepted,,,,,,,,,,,2024-12-09,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
NOTLEAVINGWITHOUTAFIGHT,Waitlisted,3.87,152.0,,,2024-09-01,2024-09-12,2024-09-12,2024-10-15,2024-10-22,,2024-11-07,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,regular,,149.0,147.0,4,,False,False,Waitlisted
IslandBoy714,Rejected,3.2,150.0,,,,,,,,,2024-12-12,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
nutt,Pending,3.69,144.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SilkyRoyalAvatar,Waitlisted,3.4,153.0,1-4 years,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Waitlisted
RemarkablePalePickle,Rejected,2.92,162.0,1-4 years,,,,,,,,2024-12-04,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,2.0,,,,,False,False,Rejected
Liquid-Dino,Accepted,3.4,157.0,5-9 years,"$30,000",2025-02-09,,,,,,2025-02-20,,2025-06-13T15:24:46Z,30000,False,,False,,False,White,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
