user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
AliveDeadYogurt,Pending,3.92,172.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
RegularSnobbishPegasus,Pending,3.9,155.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
maddtara,Rejected,3.81,158.0,0 years (KJD),,2025-02-05,,,,,,2025-03-07,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
MonateMonna,Rejected,3.6,165.0,1-4 years,,,,2024-11-22,,,,2025-01-10,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Rejected
ZestyBashfulStingray,Waitlisted,4.0,165.0,1-4 years,,2024-10-15,,2024-10-21,2024-11-18,2025-01-27,,2025-02-12,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Waitlisted
WindyGuardedEel,Rejected,3.2,166.0,,,,,,,,,2025-03-28,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
TrickyTourtoise,Waitlisted,,,,,2024-11-01,,2024-11-04,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
ClassyDetailedSkunk,Pending,3.71,168.0,1-4 years,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
AllegedEnchantingTerrier,Rejected,3.55,176.0,0 years (KJD),,2024-12-27,,,,,,2025-03-14,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
ScaredCapriciousSatyr,wl_rejected,3.89,171.0,1-4 years,,2024-10-31,,2024-10-31,,,,2025-06-27,Regular Decision,2025-08-15T13:24:00Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,wl_rejected
RabidGorgeousBunny,Rejected,3.09,164.0,1-4 years,,2025-02-19,2025-02-19,,,,,2025-04-04,,2025-06-13T15:24:42Z,,False,,False,,False,,False,True,False,False,False,False,False,,,4.0,,,,,False,False,Rejected
smellgoodroot,Waitlisted,4.0,173.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
VenomousEasySalamander,Pending,3.61,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
IndustriousFantasticCrow,Waitlisted,3.97,176.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
CharmingSmoothBee,Rejected,3.4,164.0,1-4 years,,2024-12-01,2024-12-01,2024-12-01,2024-12-19,,,2025-02-21,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
VastTabooHeron,"WL, Rejected",3.51,177.0,1-4 years,,2025-02-04,2025-02-04,2025-02-10,,,,2025-03-05,Regular Decision,2025-06-13T15:24:42Z,,False,,True,Unsolicited,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,"WL, Rejected"
SojuJess,Waitlisted,4.07,172.0,,,,,,,,,2025-02-12,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
