user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
LadyLothlorien,Pending,2.3,163.0,5-9 years,,2025-01-03,,2025-01-13,2025-01-16,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Other,False,False,False,False,False,False,True,academic probation,regular,6.0,,,,,False,False,Pending
liliumlex,Accepted,4.0,167.0,1-4 years,"$142,272, Conditional, full OOS tuition; ""remain in good standing""; they sent me a worksheet to be able to negotiate!, Fee Waiver: snail mailed a fee waiver",2025-01-04,,,,,,2025-02-07,Regular Decision,2025-06-13T15:24:42Z,142272,True,"full OOS tuition; ""remain in good standing""; they sent me a worksheet to be able to negotiate!",True,snail mailed a fee waiver,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Accepted
maddtara,Waitlisted,3.81,158.0,0 years (KJD),,2024-12-03,,,,,,2025-04-21,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,0.0,,,,,False,False,Waitlisted
Rembop123,Pending,4.22,161.0,,,,,2024-11-29,,,,,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PotentialWest,rejected,2.7,164.0,5-9 years,,2024-10-07,2024-10-08,2024-10-08,2024-10-14,,,2025-08-20,Regular Decision,2025-09-25T01:21:14Z,,False,,True,,False,White,True,False,False,False,False,False,False,,regular,5.0,,,,,False,False,rejected
MushyCow,Accepted,3.86,160.0,,"$128,046",2025-01-09,,,2025-01-16,2025-01-23,,2025-03-07,,2025-06-13T15:24:42Z,128046,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
PaleKindFae,Waitlisted,3.41,159.0,,,,,,,,,2025-01-31,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
OppositeDayMikeRoss2,Accepted,3.8,158.0,,"$107,000",,,,,,,2025-03-25,Regular Decision,2025-06-13T15:24:42Z,107000,False,,True,,False,,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
NecessarySilentUnicorn,Waitlisted,,,5-9 years,,2025-01-23,,2025-01-27,2025-02-19,,,2025-02-21,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,True,True,False,False,False,False,False,,regular,5.0,,,,,False,False,Waitlisted
SmallCatBigHopes,"WL, Withdrawn",,,,,2025-01-31,2025-01-31,2025-02-03,2025-02-06,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
LegallyBrunette716,Accepted,3.98,162.0,5-9 years,"$137,952",2024-10-24,,,,,,2025-01-23,Regular Decision,2025-06-13T15:24:43Z,137952,False,,False,,False,White,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Accepted
sltmich21,Pending,2.22,163.0,1-4 years,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,True,,regular,3.0,,,,,False,False,Pending
InnocentUnsuitableCheetah,"WL, Withdrawn",3.55,152.0,,,,,,,,,,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,,,,,,False,False,WL
legallyblonde25,Accepted,3.92,165.0,,"$130,000",,,,,,,2024-12-11,,2025-06-13T15:24:43Z,130000,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
AlluringAxolotl,Pending,3.72,166.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,White,False,True,False,False,False,False,False,,regular,,,,,,False,False,Pending
jav12302,Waitlisted,3.93,151.0,0 years (KJD),,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Waitlisted
DeterminedAmbiguousDragon,Pending,3.77,152.0,,,2024-11-05,2024-11-10,2024-11-14,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
BestDetailedPegasus,"WL, Withdrawn",3.8,156.0,1-4 years,,2024-12-13,,,,2025-01-21,,2025-04-21,,2025-06-13T15:24:47Z,,False,,False,,False,,False,False,False,True,False,False,False,,,2.0,,,,,False,False,WL
