user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
DC-TX-LA-PA-WI-CO-orBust,"Accepted, Withdrawn",2.99,162.0,10+ years,"$78,000, Conditional, Top 50%, Fee Waiver: requested",2025-02-18,2025-02-18,,,,,2025-02-26,Regular Decision,2025-06-30T00:16:00Z,78000,True,Top 50%,True,requested,False,,False,False,False,True,False,False,False,,regular,12.0,,,,,False,False,Accepted
war0914,Accepted,3.48,155.0,10+ years,"$87,000, Conditional",,,,,,,2025-03-05,,2025-06-13T15:24:42Z,87000,True,,False,,False,White,True,False,False,False,False,False,True,criminal charges,,20.0,,,,,False,False,Accepted
ResonantFallaciousTiger,Accepted,2.9,153.0,1-4 years,"$48,000, Conditional",2025-01-04,,,,,,2025-01-16,,2025-06-13T15:24:44Z,48000,True,,False,,False,White,False,False,False,False,False,False,True,,,3.0,,,,,False,False,Accepted
tslaw,Accepted,3.77,145.0,,,2025-03-10,,,,,,2025-03-20,,2025-06-13T15:24:45Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
QuirkySourSwallow,Accepted,2.59,154.0,,,,,,,,,2024-11-01,,2025-06-13T15:24:45Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Ladyesquire86,Pending,2.1,156.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
gullibleprune,Accepted,3.26,157.0,5-9 years,,,,,,,,2025-01-10,,2025-06-13T15:24:47Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,9.0,,,,,False,False,Accepted
hbcuadvocate,Rejected,2.7,147.0,5-9 years,,,,,,,,2025-04-10,,2025-06-13T15:24:47Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Rejected
UbiquitousQuickestVole,Accepted,3.9,151.0,,"$20,000, remain in good standing",,,,,,,2024-11-07,Early Decision,2025-06-13T15:24:47Z,20000,False,remain in good standing,True,,True,Black or African American,False,True,False,False,False,False,False,,early,,,,,,False,False,Accepted
JuliaMcCullars,Accepted,3.68,154.0,1-4 years,"$10,000, Conditional",2025-04-02,,,,,,2025-05-10,,2025-06-13T15:24:47Z,10000,True,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
PreciousStingyDemogorgon,Accepted,3.68,148.0,,"$30,000",,,,,,,2024-11-14,,2025-06-13T15:24:48Z,30000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
HospitableInexpensiveTermite,Accepted,2.97,147.0,10+ years,,,,,,,,2025-02-13,,2025-06-13T15:24:48Z,,False,,True,,True,Black or African American,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Accepted
xuxu,"Withdrawn, Withdrawn",3.11,,10+ years,,2025-02-08,,,,,,,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,15.0,,,,,False,False,Withdrawn
