user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
Iliketurtl,Accepted,3.32,159.0,1-4 years,"$125,000",2024-10-01,2024-10-01,,2024-11-15,,,2024-12-17,Regular Decision,2025-06-13T15:24:43Z,125000,False,,True,,False,East Asian,False,True,False,False,False,False,False,,regular,1.0,,,,,False,False,Accepted
LS21,Pending,2.39,164.0,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Pending
85Delorean,Pending,2.69,155.0,,"$40,000",,,,,,,2025-02-05,,2025-06-13T15:24:44Z,40000,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
BSimon06,Accepted,3.35,156.0,,,,,,,,,2025-01-29,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,True,Black or African American,True,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
lawperson2030,Pending,3.81,148.0,,,,,,,,,,,2025-06-13T15:24:45Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
kmac,Pending,3.02,148.0,10+ years,,,,,,,,,,2025-06-13T15:24:45Z,,False,,False,,True,Black or African American,True,False,False,False,False,False,False,,,10.0,,,,,False,False,Pending
chupacabra88,Pending,3.38,164.0,1-4 years,,2025-06-03,2025-06-03,2025-06-06,2025-06-06,2025-06-11,,,,2025-06-13T15:24:46Z,,False,,False,,False,White,False,False,False,False,False,False,False,expunged arrest,,4.0,,,,,False,False,Pending
R33,Rejected,3.29,145.0,10+ years,,,,,,,,2025-01-10,,2025-06-13T15:24:46Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,True,Juvenile Criminal record,,20.0,,,,,False,False,Rejected
DomineeringObsceneCentaur,Pending,3.2,143.0,1-4 years,,,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,True,Black or African American,False,True,False,False,False,False,False,,,2.0,,,,,False,False,Pending
HospitableInexpensiveTermite,Waitlisted,2.97,147.0,10+ years,,,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,15.0,,,,,False,False,Waitlisted
keith11423,Pending,2.9,166.0,,,,,,,,,,,2025-06-13T15:24:48Z,,,,False,,True,Black or African American,True,False,False,False,False,False,False,,,,166.0,161.0,3.5,,False,False,Pending
CarrelCarafeCarom,Pending,2.5,173.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:48Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,7.0,,,,,False,False,Pending
emmanovamiles,Pending,3.26,152.0,10+ years,,,,,,,,,,2025-06-13T15:24:49Z,,,,False,,False,White,False,False,False,False,False,False,False,,,14.0,,,,,False,False,Pending
CautiousAngelfish,Accepted,3.7,156.0,,,,,,,,,2024-12-09,,2025-06-13T15:24:49Z,,False,,False,,False,White,False,True,False,False,False,False,False,,,,,,,,False,False,Accepted
Morchic2,Pending,2.53,146.0,,,,,,,,,,,2025-06-13T15:24:50Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
MammothTacitCougar,Accepted,2.48,158.0,,,,,,,,,2025-04-09,,2025-06-13T15:24:50Z,,False,,False,,False,East Asian,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
SquealingGutturalRattlesnake,Pending,2.54,145.0,1-4 years,,2025-04-11,2025-04-11,2025-04-16,2025-04-16,2025-05-15,,,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Pending
Anonymous6523,Accepted,3.26,163.0,,,,,,,,,2024-12-09,Priority Track,2025-06-13T15:24:50Z,,False,,False,,False,White,False,False,False,False,False,False,False,,priority,,,,,,False,False,Accepted
Ladyesquire86,Pending,2.1,156.0,,,,,,,,,,,2025-06-13T15:24:50Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
CuddlyLavishSparrow,Waitlisted,2.72,152.0,10+ years,,2025-02-25,2025-02-27,2025-02-25,2025-02-27,,,,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Waitlisted
