user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
TiresomeElatedBadger,Rejected,3.89,153.0,,,2025-01-18,2025-01-19,2025-01-21,,,,2025-04-22,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
LawSchoolReject,Accepted,3.34,171.0,10+ years,"$106,884, $$+",2024-10-01,2024-10-01,2024-10-01,2024-10-16,,,2025-03-01,Regular Decision,2025-06-13T15:24:42Z,106884,False,$$+,True,,False,White,False,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Accepted
jackbenimble,Pending,3.44,168.0,10+ years,,2024-11-27,,2024-12-02,2024-12-04,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,True,"Multiple alcohol & drug offenses, including drunk driving, other offenses, and university misconduct",regular,11.0,,,,,False,False,Pending
Wesquire,Pending,3.65,163.0,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
AmbitiousPinkFrog,Accepted,3.73,158.0,,,,,,,,,2025-01-27,,2025-06-13T15:24:42Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
MuteYoungAardvark,"WL, Withdrawn",3.63,167.0,1-4 years,,2024-11-29,,,,,,2025-03-11,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,True,False,False,False,,regular,1.0,,,,,False,False,WL
Aghartism,"accepted, Withdrawn",3.98,177.0,1-4 years,"$106,938",2024-11-11,2024-11-12,2024-11-12,,,,2024-12-16,Regular Decision,2025-11-10T06:57:02Z,106938,False,,False,,False,,False,True,False,True,False,False,False,,regular,4.0,,,,,False,False,accepted
StatuesqueComfortableFish,Accepted,3.9,168.0,0 years (KJD),"$105,000, Conditional",,,,,,,2025-02-03,,2025-06-13T15:24:43Z,105000,True,,False,,False,White,False,False,False,False,False,False,False,,,0.0,,,,,False,False,Accepted
ParsimoniousPaleHippopotamus,"WL, Withdrawn",3.51,166.0,1-4 years,,2024-11-11,,2024-11-13,2024-11-20,,,2025-03-17,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,White,False,False,False,True,False,False,False,,regular,2.0,,,,,False,False,WL
GleamingSourPeacock,Pending,3.92,151.0,,,2025-02-12,2025-02-26,2025-02-27,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
Ach3lois,"WL, Withdrawn",3.9,166.0,1-4 years,,2024-12-06,2024-12-06,2024-12-06,2024-12-13,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,2.0,,,,,False,False,WL
DirefulReflectiveMole,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
RusticTightVole,"WL, Withdrawn",2.87,171.0,1-4 years,,2024-11-07,,,,,,2025-03-31,Regular Decision,2025-06-13T15:24:45Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
DirefulTalentedMule,Rejected,3.79,164.0,1-4 years,,2024-11-27,,,,,,2025-03-17,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
Porchfan,Waitlisted,3.94,162.0,,,,,,,,,2025-03-24,,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
apollokiwi,Pending,3.64,162.0,1-4 years,,2024-12-23,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
honeyvanilla,Pending,3.1,161.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,American Indian/Alaskan Native,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Agent2504,Pending,,,,,,2025-01-31,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
LeJFlaker,Pending,,,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
SecondHandsomeHeron,"WL, Withdrawn",3.92,161.0,,,2024-11-01,2024-11-04,,2024-11-20,,,2025-03-14,Regular Decision,2025-06-13T15:24:47Z,,False,,True,,False,,False,False,False,True,False,False,False,,regular,,,,,,False,False,WL
HistoricalConsciousShoe,"WL, Withdrawn",3.5,167.0,,,,,,,,,,,2025-06-13T15:24:47Z,,False,,False,,False,White,False,False,False,True,False,False,False,,,,,,,,False,False,WL
Luckycharm202555,Pending,,,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
ss796,"Accepted, Withdrawn",3.67,167.0,,"$58,818, Conditional",2024-12-21,,,,,,2025-02-12,,2025-06-13T15:24:44Z,58818,True,,True,,False,,False,True,False,True,False,False,False,,,,,,,,False,False,Accepted
Yourboimason,Waitlisted,3.37,158.0,,,,,,,,,2025-05-15,,2025-06-13T15:24:44Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
PanickyOutgoingBrain,rejected,3.0,159.0,5-9 years,,2024-12-02,2024-12-02,,,,,,Regular Decision,2025-10-01T10:32:38Z,,False,,False,,False,White,False,False,False,False,False,False,True,Academic Probation due to low GPA during medical issues,regular,5.0,,,,,True,False,rejected
BoredStickyFox,Waitlisted,3.94,163.0,,,,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
CleverRightfulTomato,Accepted,3.72,169.0,0 years (KJD),"$122,100",2024-11-11,,,,,,2025-01-06,Regular Decision,2025-06-13T15:24:44Z,122100,False,,False,,False,,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Accepted
ElderlyImportantChihuahua,Pending,3.88,168.0,1-4 years,,2025-02-01,,,,,,,,2025-06-13T15:24:44Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Pending
Imjustagurl,Pending,3.72,154.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
PhysicsRelevant,Pending,3.64,157.0,1-4 years,,,,2025-02-05,,,,,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,2.0,,,,,False,False,Pending
hopefullyafuturelawyer,"WL, Withdrawn",3.55,178.0,1-4 years,,2025-02-05,,,,,,2025-06-03,Regular Decision,2025-06-13T15:24:44Z,,False,,True,,False,,False,True,False,True,False,False,False,,regular,4.0,,,,,False,False,WL
NervousCrookedMillipede,Waitlisted,3.64,167.0,1-4 years,,2024-12-04,,,,,,2025-03-19,,2025-06-13T15:24:44Z,,False,,True,,False,,False,True,False,False,False,False,False,,,2.0,,,,,False,False,Waitlisted
NaiveCutSalad,Rejected,3.9,165.0,0 years (KJD),,2024-12-08,,,,,,2025-03-24,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
joy1998,Pending,3.66,,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
wishesandprayers,Pending,3.46,147.0,1-4 years,,2024-09-15,2024-09-16,2024-09-16,2024-09-16,,,,Early Decision,2025-06-13T15:24:44Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,early,3.0,,,,,False,False,Pending
SlimSatisfyingPug,Rejected,3.67,162.0,1-4 years,,2024-12-01,2024-12-02,2024-12-04,2024-12-04,,,2025-03-17,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,1.0,,,,,False,False,Rejected
BooksNBooks,Pending,3.4,166.0,10+ years,,2025-02-21,2025-02-21,2025-02-21,2025-03-12,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,10.0,,,,,False,False,Pending
BurntStinkyToast,Rejected,3.2,155.0,,,,,,,,,2025-03-13,,2025-06-13T15:24:44Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,True,,,,,,,,False,False,Rejected
FortunateImaginaryAvatar,Pending,3.98,173.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
WalkDontRun,Pending,3.5,168.0,,,,,,,,,,,2025-06-13T15:24:44Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
thebourgeoisie,Accepted,3.52,167.0,,,,,,,,,2025-01-08,,2025-06-13T15:24:44Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
Minion,"WL, Withdrawn",3.54,165.0,1-4 years,,2024-09-20,2024-09-21,2024-10-04,2024-10-16,,,2025-02-24,Regular Decision,2025-06-13T15:24:50Z,,False,,False,,True,Hispanic/Latino,False,False,False,True,False,False,True,On campus underage drinking,regular,1.0,,,,,False,False,WL
DiscreetHeadyCatfish,"Withdrawn, Withdrawn",3.98,167.0,0 years (KJD),,2024-10-29,,,,,,,,2025-06-13T15:24:45Z,,False,,True,,False,White,False,False,False,True,False,False,False,,,0.0,,,,,False,False,Withdrawn
FastCharmingLeprechaun,"WL, Withdrawn",3.51,164.0,,,,,,,,,,,2025-06-13T15:24:51Z,,False,,False,,True,Hispanic/Latino,False,False,False,True,False,False,False,,,,,,,,False,False,WL
PinkSpitefulWombat,Accepted,3.2,167.0,,"$42,000",,,,,,,2025-04-16,Regular Decision,2025-06-13T15:24:45Z,42000,False,,True,,True,Black or African American,False,True,False,False,False,False,False,,regular,,,,,,False,False,Accepted
pdt622,"WL, Withdrawn",3.7,161.0,0 years (KJD),,2024-12-19,,,,,,2025-04-01,Regular Decision,2025-06-13T15:24:51Z,,False,,True,,False,,False,True,False,True,False,False,False,,regular,0.0,,,,,False,False,WL
RabidVoicelessLeek,Rejected,3.7,162.0,,,2024-12-05,,,,,,2025-03-17,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
KindheartedFlippantWalnut,Rejected,3.5,152.0,0 years (KJD),,2024-11-15,2024-11-18,2024-11-18,2024-11-20,,,2025-04-21,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,0.0,,,,,False,False,Rejected
