user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
LateTabooTomato,Accepted,2.87,165.0,10+ years,"$179,000, Sandra Day O'Connor Honors Scholarship",2025-02-07,2025-02-08,2025-02-12,,,,2025-03-06,Regular Decision,2025-06-13T15:24:42Z,179000,False,Sandra Day O'Connor Honors Scholarship,False,,False,White,False,True,False,False,False,False,False,,regular,25.0,,,,,False,False,Accepted
SnottyMinorBat,Accepted,,,,,,,,,,,2025-04-12,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
DesertedSparklingFox,Accepted,3.09,168.0,1-4 years,"$179,000",2025-02-21,,,,,,2025-03-05,Regular Decision,2025-06-13T15:24:42Z,179000,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,True,academic probation,regular,4.0,,,,,False,False,Accepted
amcg22,Accepted,3.78,157.0,,"$180,000",,,,,,,2024-12-17,,2025-06-13T15:24:42Z,180000,False,,True,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
lawstudent357,Accepted,2.66,165.0,1-4 years,"$179,000",2025-01-27,2025-02-18,,,,,2025-02-18,Regular Decision,2025-06-13T15:24:43Z,179000,False,,False,,False,White,False,False,False,False,False,False,True,Minor in Possession ,regular,2.0,,,,,False,False,Accepted
LegallyBrunette716,Accepted,3.98,162.0,5-9 years,"$179,000",2024-11-20,,,,,,2025-01-15,Regular Decision,2025-06-13T15:24:43Z,179000,False,,False,,False,White,False,False,False,False,False,False,False,,regular,9.0,,,,,False,False,Accepted
ImaginarySomberGoose,Accepted,3.8,164.0,,,,,,,,,2025-01-11,Regular Decision,2025-06-13T15:24:43Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
ChocolateChipIceCream,"WL, Withdrawn",2.5,,10+ years,,2025-01-01,2025-01-01,2025-01-06,,,,2025-02-04,,2025-06-13T15:24:45Z,,False,,True,,True,Multiracial,True,False,False,True,False,False,False,,,16.0,,,,,False,False,WL
freeloading,Waitlisted,3.7,145.0,5-9 years,,2024-12-16,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,,7.0,,,,,False,False,Waitlisted
LonelyFixedHorse,Accepted,3.37,151.0,,,2025-01-06,,,,,,2025-01-29,,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
JoyousStatuesqueOstrich,Pending,3.2,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
lussygrrrl,Accepted,3.93,,,"$90,000, Conditional",2025-01-26,2025-01-27,2025-01-29,,,,2025-02-18,Regular Decision,2025-06-13T15:24:43Z,90000,True,,False,,True,Hispanic/Latino,False,True,False,False,False,False,False,,regular,,153.0,146.0,3.0,,False,False,Accepted
WorldlinessUnhappy12,Accepted,3.66,161.0,,"$174,000, 100% Scholarship",2024-12-03,,,,,,2025-01-09,Regular Decision,2025-06-13T15:24:43Z,174000,False,100% Scholarship,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
DeterminedAmbiguousDragon,Accepted,3.77,152.0,,"$60,000",2024-11-08,2024-11-10,2024-11-04,,,,2024-12-19,,2025-06-13T15:24:43Z,60000,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
legalweapon,Accepted,3.25,153.0,,"$120,000",2024-11-28,2024-11-28,,,,,2025-03-04,Regular Decision,2025-06-13T15:24:43Z,120000,False,,True,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
Poppyseeds,Accepted,3.46,160.0,1-4 years,"$171,894",2024-11-02,2024-11-04,,,,,2024-12-16,,2025-06-13T15:24:44Z,171894,False,,False,,False,White,False,False,False,False,False,False,False,,,4.0,,,,,False,False,Accepted
EncouragingGentlePotato,Pending,3.4,154.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:44Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,7.0,,,,,False,False,Pending
