user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
LevelSmilingCivet,Accepted,3.34,152.0,,,,,,,,,2025-01-03,,2025-06-13T15:24:42Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
ericapebenito,Pending,3.8,,,,,,,,,,,,2025-06-13T15:24:42Z,,,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
marmiteontoast,Pending,,159.0,5-9 years,,,,,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,True,academic suspension freshman year,regular,8.0,,,,,False,False,Pending
timewarp3,Accepted,3.67,150.0,5-9 years,"$45,000, Conditional",,,,,,,2025-02-01,,2025-06-13T15:24:42Z,45000,True,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,,5.0,,,,,False,False,Accepted
NaiveProbableMinotaur,Accepted,,,,,,,,,,,2025-01-24,,2025-06-13T15:24:42Z,,False,,True,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
LiterallyOatMilk,Accepted,3.38,159.0,,"$150,000",2025-02-01,2025-02-10,,,,,2025-03-07,Regular Decision,2025-06-13T15:24:42Z,150000,False,,False,,True,Black or African American,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
FallaciousOutstandingReader,Accepted,3.5,160.0,5-9 years,"$135,000, Conditional",2025-01-17,,,,,,2025-02-13,Regular Decision,2025-06-13T15:24:42Z,135000,True,,False,,True,Other,False,False,False,False,False,False,False,,regular,8.0,,,,,False,False,Accepted
Shofff,Accepted,4.1,158.0,1-4 years,"$150,000, Conditional",,,,,,,2025-03-31,,2025-06-13T15:24:42Z,150000,True,,False,,False,White,False,False,False,False,False,False,False,,,1.0,,,,,False,False,Accepted
mdelancey,Pending,3.22,162.0,5-9 years,,2025-02-13,2025-02-13,2025-03-07,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Pending
Cocodog5,Accepted,3.92,176.0,,"$105,000",,,,,,,2025-03-05,,2025-06-13T15:24:42Z,105000,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Accepted
GrumpyBashfulLiger,Waitlisted,3.5,152.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
RudeGarrulousChimpanzee,Pending,3.8,161.0,,,2024-11-10,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
tennisgirl303,Accepted,3.55,160.0,,"$150,000, Conditional",2024-11-27,,,,,,2024-12-20,Regular Decision,2025-06-13T15:24:43Z,150000,True,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Accepted
SWise03,Waitlisted,3.68,145.0,,,2025-01-27,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
bmrblaw,Pending,3.8,154.0,,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Pending
Wheresmysupersuit011228,Pending,3.17,,5-9 years,,,,,,,,,,2025-06-13T15:24:43Z,,,,False,,True,Black or African American,False,False,False,False,False,False,False,,,5.0,158.0,156.0,4.5,,False,False,Pending
LadyoftheBirds,Rejected,3.63,166.0,,,2025-02-15,,,,,,2025-03-28,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,False,,False,False,False,False,False,False,False,,regular,,,,,,False,False,Rejected
NumberlessCoolLeek,Waitlisted,,157.0,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Multiracial,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
StoneColdChiefMarshall,"WL, Withdrawn",2.83,157.0,10+ years,,2024-12-05,,,,,,2024-12-19,Regular Decision,2025-06-13T15:24:45Z,,False,,False,,True,Multiracial,False,False,False,True,False,False,False,,regular,15.0,,,,,False,False,WL
legallymars,Pending,3.83,,,,,,,,,,,,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,True,False,False,False,False,False,,,,,,,,False,False,Pending
leafypumpkin,Accepted,3.73,152.0,1-4 years,"$30,000, Conditional",2024-11-29,2024-12-02,2024-12-03,2024-12-09,,,2024-12-20,Regular Decision,2025-06-13T15:24:43Z,30000,True,,True,,True,Black or African American,False,False,False,False,False,False,False,,regular,3.0,,,,,False,False,Accepted
ItchyClumsyLeek,Pending,,155.0,,,,,,,,,,Regular Decision,2025-06-13T15:24:43Z,,False,,False,,True,Other,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
