user,result_display,gpa,lsat,work_experience_label,scholarship_display,sent_at,received_at,complete_at,ur_at,ur2_at,interview_at,decision_at,application_type_label,updated_at,scholarship_amount,is_conditional_scholarship,scholarship_detail,is_fee_waived,fee_waiver_detail,is_urm,urm_details,is_military,is_in_state,hold,withdrawn,attending,deferred,is_character_and_fitness_issues,cf_detail,application_type,work_experience,gre_v,gre_q,gre_aw,gre_combined,is_private,is_verified,result
NondescriptSadBobcat,Waitlisted,3.66,159.0,,,,,,,,,2025-04-04,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,,,,,,False,False,Waitlisted
Barbzstayinschoolll,Waitlisted,3.91,160.0,1-4 years,,2024-12-15,,,,,,2025-04-09,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
HopelessLawmanticism,Waitlisted,3.9,162.0,1-4 years,,2025-01-22,,,2025-01-27,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Waitlisted
Klorton,Waitlisted,3.89,163.0,,,2024-12-01,,,,,,2025-02-07,Early Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,early,,,,,,False,False,Waitlisted
WildShakyInfant,Accepted,3.98,172.0,1-4 years,,2024-11-30,,,,,,2025-02-05,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,,False,False,False,False,False,False,False,,regular,2.0,,,,,False,False,Accepted
SkillfulNippyHound,Waitlisted,3.52,157.0,5-9 years,,2024-12-01,,,,,,2025-02-14,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,True,Hispanic/Latino,True,False,False,False,False,False,False,,regular,5.0,,,,,False,False,Waitlisted
CeaselessAbidingWombat,Pending,3.6,161.0,,,2025-01-03,,2025-02-05,,,,,Regular Decision,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,regular,,,,,,False,False,Pending
ConfusedHarshCat,Waitlisted,3.5,167.0,,,2025-03-01,,,,,,2025-04-15,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Waitlisted
ScaryJollyCheetah,Rejected,3.17,155.0,1-4 years,,2025-02-05,2025-02-05,2025-02-06,2025-02-06,,,2025-03-20,Regular Decision,2025-06-13T15:24:42Z,,False,,True,,False,White,False,False,False,False,False,False,False,,regular,4.0,,,,,False,False,Rejected
amcg22,Rejected,3.78,157.0,,,,,,,,,2025-01-18,,2025-06-13T15:24:42Z,,False,,False,,False,White,False,False,False,False,False,False,False,,,,,,,,False,False,Rejected
